GENE,MV411-RUNX1-dTAG-DMSO_1h,MV411-RUNX1-dTAG-VHL_1h,MV411-RUNX2-dTAG-DMSO_1h,MV411-RUNX2-dTAG-VHL_1h,MV411-SPI1-dTAG-DMSO_1h,MV411-SPI1-dTAG-VHL_1h,MV411-GFI1-dTAG-DMSO_2h,MV411-GFI1-dTAG-VHL_2h
EMBP1,1181.0,999.0,846.0,895.0,473.0,466.0,667.0,689.5
SRGAP2B,79.5,70.0,39.0,43.0,57.0,55.0,45.0,52.5
SERPINE3,5.5,2.0,11.5,13.0,15.0,10.0,15.0,12.5
647190,9.5,4.5,3.0,10.5,9.0,8.0,6.0,8.5
647288,57.5,40.5,39.0,42.5,33.0,28.0,42.0,51.5
TEX22,16.5,16.5,8.5,16.5,21.0,23.0,15.0,11.0
647859,25.5,29.5,16.0,13.0,12.0,20.0,18.0,19.5
NORAD,12885.5,11108.5,9174.5,10320.0,9105.0,9451.0,13216.0,12728.5
PPP1R3G,0.5,0.0,1.0,1.0,2.0,1.0,1.0,2.0
AC025171.1,524.5,376.5,319.0,486.0,892.0,844.0,256.0,331.0
649946,112.0,89.5,44.0,64.5,25.0,28.0,47.0,66.5
ABCA17P,20.0,20.5,8.5,11.0,12.0,12.0,15.0,14.0
ZNF192P1,72.0,58.0,56.5,60.5,98.0,81.0,50.0,64.0
651430,3.5,2.5,2.0,3.5,4.0,3.0,3.0,3.0
ANKRD33B,20.0,21.0,79.0,102.5,16.0,14.0,119.0,112.5
AC141586.1,250.0,200.5,182.5,224.5,223.0,209.0,191.0,247.5
SNORA48,62.5,51.5,29.0,38.5,33.0,38.0,33.0,48.0
652966,47.0,33.0,21.0,21.0,28.0,24.0,31.0,28.0
CASTOR1,4.5,4.5,5.0,4.0,4.0,3.0,2.0,4.5
652995,2.5,1.5,2.0,2.0,2.0,4.0,1.0,0.5
XAGE1B,1496.5,1229.5,1959.0,3064.0,2422.0,2422.0,3286.0,3121.5
GOLGA8J,1438.0,1031.0,672.0,839.0,742.0,758.0,983.0,1120.0
GOLGA8T,116.5,91.5,73.0,68.5,50.0,54.0,66.0,73.0
653113,70.0,49.5,55.0,67.5,54.0,66.0,57.0,65.5
ZBTB8A,188.0,182.5,53.5,68.5,26.0,22.0,13.0,17.5
GOLGA8K,892.0,704.0,497.0,578.0,422.0,463.0,645.0,628.0
FAM228A,2.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0
ANXA8,0.0,0.0,2.0,3.5,0.0,0.0,1.0,2.5
AC114490.1,55.5,54.0,56.5,58.0,95.0,92.0,57.0,71.5
653188,56.0,47.5,52.5,48.0,48.0,50.0,49.0,50.0
XAGE1A,1496.5,1229.5,1959.0,3064.0,2422.0,2422.0,3286.0,3121.5
KIAA0895L,184.5,143.0,106.0,157.0,211.0,204.0,202.0,178.0
653390,357.5,336.0,315.5,316.0,320.0,315.0,472.0,460.0
SRGAP2C,105.5,105.5,79.0,66.0,108.0,105.0,88.0,95.0
653479,227.5,199.0,150.5,216.5,130.0,143.0,178.0,172.0
653483,2.0,1.5,6.5,7.5,1.0,1.0,8.0,12.0
GPR89A,141.5,141.0,214.5,214.0,205.0,223.0,216.0,195.0
TMEM236,2.5,1.5,1.5,2.0,1.0,2.0,2.0,3.5
PHLDB3,15.5,10.0,4.5,12.5,6.0,10.0,10.0,6.5
PPIAL4C,7.0,3.5,4.5,4.0,7.0,11.0,5.0,4.5
WASH7P,236.0,159.5,149.0,235.0,239.0,232.0,183.0,225.5
GOLGA6C,2.5,3.0,2.0,1.0,0.0,0.0,3.0,1.0
TBC1D3P1-DHX40P1,405.5,344.0,378.0,436.5,417.0,433.0,390.0,378.0
AC025048.6,1556.0,1345.5,734.0,851.0,331.0,302.0,1168.0,1200.5
653659,42.5,36.5,45.5,47.5,43.0,47.0,58.0,55.5
SEC1P,19.0,20.5,12.0,19.0,8.0,11.0,18.0,19.0
653691,3.0,3.5,1.5,1.0,2.0,7.0,1.0,2.5
653712,49.5,41.5,25.5,36.0,37.0,33.0,36.0,27.5
GOLGA8M,6217.5,5382.0,3424.0,3595.0,3705.0,4110.0,5044.0,5032.0
MZT2A,98.0,89.5,71.0,98.0,125.0,144.0,93.0,105.0
OTOAP1,1.0,2.5,0.0,1.0,0.0,0.0,2.0,1.5
FAM72B,275.5,247.5,145.5,156.0,340.0,315.0,166.0,154.5
ZNF732,3.0,2.0,2.0,2.5,0.0,0.0,0.0,2.0
SNORA5A,22.0,17.0,10.5,17.0,23.0,23.0,16.0,15.5
SNORA8,137.0,104.0,71.5,78.5,116.0,129.0,125.0,143.5
SNORA75,36.0,22.0,9.5,14.5,29.0,21.0,24.0,23.5
SNORA13,11.5,12.0,13.5,9.0,16.0,9.0,5.0,7.5
654342,1.0,2.0,1.5,1.0,2.0,5.0,1.0,0.5
LGALS9C,13.0,16.5,9.5,9.0,8.0,11.0,9.0,11.0
NME1-NME2,2623.5,2350.5,2131.0,2830.0,1950.0,2519.0,2585.0,2548.0
LRTM2,2.0,4.5,2.0,4.0,5.0,3.0,2.0,1.5
PAX8-AS1,0.5,0.0,2.5,5.0,22.0,28.0,9.0,11.0
SNHG20,358.0,254.5,203.5,325.5,256.0,225.0,320.0,342.5
654466,14.5,15.0,14.5,16.5,14.0,7.0,12.0,13.0
PCP4L1,2.5,1.0,2.5,4.5,8.0,7.0,2.0,1.0
NCF1B,363.5,273.5,133.5,144.0,92.0,83.0,205.0,174.0
NCF1C,452.0,327.5,93.5,134.5,75.0,85.0,188.0,208.5
654841,8.0,11.0,12.0,11.0,15.0,13.0,19.0,15.5
664618,36.5,25.5,18.5,51.5,51.0,40.0,33.0,43.5
HNRNPA1P10,8480.5,6959.5,5169.5,6900.0,7224.0,7309.0,6801.0,6517.5
SCARNA20,5.0,2.5,3.0,2.5,4.0,6.0,2.0,1.0
SCARNA21,4.0,4.5,2.0,5.5,1.0,2.0,1.0,2.0
SCARNA18,1.0,1.0,0.5,1.0,0.0,1.0,2.0,2.0
SCARNA2,16.0,7.0,9.0,7.0,11.0,8.0,12.0,12.5
SCARNA7,56.0,38.0,28.0,56.5,18.0,34.0,57.0,61.5
SCARNA13,19.0,18.0,8.5,18.5,11.0,13.0,24.0,30.5
SNHG22,19.0,12.0,7.5,14.5,9.0,7.0,16.0,13.0
SCARNA22,14.0,11.0,5.5,10.0,25.0,23.0,5.0,8.0
SCARNA4,13.5,8.5,5.0,10.5,17.0,10.0,10.0,13.5
SCARNA6,6.0,7.0,5.5,3.0,4.0,2.0,4.0,6.5
SCARNA1,4.0,2.0,2.0,1.5,3.0,3.0,1.0,1.0
SCARNA5,7.0,8.0,4.5,5.0,2.0,3.0,3.0,2.5
SCARNA8,12.5,7.0,5.5,8.5,12.0,10.0,9.0,6.5
SCARNA12,107.5,68.5,62.0,88.5,121.0,100.0,86.0,83.5
SCARNA15,15.0,10.5,11.0,8.5,11.0,11.0,16.0,17.5
SCARNA16,27.0,26.5,18.5,21.0,22.0,21.0,29.0,19.5
SNORA1,40.0,22.5,15.0,27.5,29.0,18.0,32.0,36.0
SNORA2A,6.5,5.0,5.5,4.0,6.0,4.0,3.0,3.0
SNORA2B,5.0,5.0,6.0,5.0,12.0,10.0,5.0,4.0
SNORA5B,7.0,3.5,5.0,3.5,6.0,7.0,5.0,6.5
SNORA5C,18.5,16.0,4.0,12.0,17.0,15.0,11.0,12.0
SNORA7B,12.0,9.5,4.0,15.5,12.0,12.0,18.0,17.0
SNORA9,105.0,71.0,52.5,64.5,89.0,83.0,71.0,84.0
SNORA12,6.0,5.0,4.5,2.0,3.0,5.0,6.0,4.5
SNORA14B,9.5,12.5,9.0,8.0,11.0,6.0,7.0,7.5
SNORA15,7.5,3.5,2.5,3.5,8.0,9.0,4.0,7.0
SNORA17A,71.0,45.5,32.0,47.0,33.0,42.0,36.0,58.5
SNORA18,202.5,180.5,128.5,131.5,204.0,196.0,184.0,222.5
SNORA20,17.5,13.0,6.5,10.0,12.0,15.0,15.0,17.0
SNORA22,15.0,15.0,8.5,5.0,7.0,7.0,11.0,7.5
SNORA23,5.0,9.0,4.0,6.0,5.0,3.0,5.0,7.0
SNORA24,63.0,45.5,34.0,35.5,64.0,51.0,51.0,53.0
