ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 8_Out_Channel Alignment_P2-6.czi",3,5,100927.09190636,366.59708737864,236.95631067961,54, , ,"Aqua", , ,25438,308,1444,14705.796116505,57.436893203884,643.08737864078,6876,0,0,103,103,103,18562,308,1444,5073.8725597064,89.922697728236,357.13830206227,1514697,5916,66238,24900731901,1164578,55606694
"Image 8_Out_Channel Alignment_P2-6.czi",6,7,35275.48843329,255.36111111111,137.88888888889,54, , ,"White", , ,7194,6259,9110,4168.7777777778,4469.5277777778,4554.3611111111,2033,2381,2730,36,36,36,5161,3878,6380,1414.424185942,1020.132694061,1711.927704628,150076,160903,163957,695654346,755583903,849293761
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,56528970.214347,316.59637718842,235.71124978333,55,31.30295,31.30295,"Yellow",2,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,25476.741646265,263,216.5,55, , ,"Aqua", , ,17281,2701,3931,13717.769230769,1568.4230769231,1731.5,10516,955,62,26,26,26,6765,1746,3869,1931.151020665,461.13990701972,1263.7945481763,356662,40779,45019,4985840616,69274975,117879815
"Image 8_Out_Channel Alignment_P2-6.czi",3,5,97987.46787025,366.38,236.87,55, , ,"Aqua", , ,26041,278,1429,14971.68,54.99,660.51,6257,0,3,100,100,100,19784,278,1426,5205.6854949491,82.8745547088,369.49243086246,1497168,5499,66051,25097937188,982341,57143287
"Image 8_Out_Channel Alignment_P2-6.czi",6,7,52913.232649935,316,179.5,55, , ,"White", , ,3387,4750,1477,1819.1851851852,3304.6481481482,186.24074074074,0,1912,0,54,54,54,3387,2838,1477,1323.7026268406,769.05374735272,371.62031420728,98236,178451,10057,271575474,621064281,9192411
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55777406.335782,315.21331447745,235.54569330499,56,31.30295,31.30295,"Yellow",1,3, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,94067.96915544,366.27083333333,236.92708333333,56, , ,"Aqua", , ,25857,246,1405,14862.59375,53.71875,651.95833333333,6655,0,70,96,96,96,19202,246,1335,5181.8365949132,76.753152258256,368.86445711033,1426809,5157,62588,23756968423,836677,53730562
"Image 8_Out_Channel Alignment_P2-6.czi",5,6,25476.741646265,255,137.5,56, , ,"White", , ,7156,5585,9094,4690.9230769231,3968.3846153846,5011.6538461539,2295,2364,2605,26,26,26,4861,3221,6489,1313.2729167413,863.9565302455,1916.0824396107,121964,103178,130303,615240886,428110510,744817829
"Image 8_Out_Channel Alignment_P2-6.czi",5,7,48013.859256423,316.15306122449,179.15306122449,56, , ,"White", , ,3916,5281,756,2410.5102040816,3536.2857142857,83.448979591837,0,1968,0,49,49,49,3916,3313,756,1375.9580165962,889.46596805799,206.33004115822,118115,173278,4089,375593915,650735702,2384683
