,K562_DMSO_rep1,K562_DMSO_rep2,K562_DMSO_rep3,K562_JQ1_rep1,K562_JQ1_rep2,K562_JQ1_rep3,MV4.11_DMSO_rep.1,MV4.11_DMSO_rep.2,MV4.11_DMSO_rep.3,MV4.11_JQ1_rep.1,MV4.11_JQ1_rep.2,MV4.11_JQ1_rep.3,genes
124,1,7,3,4,3,0,0,0,0,0,0,0,AMHR2
125,42,49,27,28,22,5,41,53,47,17,15,15,AMPD2
126,23,12,10,15,6,9,11,13,9,2,1,3,AMPD3
127,3,5,5,0,1,2,1,1,0,0,0,0,BIN1
128,1,0,0,0,0,1,0,5,1,1,0,2,AMT
129,0,0,0,0,0,0,0,0,2,0,0,0,AMY1A
130,0,0,0,0,0,0,0,0,2,0,0,0,AMY1B
131,0,0,0,0,0,0,0,0,2,0,0,0,AMY1C
132,0,0,0,0,0,0,4,3,3,5,3,2,AMY2B
133,1,0,1,0,0,0,1,2,1,3,2,4,ANG
134,125,106,102,97,105,86,0,0,1,0,0,0,ANGPT1
135,217,233,211,349,277,197,0,0,0,0,0,0,ANK1
136,16,11,14,24,8,4,0,0,0,0,1,1,ANK3
137,0,1,0,1,0,0,0,1,1,0,0,0,ANPEP
138,95,47,65,77,87,58,0,0,0,0,0,0,SLC25A4
139,409,478,406,504,460,349,475,380,734,420,725,521,SLC25A5
140,515,525,442,381,426,272,726,683,1178,588,826,688,SLC25A6
141,147,104,104,39,29,36,17,9,16,6,10,7,ANXA1
142,191,210,180,199,176,139,114,104,172,89,123,111,ANXA2
143,0,0,1,0,0,1,0,0,0,1,0,0,ANXA2P1
144,1,0,0,1,0,0,0,0,0,0,0,0,ANXA3
145,3,1,3,5,3,0,24,25,22,9,23,16,ANXA4
146,54,42,41,56,46,39,27,22,54,30,54,41,ANXA5
147,0,1,2,2,0,0,25,15,43,14,19,7,ANXA6
148,126,125,92,138,120,83,39,27,71,45,75,52,ANXA7
149,18,28,30,15,16,7,27,22,48,14,13,25,ANXA11
150,0,0,0,0,0,0,0,0,1,0,2,0,AOAH
151,2,0,0,5,2,3,0,4,2,0,0,1,AOC2
152,0,0,0,0,0,0,0,0,0,0,4,0,AOX1
153,8,5,5,11,13,7,74,78,102,58,80,51,APAF1
154,21,6,6,15,8,2,11,13,33,12,24,12,NUDT2
155,0,0,0,0,0,0,18,12,30,16,27,25,APBA1
156,5,7,3,16,8,5,3,5,2,0,1,1,APBA2
157,0,0,0,1,0,0,3,1,7,1,0,0,APBB1
158,10,13,15,11,11,12,2,0,0,0,2,2,APBB2
159,67,75,60,89,60,45,78,57,119,44,64,56,APC
160,12,16,11,17,20,14,36,28,76,34,33,45,APEH
161,133,147,97,148,114,79,427,371,549,285,366,282,APEX1
162,129,113,64,90,62,49,79,54,138,60,103,66,BIRC2
163,0,0,0,1,0,0,0,1,1,0,0,0,BIRC3
164,132,140,129,121,139,75,189,141,229,169,263,179,XIAP
165,155,165,164,183,141,119,238,191,299,177,229,186,BIRC5
166,0,1,0,0,0,0,4,1,0,0,2,2,APLP1
167,60,98,65,154,123,87,102,95,129,104,139,124,APLP2
168,0,0,0,1,0,0,0,1,9,1,0,3,APOA1
169,18,12,18,11,1,1,2,0,2,0,0,0,APOC1
170,0,0,0,0,0,0,78,69,142,50,44,47,APOC2
171,0,0,0,0,0,2,0,0,1,1,0,0,APOE
172,0,1,0,0,0,0,52,31,90,39,72,47,APP
173,53,34,22,32,25,21,40,39,62,33,54,40,APRT
174,0,1,2,0,1,1,7,5,15,4,1,3,FAS
175,0,0,0,0,0,0,0,0,1,0,0,0,SHROOM2
176,17,7,5,3,2,2,0,2,3,1,1,0,AQP1
177,71,67,60,62,49,20,10,14,14,16,7,16,AQP3
178,8,8,6,11,7,3,0,0,2,0,1,1,AR
179,14,32,22,39,31,17,23,14,29,21,17,18,ARAF
180,126,128,132,147,131,93,200,220,319,184,346,182,ARCN1
181,64,37,50,51,58,41,41,32,84,41,67,56,TRIM23
182,24,20,25,12,15,6,3,0,0,0,0,0,AREG
183,1216,1141,1002,1266,1167,902,902,711,1309,781,1164,880,ARF1
184,47,41,25,56,48,31,66,75,139,73,72,62,ARF3
185,1680,1999,1678,2339,1993,1402,1176,963,1631,980,1736,1226,ARF4
186,7,4,10,6,12,4,20,11,22,19,18,21,ARL4D
187,62,52,37,34,30,22,20,16,16,15,38,13,ARF5
188,680,783,679,840,667,517,1389,1223,2014,1200,1768,1304,ARF6
189,7,4,12,5,3,2,0,0,2,0,0,0,ARG2
190,247,254,168,250,227,158,570,429,787,446,680,553,RHOA
191,37,21,27,32,46,21,22,18,30,13,25,22,RHOB
192,49,46,45,80,42,37,0,1,1,1,4,1,RHOC
193,84,130,111,175,114,97,389,306,542,315,328,385,RHOG
194,29,28,26,21,32,25,235,160,321,192,260,199,ARHGAP1
195,0,0,0,2,0,0,18,14,39,14,34,15,ARHGAP4
196,86,87,60,90,74,32,0,0,0,0,0,0,ARHGAP5
197,67,64,49,85,74,61,1,0,2,3,2,3,ARHGAP6
198,70,51,50,50,60,42,149,111,203,107,147,114,ARHGDIA
199,0,0,0,0,0,1,431,432,736,416,471,441,ARHGDIB
200,46,56,52,31,18,17,112,73,182,53,80,75,RHOH
201,94,91,53,76,52,66,62,42,83,38,63,43,ARL1
202,10,12,5,19,10,6,15,11,29,6,26,20,ARL2
203,17,12,11,14,9,7,26,19,29,28,25,36,ARL3
204,15,24,18,23,24,16,37,52,92,27,55,23,ARNT
205,0,0,0,0,0,0,21,11,43,14,33,23,ARNTL
206,18,30,18,36,20,25,86,64,150,62,88,74,ARRB1
207,5,4,2,2,6,1,41,40,60,19,31,26,ARRB2
208,0,0,0,2,0,0,5,3,3,5,0,2,ARSA
209,6,2,3,3,5,0,32,42,63,27,71,44,ARSB
210,3,0,6,4,2,4,16,17,28,19,18,22,STS
211,0,2,0,0,1,0,18,19,21,23,30,25,ARSD
212,0,0,0,0,0,0,0,0,1,0,0,0,ARSL
213,37,20,12,37,19,10,0,2,3,4,2,2,ARVCF
214,20,16,10,31,18,15,25,23,22,24,33,38,ASAH1
215,4,2,10,2,0,0,8,1,4,1,6,4,ASCL2
216,0,0,0,0,0,0,4,6,2,3,0,0,ASGR1
217,0,0,0,0,0,0,1,4,2,0,0,0,ASGR2
218,2,1,0,1,2,0,0,1,0,0,0,1,ASL
219,11,14,23,24,26,11,22,27,29,22,17,16,GET3
220,54,42,34,59,59,28,13,28,22,20,14,22,ASNS
221,44,44,36,49,23,32,112,50,145,76,128,94,ASPH
222,1,0,0,0,0,0,5,1,4,8,1,5,ASS1
223,6,6,2,4,4,4,2,4,5,4,6,4,ZFHX3
224,174,164,123,97,105,79,116,109,169,73,122,98,ATF1
225,65,61,54,85,70,56,28,19,25,23,28,29,ATF3
226,1193,884,866,926,915,778,1246,969,1592,986,1743,1178,ATF4
227,77,61,87,91,83,37,117,93,165,67,96,81,ATIC
228,34,35,43,37,23,27,86,93,110,81,108,58,ATM
229,67,90,78,66,73,61,69,72,127,52,86,49,RERE
230,21,30,13,23,35,18,12,14,33,15,24,26,ATOX1
231,149,150,133,139,118,98,92,81,110,78,132,107,ATP1A1
232,0,0,0,0,0,0,0,2,1,0,0,0,ATP1A2
233,0,0,0,0,0,0,0,1,5,0,0,1,ATP1A3
234,32,37,30,28,37,27,14,12,18,10,18,15,ATP1B1
235,8,25,16,38,20,20,0,0,0,0,0,0,ATP1B2
236,115,106,101,108,126,73,107,96,159,119,158,154,ATP1B3
237,0,0,0,0,1,1,0,0,0,0,1,0,ATP2A1
238,375,337,345,402,317,250,474,419,734,493,616,509,ATP2A2
239,2,1,0,0,0,0,2,2,5,2,3,2,ATP2A3
240,157,149,129,175,155,88,151,149,241,149,161,164,ATP2B1
241,0,0,0,0,0,0,0,1,0,0,0,0,ATP2B2
242,0,0,0,0,0,0,0,1,1,0,0,0,ATP2B3
243,17,30,13,12,23,12,57,52,73,23,50,32,ATP2B4
244,232,261,265,230,188,174,348,332,614,314,438,407,ATP5F1A
245,546,605,469,705,632,423,344,365,545,312,394,377,ATP5F1B
246,140,141,129,142,108,94,119,102,178,92,84,120,ATP5F1C
247,4,3,2,4,6,1,7,7,6,3,7,7,ATP5F1D
248,443,354,371,294,316,256,327,240,434,263,424,285,ATP5F1E
249,429,484,418,459,440,309,325,228,520,262,412,312,ATP5PB
250,64,69,55,68,65,38,119,76,149,58,87,79,ATP5MC1
251,142,162,123,156,139,88,256,208,416,223,227,224,ATP5MC2
252,1412,1457,1350,1686,1334,1048,673,518,855,525,819,571,ATP5MC3
253,121,81,82,89,83,50,45,28,80,39,63,61,ATP5ME
254,209,198,210,171,157,129,261,205,365,161,320,228,ATP5PF
255,40,59,60,64,44,40,46,51,88,40,56,57,ATP6V1A
256,172,127,150,152,133,92,210,177,309,196,387,236,ATP6V1B2
257,227,369,274,515,450,311,448,400,624,477,576,574,ATP6V0C
258,49,44,36,49,31,33,66,51,79,61,82,76,ATP6V1C1
259,166,165,157,217,191,128,216,187,361,188,245,213,ATP6V1E1
260,25,60,39,61,54,35,132,104,185,97,96,113,ATP6V0B
261,0,0,0,0,0,0,2,2,6,0,2,2,ATP6V1G2
262,40,55,39,59,35,28,15,7,22,3,13,2,ATP6V0A1
263,19,20,17,31,16,13,33,39,34,29,25,21,ATP6AP1
264,12,13,20,23,19,22,8,3,2,3,3,5,ATP7A
265,223,180,168,164,158,134,159,133,216,141,192,140,ATP5PO
266,6,3,15,5,1,5,0,0,0,0,0,0,ATP7B
