,K562_DMSO_rep1,K562_DMSO_rep2,K562_DMSO_rep3,K562_JQ1_rep1,K562_JQ1_rep2,K562_JQ1_rep3,MV4-11_DMSO_rep-1,MV4-11_DMSO_rep-2,MV4-11_DMSO_rep-3,MV4-11_JQ1_rep-1,MV4-11_JQ1_rep-2,MV4-11_JQ1_rep-3,genes
12320,473,411,389,392,463,418,0,0,0,0,0,0,STEAP1B
12321,2,1,1,0,1,2,1048,670,1087,647,1049,891,NAPSB
12322,88,79,83,125,96,67,585,376,761,506,549,575,NUDT14
12323,148,142,166,164,144,144,127,96,135,108,181,133,NATD1
12324,44,47,39,35,55,46,27,34,60,31,50,27,LMNTD2
12325,38,24,34,46,35,29,65,46,75,47,53,29,RPS2P32
12326,731,709,760,791,760,647,250,176,285,186,340,241,GK5
12327,309,354,307,433,418,270,798,564,1028,616,730,790,EML3
12328,325,329,281,341,301,250,172,130,232,161,267,163,MFSD8
12329,2146,2350,2074,2373,2189,1660,199,134,268,137,316,147,LYSMD2
12330,88,73,75,108,102,92,150,114,228,134,214,125,BCLAF3
12331,4,3,9,4,11,3,0,0,2,0,0,0,NPB
12332,330,420,401,520,423,327,106,89,123,90,237,97,SERINC5
12333,9,7,6,6,6,6,10,5,7,4,5,5,TINCR
12334,21,10,22,20,6,6,7,2,8,4,4,6,FRMD3
12335,1,5,0,0,1,1,2783,2159,3668,2102,2888,2413,ARHGAP30
12336,0,1,3,2,2,0,16,16,28,7,17,11,GCSAM
12337,521,501,503,495,521,458,289,215,416,217,335,267,RNF214
12338,22,17,16,22,21,9,10,15,19,8,26,16,C9orf43
12339,1,2,0,1,1,4,8,8,8,7,10,2,NEGR1
12340,1,3,4,0,2,0,46,31,51,39,36,39,DSCR9
12341,183,269,273,284,216,146,74,71,65,71,120,61,SHPRH
12342,9,7,9,5,9,3,52,51,81,32,80,54,CCDC96
12343,150,234,165,253,200,121,241,159,245,149,168,166,SNX33
12344,111,106,114,101,134,90,13,19,35,19,37,19,257396
12345,554,579,520,606,629,509,334,276,421,266,474,326,TAB3
12346,7,3,2,3,2,3,50,53,85,34,60,43,C2orf72
12347,1108,960,882,975,1046,872,765,567,881,565,930,668,FAM133B
12348,5484,5573,5200,6049,5710,4826,903,738,1236,719,1339,941,SVIP
12349,2520,2715,2617,2563,2514,2081,58,33,68,59,77,51,SGMS1
12350,16,9,9,7,17,13,1,1,0,1,0,0,DSCR10
12351,1544,1924,1794,2224,2000,1487,1264,966,1913,1054,1752,1233,ASPM
12352,276,349,305,404,390,209,380,282,439,328,624,274,BOD1L1
12353,67,53,43,92,55,30,29,27,59,27,52,26,TAS2R20
12354,22,10,12,25,15,17,137,57,147,91,117,120,IL4I1
12355,192,222,151,248,257,170,79,82,119,82,100,100,NSUN5P2
12356,78,67,76,73,72,93,39,26,59,29,34,42,MAGI3
12357,5318,5074,5049,5803,5768,4741,3540,2675,4971,3009,5390,3640,TIPRL
12358,301,320,263,396,301,273,477,402,641,431,774,442,NPHP4
12359,31,3,18,2,4,2,0,0,0,0,0,0,MAGEA2B
12360,371,300,274,301,313,241,173,160,215,131,216,155,NAP1L5
12361,92,103,88,131,101,56,64,31,74,45,56,35,PIPSL
12362,194,184,172,187,184,111,119,99,200,104,225,126,PGBD2
12363,81,91,87,102,93,58,42,28,68,47,40,50,PGBD3
12364,651,422,418,394,446,431,211,155,177,145,241,143,ATP5MGL
12365,7188,6061,6325,6889,7331,5662,6923,5102,9431,5636,8207,6466,SELENOH
12366,13,16,5,8,5,7,11,4,21,9,25,10,LINC00515
12367,27,25,28,24,34,21,2,3,7,2,1,5,AQP11
12368,1273,1358,1209,1619,1371,1050,0,0,0,0,0,0,OR51B5
12369,408,492,388,493,433,394,564,450,752,470,954,530,POC1B
12370,83,150,71,141,133,104,83,55,88,56,82,67,ZNF311
12371,965,844,785,873,975,764,1642,1088,1973,1090,1976,1404,FUOM
12372,772,606,646,699,720,519,1770,1252,2007,1316,2464,1581,STK32C
12373,2643,2010,2059,1935,2120,1786,1944,1222,1971,1274,3155,1483,BLOC1S2
12374,132,166,144,182,143,106,0,2,0,2,1,0,RBM20
12375,66,37,43,58,63,38,198,133,238,140,286,157,PDCD4-AS1
12376,15,16,17,20,7,13,3,8,9,9,5,7,283011
12377,0,0,1,1,2,1,12,3,4,2,8,3,ZMIZ1-AS1
12378,20,28,44,27,34,21,106,75,136,87,143,92,SBF2-AS1
12379,868,1093,918,1302,1240,897,4,4,6,1,4,5,H19
12380,43,27,27,23,26,21,73,67,119,54,92,68,SLC25A45
12381,3,0,0,1,0,0,23,22,25,14,24,17,LINC00900
12382,533,496,497,464,454,410,302,220,390,198,395,237,BCL9L
12383,3,3,1,3,4,3,28,31,39,27,47,43,CCDC153
12384,187,147,152,169,137,136,246,206,339,230,400,276,PGM2L1
12385,94,80,86,106,78,54,39,44,70,58,99,75,KCTD21
12386,162,182,170,256,200,153,10,13,20,6,10,9,CRACR2B
12387,468,563,517,644,626,473,603,508,843,519,810,613,TMEM80
12388,151,95,118,118,111,89,416,341,547,371,503,405,CCDC88B
12389,394,417,397,469,488,353,327,275,560,313,376,385,TTC9C
12390,119,117,99,83,83,76,126,85,94,72,193,84,RCOR2
12391,82,73,74,55,62,50,76,53,126,64,121,91,HARBI1
12392,15,15,15,24,18,12,25,19,23,11,27,14,C1RL-AS1
12393,86,88,76,73,84,46,673,577,1067,589,856,694,CD163L1
12394,69,49,56,75,75,41,20,15,29,14,30,12,283335
12395,426,366,386,336,442,327,448,432,577,342,791,472,ZNF740
12396,887,894,797,955,842,614,670,414,566,440,1133,482,RASSF3
12397,797,799,736,1044,913,700,9,4,2,6,6,6,TMEM132D-AS1
12398,1131,1097,1069,1399,1307,855,1141,896,1336,933,1325,1053,ANKRD52
12399,713,748,694,771,732,604,761,590,980,608,966,642,SPRYD4
12400,75,53,45,61,66,30,5,1,0,1,0,1,ADGRD1
12401,16,21,8,18,9,4,16,14,16,8,6,9,LINC01465
12402,30,45,35,24,29,17,230,155,281,162,272,187,GAS2L3
12403,353,309,334,384,404,299,234,183,293,191,375,252,HECTD4
12404,2664,2498,2558,2775,2858,2168,1087,861,1406,883,1597,1148,GATC
12405,0,0,0,2,1,0,39,23,41,12,25,21,MUC19
12406,904,822,801,878,880,702,642,485,822,562,1008,600,GXYLT1
12407,21,13,11,18,14,5,82,65,109,64,74,67,FGF14-AS2
12408,95,113,95,111,86,99,1,0,1,0,0,1,LINC00346
12409,1383,1465,1382,1491,1507,1167,2185,1769,2678,1737,3324,2080,CHAMP1
12410,70,86,57,51,63,46,47,58,100,30,78,45,KCNRG
12411,107,98,98,108,111,81,176,129,255,147,249,169,SLC46A3
12412,24,22,18,28,25,16,33,31,63,19,52,31,LINC01588
12413,9,3,4,9,8,0,2,3,10,1,13,2,GPR137C
12414,1537,1714,1543,2048,1840,1396,4137,3304,5277,3383,6101,3835,TMED8
12415,458,411,406,420,426,324,481,357,598,314,513,407,SNHG10
12416,367,337,335,349,375,294,170,125,205,153,246,159,LINC00641
12417,512,571,521,620,597,526,187,130,206,133,295,197,FAM177A1
12418,561,481,472,591,553,413,431,363,543,367,624,391,CEP170B
12419,592,452,421,567,471,403,702,441,845,516,825,597,TEDC1
12420,17,18,15,27,16,15,1,0,2,1,1,1,PRTG
12421,9,8,8,12,13,4,705,635,1069,505,923,632,LINC00926
12422,831,592,647,676,764,553,1023,788,1281,800,1107,1049,283683
12423,5,3,6,7,12,4,16,3,12,7,5,11,ACTG1P17
12424,108,78,63,90,81,63,1,2,1,1,0,1,SAXO2
12425,4309,4425,3981,4538,4191,3468,2152,1725,2845,1813,3188,2138,FAM98B
12426,31,29,21,47,36,29,69,35,82,50,93,50,HERC2P3
12427,3,7,8,5,3,7,208,147,251,162,180,198,GOLGA8IP
12428,2,0,0,0,0,0,19,24,23,10,20,15,FBXL22
12429,3,1,1,11,2,1,5,0,13,6,15,10,NOMO2
12430,12,16,17,27,11,20,26,13,40,29,40,29,BRICD5
12431,3949,3985,3950,4482,4603,3492,3455,3016,5346,3087,4177,3839,PGP
12432,8,6,7,5,5,3,7,3,14,8,4,16,LINC02175
12433,2,0,1,2,0,1,853,702,1137,527,874,707,C16orf54
12434,718,568,673,727,634,504,797,611,945,667,1054,752,INO80E
12435,144,160,140,181,180,147,692,518,857,560,911,649,NUDT7
12436,127,99,101,139,114,65,73,27,68,27,47,28,FBXL19-AS1
12437,73,59,62,44,58,42,178,105,150,64,154,114,NHLRC4
12438,1738,1868,1812,1949,1907,1264,1150,706,1257,785,1314,806,C16orf91
12439,220,164,212,185,238,202,278,253,418,228,281,309,283970
12440,1272,1285,1209,1370,1385,1074,830,634,1141,587,933,828,TSEN54
12441,2277,2536,2366,2506,2490,1725,2915,2012,3682,2104,3635,2513,UBALD2
12442,101,61,59,78,75,44,743,497,993,521,797,787,CCDC57
