	DMSOshBRD4_1	DMSOshBRD4_2	DMSOshBRD4_3	DMSOshSCRAM1	DMSOshSCRAM2	DMSOshSCRAM3	SGCshBRD4_1	SGCshBRD4_2	SGCshBRD4_3	SGCshSCRAM1	SGCshSCRAM2	SGCshSCRAM3
ENSG00000005243	1.260315811	1.231914615	1.359836307	0.698106509	0.853492322	0.687211043	1.025673262	1.122834385	1.01088264	0.87940399	0.710010611	1.297330436
ENSG00000005249	16.53237799	16.01489	15.75810309	8.988121301	6.543441132	8.847842179	19.80338375	14.22256888	15.0077192	15.38956983	14.70736265	13.78413588
ENSG00000005302	28.91312742	32.76892877	35.35574399	31.24026627	35.94150999	34.18874939	29.03444311	32.48734155	32.50376489	34.12087482	31.95047749	34.4603397
ENSG00000005339	108.9802495	96.66423349	106.4671838	105.6758728	112.376489	102.7380509	107.8534884	104.4235978	98.98873853	118.6315983	90.06991749	103.1377696
ENSG00000005379	129.1453025	138.9599686	145.8224464	54.71409763	63.34809676	62.53620492	176.3369031	250.7663461	247.5107264	304.8893634	367.1769159	393.9019536
ENSG00000005381	9.711845364	8.869785231	10.63871934	18.06350592	12.99204978	10.47996841	17.59424134	14.52199139	15.39652021	35.79174241	33.87764915	33.56842503
ENSG00000005436	15.42033462	15.27574123	14.71822827	17.01634615	13.84554211	17.5238816	18.54101666	17.74078329	19.12900996	24.27155013	21.09745815	19.29779023
ENSG00000005448	23.35291061	30.46935482	27.35670689	27.05162722	31.19988598	26.02811826	29.90232049	36.30497846	36.15849443	34.73645762	42.80349683	43.94706851
ENSG00000005469	5.115399467	5.58467959	5.279364487	3.839585799	2.655309445	2.834745553	4.576080708	5.015326922	3.810249951	4.57290075	3.752913229	3.081159785
ENSG00000005471	2.965448966	2.628084513	3.19961484	1.919792899	1.801817123	2.920646933	3.077019786	1.57196814	1.944005077	0.703523192	1.420021222	1.054080979
ENSG00000005483	105.2734383	98.63529688	92.94881112	83.68551775	92.27200321	93.97611014	100.6737756	98.13572529	99.53305995	80.90516711	76.17399554	78.89390713
ENSG00000005486	28.91312742	24.2276541	25.59691872	25.39362426	20.48381572	20.01502163	24.06387269	18.86361768	20.45093341	16.70867582	17.14168475	18.32479241
ENSG00000005700	72.50522722	78.18551426	86.38960069	85.9543639	89.4270288	101.9649385	77.5566782	74.03221381	73.48339192	87.32481624	86.8241547	87.73197072
ENSG00000005801	39.95942482	42.37786277	47.35429964	46.33681952	51.11470681	57.03851657	38.5021963	43.64082978	44.55659637	48.45515987	50.51218346	52.05538374
ENSG00000005810	215.3657312	231.6820753	233.491893	186.2199112	199.5275383	218.9626186	251.2899492	271.3516432	270.0611853	247.8160445	253.9809385	247.3036143
ENSG00000005812	42.55419266	42.13147985	46.15444407	37.78501479	42.5797836	45.78543574	45.12962353	44.68880854	43.54571373	42.91491473	40.57203491	43.4605696
ENSG00000005844	948.8695329	883.5291622	867.3355929	1514.105754	1650.085155	1480.682094	771.2273951	691.5162702	694.3208534	1123.96624	1046.25135	1049.053824
ENSG00000005882	18.75646471	11.66212503	11.99855565	12.2168639	13.94037459	11.51078497	20.27677141	14.22256888	14.92995899	16.79661621	15.82309361	13.45980327
ENSG00000005884	6.227442829	5.420424308	6.079268197	3.403269231	6.543441132	5.755392486	6.154039572	5.689027553	5.909775435	3.957317956	5.172934451	6.081236418
ENSG00000005889	42.92487378	42.95275626	41.59499293	39.44301775	47.41624009	47.24575921	38.97558396	41.84429476	39.57994337	39.13347757	40.87632517	36.56850166
ENSG00000005893	252.7303881	239.319946	237.5714019	245.7334911	246.5644484	257.5323384	226.594893	210.7185863	205.3646963	226.9741699	218.480408	204.9782089
ENSG00000005955	79.84471341	78.43189718	83.18998585	70.42149408	80.22827823	85.3859721	69.11459827	73.35851318	72.08370826	61.11857733	65.3209762	68.10984788
ENSG00000005961	11.71352342	12.97616728	12.47849788	14.7475	21.90630292	18.8124023	12.86036475	12.42603387	14.38563757	17.41219901	22.72033955	21.48703534
ENSG00000006007	73.39486191	66.93402744	61.99253753	54.19051775	46.75241273	50.3382089	79.60802472	70.43914378	68.89553993	57.42508057	52.03363477	50.19047124
ENSG00000006015	78.65853383	72.19019647	72.23130502	83.51099112	63.06359931	54.37557378	76.452107	74.25678069	72.70578988	70.26437883	67.45100803	73.86675169
ENSG00000006016	1.630996931	1.149786974	1.839778533	1.658002958	1.137989762	1.288520706	1.183469149	2.245668771	1.710724468	2.374390774	2.130031833	1.216247284
ENSG00000006025	48.92990794	49.85147811	48.07421298	34.73079881	34.80352022	35.99267838	47.96994949	48.73101233	52.8769381	37.11084839	38.34057299	39.7307446
ENSG00000006042	0.963770914	1.231914615	1.919768904	0.698106509	0.948324802	1.374422086	0.788979432	1.497112514	1.555204062	0.87940399	1.014300873	1.054080979
ENSG00000006062	6.523987725	8.705529949	9.758825263	5.235798816	6.448608652	6.098998007	7.653100494	7.710129447	10.49762742	7.123172322	7.505826458	7.378566854
ENSG00000006114	58.9382982	63.23828359	61.27262419	63.17863905	70.55536525	71.55584986	58.77896771	60.40848994	55.90958602	59.71153094	58.22087009	55.94737505
ENSG00000006125	227.4499357	211.6429309	210.2946854	224.7902958	216.5973847	233.2222477	261.3888859	224.3423102	225.2713083	242.2757993	215.031785	210.1675306
ENSG00000006194	80.7343481	81.30636462	80.87026509	69.8979142	72.54684733	75.42141197	83.15843217	80.54465325	83.90325913	68.24174965	75.56541501	77.27224409
ENSG00000006210	1.112043362	0.985531692	0.559932597	0.523579882	0.853492322	0.773112423	0.710081489	1.347401263	1.477443859	0.967344389	0.912870785	1.378413588
ENSG00000006282	82.14293636	67.75530385	75.75088135	70.07244082	60.31345739	51.54082823	83.00063628	65.42381686	66.56273384	63.4050277	58.11944	56.83928972
ENSG00000006327	7.487758639	4.434892616	5.439345229	2.966952662	6.827938572	4.982280062	3.787101275	3.742781285	4.510091779	2.286450375	4.868644189	5.189321743
ENSG00000006432	1.705133156	2.299573949	1.59980742	1.483476331	1.137989762	2.577041411	1.735754751	1.796535017	1.01088264	0.791463591	1.217161047	0.810831522
ENSG00000006451	38.47670034	39.17488477	35.99566696	50.17640532	41.25212888	50.93951857	40.00125722	40.04775975	39.11338215	44.76166311	44.22351805	40.13616036
ENSG00000006468	0.815498466	1.149786974	1.119865194	1.22168639	1.896649603	2.405238651	0.315591773	0.748556257	0.388801015	1.319105985	1.521451309	1.135164131
ENSG00000006530	6.746396398	8.459147026	8.878931182	9.860754437	11.56956258	10.30816565	11.51909971	11.45291073	11.58627026	11.16843068	11.05587951	11.43272447
ENSG00000006534	79.39989607	69.47998431	69.43164204	52.09619822	55.4770009	43.03659157	74.95304607	61.30675745	63.68560633	50.56572944	48.07786136	53.02838157
