,VHL_2h,DMSO_24h,DMSO_2h,MYBi_24h,PBS_24h,VHL_24h
TRIM21,362.5,560.5,402.0,298.0,233.5,570.5
RO60,418.5,1039.5,937.0,335.0,309.0,364.5
SSB,1423.0,2141.5,2283.0,639.0,787.0,1187.0
SSBP1,279.0,477.5,523.0,142.0,145.5,211.5
ITPRID2,461.0,1391.0,1141.5,316.0,429.0,387.5
SSR1,7477.5,10584.5,11134.5,4119.0,6146.0,5649.5
SSR2,10302.5,8046.0,9865.0,2987.0,4878.5,10085.0
SSR3,9153.0,11182.0,12917.0,2339.0,3485.0,6300.5
SSR4,545.5,409.0,493.5,537.0,385.5,605.0
SSRP1,4776.5,3979.0,4621.0,1913.0,2501.5,3732.0
SSTR2,3.5,3.5,3.0,0.0,1.5,2.0
SSTR3,0.5,0.5,0.5,2.0,0.0,0.0
SS18,1671.5,3336.5,3181.0,1077.0,951.0,1496.0
DENND2B,21.0,22.5,26.5,28.0,12.0,25.0
ST13,2086.0,4303.0,4121.5,1190.0,1382.0,1855.0
ST14,993.0,831.0,953.0,291.0,181.5,1016.0
STAC,0.0,0.0,0.0,0.0,0.0,0.5
STAR,2819.5,2971.5,3116.5,492.0,694.5,2320.5
STAT1,1373.0,2581.5,2775.0,903.0,732.5,1113.0
STAT2,652.5,1157.5,699.0,1331.0,934.0,794.5
STAT3,1393.5,1601.0,1580.0,1374.0,1073.5,1264.5
STAT5A,123.0,158.0,141.5,784.0,571.5,124.0
STAT5B,2217.5,2535.5,2436.0,878.0,1283.0,2153.5
STAT6,8093.0,9135.5,8659.5,5165.0,5628.5,8079.0
STAU1,2418.0,3021.5,2941.5,1460.0,1537.0,2085.0
STC1,0.0,6.0,2.0,0.0,0.0,2.5
HSPA13,829.5,3274.5,2373.5,160.0,381.0,952.5
STIM1,1080.0,1219.5,1128.0,943.0,1105.0,1084.5
NEK4,121.0,443.0,345.5,107.0,58.5,114.0
STK3,100.0,343.5,188.0,157.0,202.5,157.0
STK4,3673.5,5931.0,4902.5,2002.0,2004.0,3396.5
AURKA,1556.5,2000.0,1855.5,532.0,885.5,1818.0
AURKAP1,377.0,553.5,447.5,134.0,161.0,447.5
STK10,1419.5,1198.0,1529.5,956.0,1392.5,1122.0
STK11,499.0,576.5,494.5,667.0,418.5,532.5
AURKC,0.0,0.0,0.0,4.0,0.0,0.0
STRN,1098.5,2883.0,2062.5,466.0,773.0,1252.5
STX1A,186.0,127.0,156.0,81.0,67.5,98.0
STX3,192.5,263.5,242.0,384.0,315.5,210.0
STX4,151.5,140.0,146.5,248.0,135.0,129.5
STX5,864.5,829.5,870.0,742.0,648.0,922.5
STXBP1,1001.0,1171.5,1077.5,463.0,228.0,988.5
STXBP2,124.5,98.0,101.0,293.0,171.0,123.0
STXBP3,114.5,618.5,466.0,91.0,133.5,123.5
STYX,568.0,1797.5,1348.0,232.0,432.5,555.0
SULT1A1,87.0,93.5,98.0,163.0,74.5,108.5
SULT1A3,5.0,11.5,6.0,16.0,6.0,6.0
SUOX,162.0,237.0,170.5,181.0,135.5,188.5
SUPT4H1,4795.5,3989.0,5175.0,2990.0,2414.5,4121.0
SUPT5H,547.0,493.5,508.5,636.0,511.0,536.0
SUPT6H,763.5,719.0,715.0,576.0,564.0,751.5
SUPV3L1,22.0,29.5,25.0,11.0,20.5,26.5
SURF1,163.0,127.5,174.0,101.0,111.0,176.5
SURF2,24.5,42.5,39.0,15.0,3.5,26.0
SURF4,21658.5,19356.5,23821.0,8794.0,12140.0,16176.0
MED22,1944.5,1888.0,1943.5,404.0,540.5,1723.0
SURF6,5157.0,4221.0,5156.0,1707.0,1406.0,3276.5
SUV39H1,1638.5,1606.0,1762.0,500.0,1139.0,1537.0
SVIL,32.0,74.0,54.5,54.0,58.0,31.5
VAMP1,528.5,704.0,534.0,146.0,138.5,523.0
VAMP2,697.5,980.5,872.0,1330.0,691.5,685.0
VAMP7,2712.0,4953.0,4976.5,1477.0,1601.0,2248.0
SYK,2224.0,2784.5,2661.0,3357.0,5340.0,2119.0
SYN1,12.0,17.0,10.0,40.0,3.0,14.0
SYN2,3.0,2.5,2.0,14.0,16.0,1.0
SYP,42.5,41.0,47.5,39.0,35.5,37.0
SYPL1,863.0,2277.5,2058.0,508.0,1387.5,793.5
SYT5,8.5,4.0,11.0,7.0,5.5,1.5
TACR2,1.5,2.0,4.0,2.0,1.5,1.5
TACC1,7894.0,8293.5,10066.5,4040.0,3263.5,5188.0
ADAM17,1622.0,2121.5,2989.0,816.0,592.0,1094.5
TAF1,764.5,1456.0,1051.0,916.0,701.0,887.0
TAF2,570.0,1266.5,1066.0,488.0,453.5,603.0
TAF4,1.0,2.5,3.5,1.0,3.0,0.5
TAF4B,946.0,1250.5,1356.5,278.0,405.0,755.0
TAGLN,28.5,29.5,22.5,78.0,40.5,24.0
TAF5,369.0,875.0,738.5,202.0,268.0,383.5
TAF6,2772.5,2827.5,2753.0,1165.0,1165.0,2387.0
TAF7,563.0,1064.0,1139.5,550.0,510.0,429.0
TAF9,0.5,1.0,2.5,0.0,1.5,1.0
TAF10,610.0,534.0,599.5,563.0,413.5,640.5
TAF11,1975.5,2450.0,2485.5,677.0,796.5,1717.0
TAF12,457.5,693.5,629.5,293.0,220.5,526.0
TAF13,59.0,241.5,230.0,34.0,30.0,43.0
MAP3K7,1121.0,2377.0,1924.5,937.0,942.5,1179.5
TAL1,16.5,13.5,18.5,0.0,1.0,9.5
TAL2,0.0,0.5,0.5,0.0,0.0,0.0
TALDO1,1730.0,1407.0,1627.5,1124.0,852.0,1877.5
TAP2,0.0,0.0,0.5,0.0,0.5,0.0
TAPBP,346.5,350.0,580.5,93.0,97.0,323.0
TARBP1,145.5,235.5,164.0,101.0,174.0,266.5
TARBP2,160.0,131.0,149.0,88.0,119.5,180.0
TARS1,1984.0,2853.5,3228.0,1130.0,1528.5,1773.5
TBX1,284.0,317.0,265.5,95.0,28.5,287.5
CNTN2,0.0,0.0,0.0,0.0,0.0,0.0
TAZ,610.0,487.5,544.5,379.0,457.0,559.0
TBCA,242.0,489.0,504.5,162.0,155.5,193.5
TBCC,160.5,258.5,334.0,249.0,62.5,118.5
TBCD,3.0,4.0,4.0,6.0,6.0,2.0
TBCE,264.5,563.5,521.5,201.0,142.0,205.5
TBL1X,1279.0,1117.0,1477.5,1066.0,1168.5,871.0
TBP,293.0,384.5,409.0,166.0,188.5,272.0
TBX6,18.5,20.0,23.0,13.0,6.5,21.5
TBX15,5.5,1.0,6.5,2.0,0.0,1.5
TBXA2R,3.0,1.5,2.5,8.0,34.5,1.5
TBXAS1,43.5,39.5,40.5,94.0,53.5,52.0
TCEA1,1896.5,4820.5,4593.5,510.0,964.5,1642.5
TCEA2,27.0,30.5,27.5,39.0,28.0,23.0
TCEA3,1.0,0.5,1.0,6.0,3.0,0.5
ELOC,590.5,1204.0,1329.0,391.0,407.0,454.0
ELOB,793.0,676.5,779.0,599.0,524.5,857.0
ELOA,1023.5,1174.0,1325.5,712.0,344.5,773.5
TCF4,432.0,857.5,813.5,821.0,264.5,388.5
TBX3,301.0,432.5,582.5,57.0,40.0,207.0
HNF1A,73.5,72.0,95.5,21.0,29.5,52.5
TCF3,6839.5,7417.0,7157.0,2956.0,3419.0,5970.5
TCF7,23.0,7.5,20.0,139.0,58.5,9.5
TCF7L2,73.5,113.5,131.5,9.0,34.5,51.5
ZEB1,0.5,0.0,0.0,4.0,2.0,0.5
GCFC2,111.5,276.0,268.5,152.0,122.5,107.0
TCF12,1612.0,3653.0,2341.5,858.0,1102.5,2051.0
TCF15,0.0,0.0,0.0,6.0,2.0,0.0
ZNF354A,28.5,87.0,60.5,56.0,28.0,34.5
TCF19,1.0,0.5,2.5,0.0,0.0,2.5
TCF20,1.5,9.0,4.0,6.0,7.5,3.5
VPS72,770.0,901.0,794.5,513.0,527.0,844.0
MLX,2674.5,3044.5,2878.5,1567.0,1540.0,2359.0
