,JQ1,MYBi_30m,MYBi_6h,PBS_6h,MS2_JQ1,DMSO,PBS_30m,MS2
100130691,259.5,97.5,9.5,60.0,297.0,157.0,177.0,294.5
ATP6V1FNB,91.5,52.0,13.0,37.0,101.0,80.0,65.5,112.5
HDHD5-AS1,5.5,2.0,0.0,3.0,10.0,5.0,1.5,7.5
LRRC69,1.5,1.0,0.5,1.0,1.0,2.0,0.5,0.5
EFCAB10,262.5,84.5,47.0,126.0,276.0,308.0,128.5,305.0
AGAP2-AS1,362.0,98.5,27.5,108.0,415.0,228.0,141.5,404.0
USP3-AS1,546.0,244.5,138.5,182.0,707.0,546.0,422.5,779.5
100130872,250.0,418.5,99.0,322.0,306.0,245.0,575.0,323.5
ATE1-AS1,136.0,58.0,10.0,24.0,161.0,111.0,94.5,154.0
TSTD3,39.5,16.5,5.0,15.0,48.0,25.0,28.5,48.0
VAC14-AS1,43.0,28.5,12.5,11.0,54.0,40.0,31.0,53.0
SMIM6,3.0,7.0,0.0,4.0,3.0,1.0,4.5,3.5
ZNF663P,4.0,2.0,0.5,4.0,5.0,3.0,5.0,5.0
100130950,118.5,163.0,13.0,76.0,118.0,146.0,286.0,134.0
ZNF316,1091.5,470.5,223.5,437.0,1115.0,923.0,616.0,1117.0
CKMT2-AS1,353.0,109.0,28.5,105.0,406.0,242.0,152.5,404.0
SRP14-AS1,103.5,49.0,12.0,40.0,116.0,53.0,73.5,107.5
DPP9-AS1,701.5,239.5,135.0,215.0,712.0,591.0,330.0,720.0
TNRC6C-AS1,105.5,118.0,16.0,80.0,92.0,105.0,151.0,98.0
CCDC183-AS1,184.5,66.0,16.0,58.0,283.0,111.0,91.5,272.0
RPL21P28,47.0,22.0,21.5,21.0,49.0,42.0,21.5,48.0
NEMP2,542.5,221.5,85.0,208.0,627.0,458.0,374.5,631.0
ZNF503-AS2,33.0,14.5,10.5,20.0,33.0,24.0,15.5,30.0
MIR181A1HG,24.5,9.0,3.0,19.0,24.0,36.0,6.5,21.0
ANKRD63,135.5,61.0,7.0,89.0,112.0,91.0,99.0,117.5
100131257,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0
RAB6C-AS1,78.5,36.5,14.0,18.0,122.0,78.0,72.5,122.5
RDM1P5,3.5,2.0,2.5,3.0,4.0,4.0,1.0,4.5
LINC00893,31.0,25.5,9.5,13.0,51.0,41.0,30.0,51.0
DBIL5P,41.0,19.5,5.5,16.0,41.0,28.0,23.5,43.5
100131496,2.0,2.0,0.5,1.0,2.0,1.0,3.0,3.0
ZNF705E,8.0,6.5,1.0,2.0,9.0,6.0,9.5,12.5
CCDC18-AS1,458.5,369.5,37.0,181.0,734.0,454.0,507.5,733.0
100131626,158.5,34.5,10.5,26.0,204.0,126.0,64.5,189.5
ZNF236-DT,174.5,48.5,9.0,38.0,175.0,86.0,67.0,157.5
MZF1-AS1,377.5,145.5,58.5,188.0,431.0,261.0,189.5,419.0
USP30-AS1,23.0,24.5,3.5,8.0,26.0,11.0,25.0,26.5
ARMCX4,3.5,2.0,0.5,4.0,4.0,5.0,5.0,4.0
PET100,207.5,42.5,83.5,131.0,228.0,112.0,68.0,207.0
ZNF717,158.5,49.5,14.0,71.0,197.0,94.0,71.5,194.0
FAM27E3,21.5,8.0,3.0,11.0,27.0,18.0,17.0,28.5
RRN3P3,193.0,91.0,149.0,77.0,191.0,176.0,95.5,187.0
FOXO6,26.5,17.5,3.5,4.0,27.0,9.0,18.0,26.0
ACTA2-AS1,17.5,2.5,0.0,2.0,18.0,15.0,4.0,16.5
CALML3-AS1,0.0,1.5,0.0,0.0,0.0,0.0,3.0,0.0
100132215,187.0,109.0,43.0,80.0,198.0,148.0,142.5,199.0
100132249,18.0,5.0,2.0,11.0,23.0,13.0,7.0,25.0
TEKT4P2,1.5,1.0,0.0,0.0,1.0,2.0,1.5,1.5
100132356,105.5,56.0,24.0,27.0,133.0,52.0,62.0,130.0
NBPF10,40.5,19.0,16.5,16.0,57.0,22.0,33.0,54.0
FCGR1CP,10.0,14.5,1.0,3.0,10.0,7.0,31.0,10.0
BSN-DT,3.5,2.5,0.5,2.0,5.0,5.0,3.0,5.5
KDM4A-AS1,464.0,158.0,142.5,204.0,627.0,366.0,232.5,582.5
IPO5P1,59.0,9.5,8.0,20.0,64.0,55.0,18.0,67.0
100132831,83.0,32.5,19.0,36.0,82.0,86.0,41.0,79.0
DPH3P1,23.5,7.0,6.0,9.0,23.0,17.0,17.5,21.0
SHISAL2B,4.0,5.0,2.5,6.0,4.0,4.0,6.0,4.0
LINC00856,0.5,7.0,1.0,3.0,0.0,0.0,10.0,1.5
100133091,1.5,0.5,0.0,0.0,2.0,1.0,1.5,1.0
FAM27B,16.5,15.5,2.5,11.0,13.0,15.0,17.0,15.5
SBF1P1,171.0,47.0,21.0,43.0,162.0,112.0,59.5,158.5
100133286,424.0,151.0,59.5,208.0,362.0,311.0,221.0,346.0
HOXA-AS3,29.5,66.5,7.0,12.0,40.0,24.0,104.5,40.5
