,VHL_2h,DMSO_24h,DMSO_2h,MYBi_24h,PBS_24h,VHL_24h
H2BC15,1.25,0.25,0.25,0.0,0.0,0.25
H2BC7,0.0,0.0,0.25,0.0,0.0,0.0
H2BC9,0.0,0.0,0.5,0.0,0.25,0.0
H2BC10,0.0,0.0,0.25,0.0,0.0,0.0
H2BC4,0.0,0.25,0.0,0.0,0.0,0.0
H2BC17,0.0,0.0,0.0,0.0,0.0,0.0
H2BC21,1.5,3.0,1.0,0.0,1.5,1.0
H3C1,0.0,0.5,0.25,0.0,0.0,0.25
H3C4,0.0,0.25,0.0,0.0,0.0,0.5
H3C3,0.0,0.25,0.5,0.0,0.75,0.0
H3C11,0.25,0.0,0.0,0.0,0.0,0.0
H3C8,0.0,0.75,0.75,0.0,0.0,0.5
H3C12,0.0,0.25,0.25,0.0,0.0,0.0
H3C10,1.25,0.5,0.5,0.0,0.5,0.25
H3C2,0.0,0.0,0.0,0.0,0.0,0.0
H4C1,0.75,0.0,0.25,0.0,0.0,0.0
H4C4,0.0,0.0,0.0,0.0,0.0,0.25
H4C12,0.0,0.25,0.0,0.0,0.0,0.0
H4C11,0.0,0.0,0.0,0.0,0.0,0.0
H4C3,3.25,2.25,6.75,0.0,1.0,2.0
H4C8,0.0,0.0,0.0,0.0,0.0,0.0
H4C5,1.0,0.25,0.25,0.0,0.0,0.0
H4C13,0.25,0.0,0.0,0.0,0.0,0.0
HYAL3,2.5,2.75,2.5,0.0,0.0,1.5
MAD1L1,8.5,7.25,9.0,1.0,7.75,5.0
NME5,0.0,0.0,0.0,0.0,0.0,0.0
PIP5K1A,50.25,17.5,76.5,6.0,8.5,15.5
PIP5K1B,0.0,0.0,0.0,0.0,0.0,0.0
PIP4K2B,0.0,0.5,0.25,0.0,0.0,0.0
PLA2G6,2.5,1.5,1.5,0.3333333333333333,0.75,0.5
SLC25A11,9.5,3.0,13.0,0.0,2.5,3.75
SPOP,49.0,24.5,53.75,2.3333333333333335,13.0,17.75
SRPX,0.0,0.0,0.0,0.0,0.0,0.0
TAGLN2,182.25,85.25,234.25,21.666666666666668,82.25,60.5
ULK1,44.5,33.5,44.25,0.0,12.5,23.75
UXT,15.5,6.0,8.0,1.0,10.75,6.5
EEA1,15.0,9.5,28.0,0.0,7.5,5.25
BCAR3,0.25,0.0,0.0,0.0,0.0,0.0
ANXA9,0.0,0.0,0.0,0.0,0.0,0.0
STX7,10.25,5.75,11.25,0.0,4.5,4.25
CMAHP,8.75,6.75,11.75,4.0,24.75,6.0
BFSP2,0.0,0.0,0.0,0.0,0.0,0.0
LTBP4,0.0,0.75,0.25,0.0,0.5,0.25
ZNF282,64.25,47.5,82.5,4.333333333333333,13.75,32.25
STK24,7.75,5.25,14.0,4.666666666666667,6.5,2.25
UTF1,0.0,0.0,0.25,0.0,0.75,0.0
RECK,3.0,0.5,1.5,0.3333333333333333,2.75,0.0
RAD54L,0.75,1.0,1.5,0.0,0.0,0.0
NSMAF,45.25,13.0,46.25,2.6666666666666665,21.5,7.0
NCK2,92.5,58.0,150.75,7.333333333333333,44.75,35.0
GNPAT,4.25,4.5,3.75,0.0,2.0,2.0
DYRK3,0.75,1.5,1.5,0.0,0.25,0.5
DYRK2,23.0,11.25,42.0,1.0,9.75,12.0
DUSP11,5.75,1.5,6.75,0.0,1.0,1.0
DOC2A,4.0,3.75,2.75,0.0,0.0,2.75
CUL4B,5.5,1.75,9.0,2.0,3.75,2.25
CUL4A,14.0,4.25,10.5,2.6666666666666665,7.25,2.5
CUL3,24.0,9.5,33.25,2.3333333333333335,8.0,4.5
CUL2,6.75,4.5,9.75,1.3333333333333333,5.5,1.75
CUL1,15.5,9.0,18.25,0.6666666666666666,6.5,3.25
ATRN,53.25,29.0,64.5,5.666666666666667,41.5,15.5
TTF2,15.5,6.25,12.25,1.6666666666666667,4.0,1.5
TPST2,7.0,5.5,11.0,0.0,1.0,2.25
TPST1,0.25,0.0,0.25,0.0,0.0,0.0
KLF11,89.5,70.0,171.5,12.666666666666666,65.75,30.25
TEAD2,0.0,0.0,0.0,0.0,0.0,0.0
SUPT3H,1.25,1.25,2.25,0.0,0.25,0.5
SMARCA5,15.0,8.25,28.5,1.3333333333333333,5.25,7.5
OGT,45.5,27.0,52.25,7.333333333333333,28.75,14.75
GPR65,0.75,0.5,2.5,0.0,1.5,0.0
HIRIP3,11.0,9.0,16.25,1.3333333333333333,7.5,6.25
RAE1,27.25,10.0,34.75,1.0,8.5,10.0
OFD1,1.75,0.0,0.25,0.0,1.0,0.25
SEMA7A,30.25,15.75,47.25,0.0,11.25,9.75
GALR3,0.0,0.0,0.25,0.0,0.0,0.0
GEMIN2,7.25,1.75,4.5,0.0,1.25,2.5
RGS5,2.0,2.5,3.5,0.0,1.75,0.25
MAP4K3,7.25,4.0,9.5,2.3333333333333335,6.0,1.75
PRSS12,0.25,0.0,0.0,0.0,0.0,0.0
PPM1D,18.5,11.5,31.25,1.6666666666666667,11.75,3.25
PPFIBP2,2.25,1.0,4.0,0.0,2.0,2.25
PPFIBP1,7.0,9.5,15.25,0.3333333333333333,2.25,6.0
