group,replicate,fastq_1,fastq_2,antibody,control
mp48-MOLM13-H3K27ac,1,gs://amlproject/Chip/fastqs/mp48-MOLM13-H3K27ac-r1.fastq.gz,,H3K27ac,mp311-MOLM13-INPUT
mp5-D9-INPUT,1,gs://amlproject/Chip/fastqs/mp5-D9-INPUT-r3.fastq.gz,,,
mp50-OCIAML2-H3K27ac,1,gs://amlproject/Chip/fastqs/mp50-OCIAML2-H3K27ac-r2.fastq.gz,,H3K27ac,mp24-OCIAML2-INPUT
mp53-HL60-H3K27ac,1,gs://amlproject/Chip/fastqs/mp53-HL60-H3K27ac-r1.fastq.gz,,H3K27ac,mp120-HL60-INPUT
mp56-Kasumi1-H3K27ac,1,gs://amlproject/Chip/fastqs/mp56-Kasumi1-H3K27ac-r1.fastq.gz,,H3K27ac,mp310-Kasumi1-INPUT
mp575-MV411-IRF2BP2,1,gs://amlproject/Chip/fastqs/mp575-MV411-IRF2BP2-r3.fastq.gz,,IRF2BP2,mp99-MV411-INPUT
mp577-MV411-SMC1,1,gs://amlproject/Chip/fastqs/mp577-MV411-SMC1-r1.fastq.gz,,SMC1,mp99-MV411-INPUT
mp58-KG1-H3K27ac,1,gs://amlproject/Chip/fastqs/mp58-KG1-H3K27ac-r2.fastq.gz,,H3K27ac,mp309-KG1-INPUT
mp591-MONOMAC1-H3K27ac,1,gs://amlproject/Chip/fastqs/mp591-MONOMAC1-H3K27ac-r1.fastq.gz,,H3K27ac,mp609-MONOMAC1-INPUT
mp592-MONOMAC1-H3K27ac,1,gs://amlproject/Chip/fastqs/mp592-MONOMAC1-H3K27ac-r2.fastq.gz,,H3K27ac,mp609-MONOMAC1-INPUT
mp593-HEL9217-H3K27ac,1,gs://amlproject/Chip/fastqs/mp593-HEL9217-H3K27ac-r1.fastq.gz,,H3K27ac,mp610-HEL9217-INPUT
mp594-HEL9217-H3K27ac,1,gs://amlproject/Chip/fastqs/mp594-HEL9217-H3K27ac-r2.fastq.gz,,H3K27ac,mp610-HEL9217-INPUT
mp597-PLB985-H3K27ac,1,gs://amlproject/Chip/fastqs/mp597-PLB985-H3K27ac-r1.fastq.gz,,H3K27ac,mp612-PLB985-INPUT
mp598-PLB985-H3K27ac,1,gs://amlproject/Chip/fastqs/mp598-PLB985-H3K27ac-r2.fastq.gz,,H3K27ac,mp612-PLB985-INPUT
mp6-D0-INPUT,1,gs://amlproject/Chip/fastqs/mp6-D0-INPUT-r1.fastq.gz,,,
mp609-MONOMAC1-INPUT,1,gs://amlproject/Chip/fastqs/mp609-MONOMAC1-INPUT-r1.fastq.gz,,,
mp610-HEL9217-INPUT,1,gs://amlproject/Chip/fastqs/mp610-HEL9217-INPUT-r1.fastq.gz,,,
mp611-P31FUJ-INPUT,1,gs://amlproject/Chip/fastqs/mp611-P31FUJ-INPUT-r1.fastq.gz,,,
mp612-PLB985-INPUT,1,gs://amlproject/Chip/fastqs/mp612-PLB985-INPUT-r1.fastq.gz,,,
mp631-SKNO1-PU1,1,gs://amlproject/Chip/fastqs/mp631-SKNO1-PU1-r2.fastq.gz,,PU1,mp316-SKNO1-INPUT
mp67-OCIAML2-H3K27ac,1,gs://amlproject/Chip/fastqs/mp67-OCIAML2-H3K27ac-r3.fastq.gz,,H3K27ac,mp24-OCIAML2-INPUT
mp70-MV411-H3K27ac,1,gs://amlproject/Chip/fastqs/mp70-MV411-H3K27ac-r2.fastq.gz,,H3K27ac,mp99-MV411-INPUT
mp702-MV411_DMSO-H3K27ac,1,gs://amlproject/Chip/fastqs/mp702-MV411_DMSO-H3K27ac-r1.fastq.gz,,H3K27ac,mp99-MV411-INPUT
mp71-MV411-H3K27me3,1,gs://amlproject/Chip/fastqs/mp71-MV411-H3K27me3-r1.fastq.gz,,H3K27me3,mp99-MV411-INPUT
mp718-MV411-IRF2BP2,1,gs://amlproject/Chip/fastqs/mp718-MV411-IRF2BP2-r4.fastq.gz,,IRF2BP2,mp99-MV411-INPUT
mp72-MV411-CEBPA,1,gs://amlproject/Chip/fastqs/mp72-MV411-CEBPA-r3.fastq.gz,,CEBPA,mp99-MV411-INPUT
mp728-MV411_DMSO-CEBPA,1,gs://amlproject/Chip/fastqs/mp728-MV411_DMSO-CEBPA-r1.fastq.gz,,CEBPA,mp99-MV411-INPUT
mp73-U937-H3K27ac,1,gs://amlproject/Chip/fastqs/mp73-U937-H3K27ac-r2.fastq.gz,,H3K27ac,mp100-U937-INPUT
mp734-MV411_DMSO-H3K27ac,1,gs://amlproject/Chip/fastqs/mp734-MV411_DMSO-H3K27ac-r1.fastq.gz,,H3K27ac,mp99-MV411-INPUT
mp752-SHI1-H3K27ac,1,gs://amlproject/Chip/fastqs/mp752-SHI1-H3K27ac-r1.fastq.gz,,,
mp754-EOL1-H3K27ac,1,gs://amlproject/Chip/fastqs/mp754-EOL1-H3K27ac-r1.fastq.gz,,,
mp755-EOL1-H3K27ac,1,gs://amlproject/Chip/fastqs/mp755-EOL1-H3K27ac-r2.fastq.gz,,,
mp756-F36P-H3K27ac,1,gs://amlproject/Chip/fastqs/mp756-F36P-H3K27ac-r1.fastq.gz,,,
mp757-F36P-H3K27ac,1,gs://amlproject/Chip/fastqs/mp757-F36P-H3K27ac-r2.fastq.gz,,,
mp758-SHI1-H3K27ac,1,gs://amlproject/Chip/fastqs/mp758-SHI1-H3K27ac-r2.fastq.gz,,,
mp759-SHI1-H3K27ac,1,gs://amlproject/Chip/fastqs/mp759-SHI1-H3K27ac-r3.fastq.gz,,,
mp77-HL60-H3K27ac,1,gs://amlproject/Chip/fastqs/mp77-HL60-H3K27ac-r2.fastq.gz,,H3K27ac,mp120-HL60-INPUT
mp776-P31FUJ-H3K27ac,1,gs://amlproject/Chip/fastqs/mp776-P31FUJ-H3K27ac-r1.fastq.gz,,H3K27ac,mp611-P31FUJ-INPUT
mp777-MONOMAC1-H3K27ac,1,gs://amlproject/Chip/fastqs/mp777-MONOMAC1-H3K27ac-r3.fastq.gz,,H3K27ac,mp609-MONOMAC1-INPUT
mp778-MONOMAC1-H3K27ac,1,gs://amlproject/Chip/fastqs/mp778-MONOMAC1-H3K27ac-r4.fastq.gz,,H3K27ac,mp609-MONOMAC1-INPUT
mp8-D0-INPUT,1,gs://amlproject/Chip/fastqs/mp8-D0-INPUT-r2.fastq.gz,,,
mp88-MV411-H3K27ac,1,gs://amlproject/Chip/fastqs/mp88-MV411-H3K27ac-r3.fastq.gz,,H3K27ac,mp99-MV411-INPUT
mp89-MV411-H3K36me3,1,gs://amlproject/Chip/fastqs/mp89-MV411-H3K36me3-r1.fastq.gz,,H3K36me3,mp99-MV411-INPUT
mp90-U937-H3K27ac,1,gs://amlproject/Chip/fastqs/mp90-U937-H3K27ac-r3.fastq.gz,,H3K27ac,mp100-U937-INPUT
mp92-NOMO1-H3K27ac,1,gs://amlproject/Chip/fastqs/mp92-NOMO1-H3K27ac-r2.fastq.gz,,H3K27ac,mp101-NOMO1-INPUT
mp98-M6-INPUT,1,gs://amlproject/Chip/fastqs/mp98-M6-INPUT-r1.fastq.gz,,,
mp99-MV411-INPUT,1,gs://amlproject/Chip/fastqs/mp99-MV411-INPUT-r1.fastq.gz,,,
