Min.	1st Qu.	Median	Mean	3rd Qu.	Max.	num_peaks	measure	sample
3.69553	7.99956	11.70452	18.931118760004	21.14907	820.22736	29863	-log10(pvalue)	MV411-DMSO-8h_2_724_R1
163	213.5	307	409.490037839467	503	3319	29863	length	MV411-DMSO-8h_2_724_R1
1.68524	5.82026	6.87849	8.05940819459459	8.9941	56.68687	7400	fold	MV411_1_115_R1
1.33257	5.21829	7.44643	11.0229649310811	12.33932	157.31099	7400	-log10(qvalue)	MV411_1_115_R1
4.44167	8.8876	11.32657	15.0219874810811	16.53914	166.64833	7400	-log10(pvalue)	MV411_1_115_R1
137	160	209	222.162027027027	262.25	913	7400	length	MV411_1_115_R1
1.79813	4.51586	5.89701	9.07303531000017	10.25423	65.47993	59629	fold	MV411-DMSO_1_183_R1
1.36687	4.624	7.79179	19.3516154676416	20.23573	289.75229	59629	-log10(qvalue)	MV411-DMSO_1_183_R1
3.17985	6.70868	10.02074	21.7865555748042	22.80645	299.24329	59629	-log10(pvalue)	MV411-DMSO_1_183_R1
200	271	446	725.440624528334	875	17480	59629	length	MV411-DMSO_1_183_R1
1.91738	3.38855	4.05914	5.0721588751939	5.313	35.36551	83161	fold	MV411_1_293_R1
1.35713	3.98874	5.81009	10.6991452656894	9.91848	218.10844	83161	-log10(qvalue)	MV411_1_293_R1
2.6624	5.48356	7.38537	12.400541000469	11.65244	225.56601	83161	-log10(pvalue)	MV411_1_293_R1
294	386	617	1737.72108320006	1333	203211	83161	length	MV411_1_293_R1
1.4445	4.78531	5.674565	6.90732946734768	7.118075	70.51854	5482	fold	MV411_1_117_R1
1.31734	4.19049	6.01544	10.6959794582269	9.79999	270.18527	5482	-log10(qvalue)	MV411_1_117_R1
4.31026	7.63729	9.63986	14.4186891900766	13.66574	279.37531	5482	-log10(pvalue)	MV411_1_117_R1
165	204.25	288	430.302626778548	462	6196	5482	length	MV411_1_117_R1
1.77781	3.6232	4.529	6.78746450722797	7.33332	50.65344	102380	fold	D9_5_354_R1
1.31506	4.3454	7.0394	19.7449840427818	17.88376	281.09048	102380	-log10(qvalue)	D9_5_354_R1
2.82657	6.08755	8.90292	21.8124331143778	20.03564	290.58154	102380	-log10(pvalue)	D9_5_354_R1
197	273	457	874.727300253956	1004	24066	102380	length	D9_5_354_R1
1.58055	5.7131	8.666005	14.6202183866449	16.9358	139.78198	51396	fold	DFAM71927V3_1_751_R1
1.31107	6.18259	13.51568	36.5080116915713	38.2091	546.62396	51396	-log10(qvalue)	DFAM71927V3_1_751_R1
3.42878	8.62621	16.181	39.3473193993696	41.26662	555.81403	51396	-log10(pvalue)	DFAM71927V3_1_751_R1
155	222	326	424.172056191143	531	4270	51396	length	DFAM71927V3_1_751_R1
1.9819	3.54624	4.52844	8.36130552073169	8.58325	65.79829	85063	fold	D9_3_157_R1
1.32468	4.49326	7.76907	34.6537359841529	27.25924	474.83856	85063	-log10(qvalue)	D9_3_157_R1
2.81804	6.17104	9.54859	36.6621697385467	29.34065	484.32962	85063	-log10(pvalue)	D9_3_157_R1
203	289	506	1115.58342640161	1261	28820	85063	length	D9_3_157_R1
3.07909	6.06453	7.5476	8.82462483457844	10.06347	71.75101	937	fold	DFAM71927V3_1_745_R1
1.32867	4.63817	7.54709	12.4156359871932	14.9691	181.65532	937	-log10(qvalue)	DFAM71927V3_1_745_R1
5.53288	9.44217	12.57406	17.5375644717182	20.32844	190.84534	937	-log10(pvalue)	DFAM71927V3_1_745_R1
48	48	55	92.4685165421558	91	1695	937	length	DFAM71927V3_1_745_R1
2.28722	5.7569	6.67539	7.00438722222222	7.744335	22.79191	486	fold	MV411_1_601_R1
1.34136	3.4522475	5.0385	5.90229041152263	6.81869	38.32516	486	-log10(qvalue)	MV411_1_601_R1
5.9593	8.65259	10.56652	11.492160781893	12.62328	47.81621	486	-log10(pvalue)	MV411_1_601_R1
50	58	78.5	93.4362139917695	112.75	554	486	length	MV411_1_601_R1
1.63254	4.95463	6.40617	9.38559167105898	9.73913	135.29021	26941	fold	MV411_1_106_R1
1.3223	5.52458	9.54188	22.7224767651535	20.55894	639.81537	26941	-log10(qvalue)	MV411_1_106_R1
3.76686	8.38815	12.60142	25.9191872729297	23.93404	649.3064	26941	-log10(pvalue)	MV411_1_106_R1
175	224	295	338.023384432649	403	2066	26941	length	MV411_1_106_R1
3.18158	5.34919	5.48937	6.10710590192644	6.399695	30.13475	571	fold	MV411_1_650_R1
1.53259	3.99151	4.40901	5.89832651488616	5.97237	62.0073	571	-log10(qvalue)	MV411_1_650_R1
5.08173	8.39157	9.0804	10.5863833975482	10.860215	71.49814	571	-log10(pvalue)	MV411_1_650_R1
299	299	299	339.133099824869	300	2600	571	length	MV411_1_650_R1
1.63681	3.78266	4.54051	5.22414068687492	5.72622	72.61132	22697	fold	MV411-MEF2D-NT-SC-63_1_760_R1
1.3176	4.62026	7.07295	11.2015699361149	11.74808	490.33908	22697	-log10(qvalue)	MV411-MEF2D-NT-SC-63_1_760_R1
3.6454	7.38156	10.07981	14.3381965744372	15.1432	499.83014	22697	-log10(pvalue)	MV411-MEF2D-NT-SC-63_1_760_R1
238	314	438	562.398510816407	681	5801	22697	length	MV411-MEF2D-NT-SC-63_1_760_R1
1.39636	3.33977	3.81555	3.9103597594449	4.35309	9.58791	65141	fold	MV411_1_137_R1
1.33304	3.35424	4.3461	4.82990225357302	5.79608	31.99748	65141	-log10(qvalue)	MV411_1_137_R1
