	IBET+SGC1	IBET+SGC2	DMSO1	DMSO2	SGC1	SGC2	IBET1	IBET2
ENSG00000011478	12.09280455	11.89472012	14.36928425	13.27286545	12.76665937	12.66437565	11.41448552	12.76783109
ENSG00000011485	27.84673342	28.73984398	28.15745773	23.57316207	27.65101105	28.40053604	20.74750603	21.25935512
ENSG00000011523	24.07466595	26.74593136	18.48988782	21.84492438	25.23079126	28.77777276	23.03040314	22.90878785
ENSG00000011566	11.14978768	11.00089722	8.927974403	7.949893366	9.196835185	8.784226516	10.87733326	12.27911029
ENSG00000011590	2.10792006	1.44386776	2.377271291	2.143014733	2.420219785	2.263420329	2.282897104	1.649432725
ENSG00000011600	21.6339164	18.77028088	33.33462632	31.52305543	29.88971435	22.52642137	23.03040314	16.00560644
ENSG00000011638	5.713572794	3.919069634	3.381008058	4.009511437	3.993362646	3.395130494	4.431506143	4.58175757
ENSG00000012048	30.12106822	38.70940709	35.3949281	27.30615547	33.21751656	27.69995355	33.16915204	28.52907713
ENSG00000012061	38.21991898	42.28469868	43.95310475	47.6993602	44.16901108	42.25051281	36.72778576	39.0976646
ENSG00000012124	2.385277962	2.818979912	2.535756043	3.110827839	2.541230775	3.071784733	3.357201624	3.421045652
ENSG00000012171	1.886033738	2.268935051	1.901817033	1.659108181	1.69415385	1.778401687	2.148609039	2.138153533
ENSG00000012174	6.601118082	6.256760293	7.078985621	7.811634351	7.200153862	7.38306155	4.767226306	6.170100194
ENSG00000012211	5.713572794	5.706715432	7.554439879	8.364670411	5.86903298	7.167497709	8.661580189	7.086451708
ENSG00000012232	22.63240485	19.25157013	19.01817033	17.69715393	18.63569235	18.59238128	23.03040314	19.7931927
ENSG00000012660	14.75544042	18.15148041	18.75402907	16.93672935	17.24406597	15.62837846	19.00176119	14.11181331
