mr193.MV411.MYBi_30m.r1_tcount,mr194.MV411.MYBi_30m.r2_tcount,mr195.MV411.MYBi_30m.r3_tcount,mr196.MV411.MYBi_30m.r4_tcount,mr197.MV411.PBS_30m.r1_tcount,mr198.MV411.PBS_30m.r2_tcount,mr199.MV411.PBS_30m.r3_tcount,mr200.MV411.PBS_30m.r4_tcount
8,8,34,15,23,18,13,28
7,4,1,4,5,5,5,12
5,6,7,7,13,11,5,9
2,3,2,3,4,6,7,8
1,0,1,2,2,3,0,4
6,1,5,2,4,8,4,10
11,12,24,15,17,24,19,27
10,6,20,5,18,13,21,20
1,2,3,1,0,1,1,9
1,0,0,1,2,6,2,4
96,89,147,82,95,65,89,179
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2
14,11,27,16,29,33,30,38
0,0,0,0,0,0,0,0
12,14,22,22,6,4,4,4
0,4,1,2,5,7,7,12
0,3,6,0,1,5,5,6
21,13,19,10,11,5,9,19
2,2,12,4,7,10,6,24
203,203,317,176,153,146,157,231
41,60,74,44,74,60,74,91
13,11,14,7,31,22,10,21
0,0,1,1,2,0,1,3
6,4,7,2,7,0,3,3
112,144,225,109,102,89,107,198
12,8,12,3,16,11,10,26
8,8,14,6,20,12,13,13
4,11,12,10,10,15,10,13
18,21,17,15,26,22,25,38
10,2,2,21,4,11,5,11
7,2,11,4,2,8,3,5
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
28,28,43,32,13,28,25,36
3,0,3,2,7,1,2,4
5,3,5,4,3,3,4,7
28,16,29,27,31,23,28,26
4,1,1,1,2,3,3,5
13,12,13,12,9,9,14,12
0,0,1,0,3,0,0,0
0,0,2,0,4,0,1,3
1,0,0,1,2,1,3,6
1,3,4,1,12,12,6,8
23,12,39,23,65,68,58,105
2,0,0,2,6,0,1,3
0,0,0,0,0,0,0,0
0,1,6,5,5,2,3,10
26,30,52,31,46,23,24,41
7,6,15,5,16,12,7,23
4,2,4,0,1,7,3,10
0,0,2,0,0,0,0,0
5,4,9,1,11,7,11,11
3,7,16,3,10,11,8,12
1,1,2,0,3,3,4,2
3,1,5,2,5,7,10,7
16,16,41,16,44,50,34,76
66,65,110,51,23,22,24,43
10,6,19,10,11,9,13,14
2,1,3,4,2,4,4,12
0,2,2,0,1,4,4,5
16,15,10,11,13,7,12,26
11,16,27,12,39,37,40,80
0,0,3,1,3,0,2,3
7,1,9,5,5,0,0,2
1,0,5,2,2,3,1,3
2,4,9,1,8,7,10,11
3,4,6,4,6,3,1,5
0,1,2,0,0,2,0,1
116,100,208,112,133,79,88,221
16,10,26,5,61,55,58,78
0,0,0,1,1,1,2,2
0,0,1,1,3,2,4,12
57,64,89,34,24,22,23,49
0,0,0,0,0,0,0,0
3,7,8,3,6,2,6,14
1,4,3,0,4,3,4,3
0,0,0,0,0,0,0,0
4,0,3,6,1,3,1,6
18,21,23,18,30,26,31,56
0,1,0,2,0,1,3,1
1,1,4,2,4,4,8,9
35,37,59,30,31,31,21,63
3,6,4,4,17,14,12,28
8,2,7,1,6,0,8,12
1,3,1,2,4,2,6,4
0,0,0,0,0,0,0,0
1,1,0,1,3,0,1,3
28,20,43,21,16,15,17,50
2,0,1,0,2,0,0,1
50,56,119,58,124,75,80,149
5,3,8,2,4,8,5,9
0,0,0,0,0,0,0,0
4,5,10,11,3,1,5,9
27,26,37,9,26,18,17,41
8,3,8,2,15,13,10,26
26,15,30,18,18,21,15,21
2,1,5,5,3,1,1,0
5,3,17,5,12,20,22,35
27,25,43,26,39,23,25,53
0,0,0,0,0,0,0,0
0,0,0,2,1,0,0,1
88,81,155,95,91,98,87,133
1,1,0,1,2,1,1,1
94,98,167,72,98,55,67,112
0,1,0,0,3,2,0,1
0,0,0,0,0,0,0,0
2,5,6,6,5,5,5,14
0,0,0,0,0,0,0,0
57,75,128,66,98,51,66,100
8,8,23,16,20,29,19,42
0,0,0,0,0,0,0,0
11,16,23,8,12,14,11,25
3,3,13,2,1,8,2,9
0,0,0,0,0,0,0,0
16,9,30,15,9,7,9,33
1,0,1,0,3,4,4,4
4,9,10,7,4,4,3,13
24,18,38,18,27,22,14,36
20,29,46,18,41,32,28,39
0,1,0,0,2,1,0,4
0,0,1,0,0,0,1,1
14,16,25,10,29,32,36,60
8,8,15,3,10,8,7,21
2,1,1,2,4,6,3,1
4,5,4,5,12,3,10,16
45,31,70,26,56,39,40,73
0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0
0,0,0,2,1,1,4,1
0,0,0,0,0,0,0,0
1,0,5,1,3,3,5,3
1,2,1,3,4,7,6,9
0,0,0,0,0,0,0,0
44,30,49,32,41,24,26,52
5,4,5,1,2,6,5,7
7,4,1,6,8,4,7,12
8,6,29,11,28,41,32,48
1,1,0,1,0,1,1,4
2,1,2,2,0,0,0,1
0,0,0,0,1,2,0,1
0,2,1,0,1,0,3,3
7,6,22,19,10,9,8,13
1,1,8,3,2,0,2,3
0,0,2,2,2,2,2,3
13,4,33,14,33,49,26,40
1,3,0,3,2,4,5,10
0,0,0,0,1,0,1,2
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,2
8,8,39,5,29,38,36,31
2,2,9,3,7,1,3,8
0,3,1,0,4,1,4,4
27,25,41,29,31,46,29,70
6,1,2,3,8,5,11,8
3,5,10,2,11,7,11,19
84,49,109,41,96,55,60,129
2,0,2,3,5,2,6,7
0,0,0,0,0,1,0,1
0,0,1,0,8,2,5,4
1,0,4,1,5,1,3,0
0,0,0,0,1,0,0,1
9,7,8,5,14,9,13,17
0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
4,3,7,3,11,4,11,18
3,1,0,3,0,3,0,5
0,0,0,0,0,0,0,0
108,103,206,110,150,146,130,219
21,37,52,23,35,39,36,46
0,2,0,0,0,1,1,0
0,0,0,1,0,0,0,0
23,25,34,10,16,22,18,45
8,13,24,13,21,13,23,44
0,0,3,0,0,1,0,0
81,87,169,72,66,52,72,126
14,14,34,19,3,2,1,7
10,5,21,7,11,10,9,17
0,0,1,2,0,2,0,0
414,405,612,434,73,100,82,110
0,4,1,2,7,3,5,13
2,1,2,4,1,2,0,3
6,2,12,3,8,3,4,8
0,0,0,1,0,1,0,0
0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,0
57,48,101,55,71,63,51,104
715,709,1228,589,342,209,204,430
0,1,0,0,4,2,1,2
0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0
1,2,5,2,6,2,3,6
0,1,1,0,1,4,3,3
11,7,13,14,13,6,11,14
28,29,55,39,76,55,43,99
0,0,0,0,0,0,0,0
12,5,18,8,11,15,8,16
44,43,77,30,45,25,33,78
4,1,2,3,16,3,12,8
29,35,82,54,70,62,62,78
9,8,12,5,8,6,13,16
1,1,2,1,4,5,4,7
17,17,46,20,36,22,25,49
5,7,4,3,6,1,2,14
0,0,0,0,0,0,0,0
6,8,19,9,21,20,23,26
1,4,9,3,9,6,8,11
6,10,25,10,22,22,21,17
6,10,12,6,13,6,6,21
2,4,6,1,1,1,1,6
18,17,21,21,23,13,13,29
1,0,0,0,4,0,0,0
5,8,2,5,5,0,3,7
2,2,5,1,1,3,2,9
5,10,15,1,9,6,5,23
1,1,1,2,6,1,2,2
96,105,189,113,166,159,148,257
13,32,46,29,69,75,63,97
10,18,27,15,31,37,30,25
16,21,38,17,32,25,40,51
0,0,0,0,5,3,3,3
0,1,0,2,0,5,1,7
2,2,3,1,6,1,9,10
14,10,23,12,25,15,21,25
14,10,23,23,19,17,20,30
0,0,0,0,0,0,0,0
4,1,2,1,7,7,1,16
19,19,44,11,38,20,25,61
0,0,2,0,0,1,1,1
1,5,2,1,1,1,0,0
20,27,41,38,14,1,15,7
13,20,40,13,31,23,32,41
0,0,0,1,0,0,2,0
0,1,0,0,0,0,0,1
0,0,2,0,1,1,0,2
0,1,2,1,0,0,2,1
7,3,15,4,15,36,19,34
0,2,3,1,2,2,4,4
5,7,16,5,6,4,5,10
4,11,10,8,7,7,9,18
6,3,2,4,4,2,5,3
23,14,43,27,32,42,19,47
1,3,0,1,1,0,1,1
1,2,2,0,1,0,2,1
0,1,1,0,0,1,0,0
4,9,11,4,14,14,12,23
0,0,1,0,0,0,1,1
16,10,24,9,18,10,17,26
7,4,10,5,5,4,5,6
2,4,5,2,7,1,10,12
3,6,2,1,3,0,1,2
4,3,8,5,5,11,15,15
220,228,363,193,366,378,270,360
5,0,0,1,0,0,0,0
1,2,3,2,6,4,1,2
12,14,29,17,28,20,23,35
1,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0
35,33,78,47,40,50,36,90
0,6,6,2,11,9,12,11
0,1,5,0,5,5,8,15
1,3,11,4,7,5,4,9
18,16,22,10,18,10,9,24
1,1,2,2,8,5,5,7
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
31,17,50,27,31,31,24,46
2,0,2,0,0,0,0,2
10,11,15,14,17,12,7,20
0,0,0,0,0,0,0,0
3,4,1,1,7,1,5,5
15,19,13,10,9,5,13,12
51,49,91,51,74,51,61,89
29,34,58,29,57,46,44,85
2,1,2,0,1,1,5,6
0,0,0,0,1,0,0,1
0,0,3,1,1,0,0,1
30,30,38,24,18,31,29,36
17,31,52,21,41,36,37,47
0,0,1,0,0,3,1,1
2,0,0,1,2,2,3,3
9,4,21,9,17,12,15,23
0,0,0,0,0,0,0,0
10,15,24,14,21,24,27,29
1,2,0,1,0,0,2,0
0,1,0,0,3,0,0,6
39,39,71,31,51,39,47,86
0,0,0,0,0,0,0,0
9,5,16,3,10,13,6,27
44,33,64,39,42,50,56,68
0,0,0,0,0,0,0,0
17,18,32,12,24,16,12,35
0,0,2,0,0,0,0,1
0,1,0,0,0,0,0,1
0,0,0,0,5,0,0,0
38,26,32,26,54,30,21,72
4,4,5,5,6,3,5,9
10,6,18,11,11,13,12,19
0,0,0,0,0,0,0,0
83,74,135,62,99,84,81,156
23,28,53,36,32,48,44,51
10,2,12,8,18,9,5,18
1,0,2,0,2,5,2,8
2,5,17,2,19,13,6,18
138,139,255,113,274,218,221,303
5,4,12,3,15,12,9,23
1,0,1,0,0,1,0,0
1,2,4,0,9,2,5,8
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0
0,0,1,1,0,1,1,0
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
44,31,66,47,41,19,25,57
19,22,47,31,47,40,27,57
1,3,3,4,3,6,2,9
4,10,16,8,3,7,4,8
0,0,0,0,1,1,0,1
1,1,11,4,10,15,18,21
2,3,4,0,7,6,7,11
25,21,63,41,77,65,58,90
31,15,45,20,34,14,12,46
29,16,36,17,28,17,23,57
0,0,2,4,1,1,1,5
2,1,2,1,2,2,1,0
3,4,8,3,7,4,13,12
21,22,45,19,25,24,24,22
3,3,6,3,6,8,6,9
11,8,14,7,24,18,13,22
18,12,25,11,14,8,15,24
1,1,1,3,1,4,2,4
0,1,2,1,2,1,0,4
5,14,14,3,13,18,14,23
3,2,2,2,1,1,3,3
34,29,45,26,46,33,52,67
0,0,0,0,0,0,0,0
41,53,87,49,104,105,77,137
12,18,30,11,16,12,13,17
7,5,10,9,8,8,9,21
13,16,19,8,6,17,4,8
55,55,121,52,80,107,85,135
11,6,6,4,16,12,10,21
19,13,39,24,25,25,21,45
0,0,2,1,0,0,1,0
0,0,0,0,3,2,0,1
14,18,32,14,21,14,17,35
0,0,1,0,0,0,0,0
1,0,1,1,8,4,1,3
3,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0
14,14,13,9,13,5,7,16
7,3,6,1,4,4,2,10
1,0,2,0,0,0,2,1
8,8,8,13,15,13,14,22
0,0,0,0,0,0,0,0
7,10,17,4,18,22,14,13
2,0,0,0,0,0,0,1
1,1,0,1,1,1,0,3
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
1,0,2,0,2,0,0,1
0,0,0,2,0,1,0,1
0,0,2,0,1,1,2,2
21,12,52,22,33,37,36,37
25,14,16,10,14,27,18,35
1,0,0,0,0,0,0,0
6,12,12,9,17,11,17,15
4,9,13,7,9,8,6,16
2,1,1,0,1,0,2,2
7,8,31,6,37,31,23,48
1,0,5,5,4,3,3,0
43,31,74,30,59,72,45,98
2,2,0,1,0,0,1,2
17,18,34,30,44,41,35,51
21,13,44,19,33,32,36,38
13,10,14,10,15,27,18,24
3,8,11,5,14,19,22,26
0,0,0,1,1,0,1,0
20,26,37,11,29,22,30,36
1,0,3,1,0,3,2,3
0,0,0,0,0,0,0,0
4,5,12,3,14,6,4,12
26,30,63,34,29,34,36,63
66,54,100,60,108,68,89,137
25,20,30,17,64,49,45,65
2,2,6,0,2,0,3,2
24,19,38,23,76,46,25,67
1,2,1,0,4,0,2,1
1,2,4,5,7,0,2,3
0,2,0,0,0,2,1,0
2,1,3,2,1,3,5,2
30,31,65,44,60,43,41,87
87,66,113,66,91,80,63,111
52,57,90,60,53,57,58,82
41,46,80,29,64,53,55,109
6,7,25,4,11,5,15,9
2,5,5,1,10,1,5,9
0,0,0,0,0,0,0,0
10,7,20,10,27,23,25,34
0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0
38,28,67,29,45,37,40,90
0,0,0,0,0,0,0,0
8,3,10,5,2,8,5,10
46,45,50,27,31,19,36,60
0,0,0,0,0,0,0,0
9,12,28,9,20,11,10,26
11,2,2,2,7,2,8,9
2,0,1,2,3,2,0,4
5,4,6,4,27,24,23,16
71,83,142,78,124,191,138,183
1,0,2,3,1,0,1,3
66,64,100,56,61,45,63,109
2,1,5,2,6,4,3,10
36,32,43,38,41,58,57,86
3,1,5,4,4,8,7,11
0,1,0,0,0,1,1,1
8,11,32,7,53,43,40,65
0,0,0,0,0,0,0,0
0,0,1,0,4,0,1,2
3,3,5,3,6,4,12,20
42,51,68,37,59,53,75,78
23,9,23,11,17,18,20,23
97,106,161,101,109,86,93,181
0,0,0,0,3,0,1,0
1,1,0,0,1,2,1,1
11,15,24,7,17,5,11,26
0,1,0,0,2,0,1,0
45,36,64,25,44,32,26,57
1,0,6,0,3,2,3,3
14,14,32,21,36,48,39,50
0,0,0,0,0,0,0,0
1,2,3,3,0,2,1,2
2,2,0,0,3,4,6,4
1,2,8,4,8,3,4,8
17,8,19,12,15,15,14,28
13,14,18,17,20,19,22,29
0,1,2,2,3,3,0,0
3,9,8,2,3,4,2,8
0,1,2,0,9,5,3,3
4,13,13,12,12,12,22,22
1,2,0,0,7,3,1,5
0,0,1,0,0,2,1,1
16,15,22,12,11,7,18,25
2,2,8,2,4,2,3,4
25,13,37,23,26,30,29,57
0,0,0,0,1,2,1,5
23,16,38,27,26,23,19,35
0,0,0,0,0,0,0,0
2,2,0,0,4,1,2,1
0,0,0,0,0,2,3,2
1,0,1,1,0,0,3,8
4,1,2,3,8,4,10,5
0,0,0,0,0,0,0,0
3,0,5,2,8,5,7,14
57,63,98,52,63,45,35,93
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,1,1,2,3,1,0
0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,5
7,7,20,10,17,20,10,15
1,2,2,3,0,3,5,5
20,19,48,26,18,30,22,41
6,4,7,5,16,12,16,17
3,1,5,1,4,0,5,7
0,0,0,0,0,0,0,0
2,3,4,2,6,12,14,24
7,4,9,4,16,18,7,19
2,0,1,4,0,1,3,2
5,3,10,2,3,0,0,3
2,0,3,1,7,7,2,7
25,21,49,19,29,31,33,68
2,2,5,1,2,2,1,1
1,3,3,4,8,7,3,4
44,30,87,42,73,67,60,94
0,0,0,0,0,0,0,0
3,1,2,2,12,7,7,12
0,0,0,1,0,0,1,1
0,0,0,0,0,0,2,1
2,3,6,1,1,2,6,5
2,3,6,6,14,13,18,12
0,0,2,1,8,3,7,10
0,0,1,0,1,0,0,1
13,5,18,5,19,25,17,31
3,2,3,4,7,3,6,7
13,11,23,11,12,11,8,18
3,0,3,0,7,0,3,2
0,0,0,0,0,0,0,1
15,7,27,14,14,15,11,19
0,0,0,0,0,0,0,0
3,3,4,1,8,9,7,15
6,4,21,5,9,1,15,18
0,0,0,0,0,0,1,0
10,10,20,10,20,28,35,43
3,4,5,7,10,7,6,5
0,0,0,0,0,0,0,0
53,63,101,36,59,49,50,123
0,0,0,0,0,2,1,0
0,0,0,1,0,0,1,1
0,0,2,1,0,0,0,0
0,2,0,6,11,9,5,15
32,21,61,19,47,45,28,71
27,24,25,17,30,9,11,22
1,2,1,1,8,6,6,11
6,3,3,1,3,5,4,10
43,32,63,31,75,76,61,119
0,0,0,0,0,0,0,0
35,19,70,29,35,38,48,50
32,30,61,42,66,67,60,90
7,4,12,4,12,9,5,22
46,63,108,68,85,77,98,119
8,4,21,11,20,22,21,33
1,0,1,0,0,0,1,0
2,2,0,1,5,0,1,0
15,11,34,19,24,20,16,18
30,26,69,30,84,77,67,108
1,1,5,1,4,9,6,4
40,32,62,30,43,40,31,35
0,0,2,1,3,0,1,2
0,0,0,0,0,0,0,0
49,37,77,46,80,80,93,125
0,0,0,0,0,0,0,0
26,42,50,23,56,42,39,83
2,1,4,2,5,2,3,7
2,2,3,0,3,5,4,19
0,2,0,0,0,0,1,1
1,0,2,2,0,1,1,1
9,6,3,5,4,4,4,18
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,2
1,1,1,0,0,0,2,0
9,15,26,6,10,9,13,17
0,0,2,0,3,2,1,0
15,11,11,4,13,15,6,26
34,16,30,23,37,52,34,79
1,0,1,0,0,0,0,3
1,2,3,3,9,11,6,11
0,0,1,0,0,0,1,3
10,6,22,30,11,12,12,30
4,13,14,6,13,8,8,7
0,2,0,0,0,1,0,0
9,10,25,20,35,50,24,49
8,9,5,3,1,11,5,10
0,0,0,0,0,0,1,0
11,4,8,5,11,9,4,14
0,0,0,0,0,1,0,3
19,21,31,25,30,25,26,41
5,1,3,4,13,11,14,19
5,4,6,2,16,8,21,21
13,8,11,15,28,23,23,27
0,3,1,0,0,0,0,3
2,3,5,1,3,5,4,4
6,4,7,8,8,8,14,16
0,0,1,0,0,1,0,1
45,29,61,42,37,24,31,62
1,1,1,0,2,2,1,5
29,33,74,25,36,36,34,57
1,0,1,1,1,2,0,1
11,7,18,9,12,13,9,21
0,0,0,1,3,2,2,10
1,0,0,0,1,0,0,0
2,1,2,4,2,4,1,4
23,21,35,17,21,13,18,36
1,4,3,2,2,1,1,3
0,0,0,0,0,0,0,0
0,0,1,0,1,3,1,0
0,0,0,0,0,1,0,1
8,8,23,9,13,19,23,20
20,14,32,13,45,25,45,66
7,9,16,8,16,15,26,33
7,7,10,11,8,7,4,26
18,13,34,13,47,28,21,49
0,0,0,0,0,0,0,1
21,24,41,26,18,32,17,32
20,18,32,19,20,12,16,38
0,0,0,0,0,3,1,2
1,4,6,4,2,2,2,3
1,0,0,0,0,1,1,3
12,7,24,13,23,17,26,21
3,2,1,1,4,8,3,7
11,7,21,4,21,14,24,55
1,0,0,3,3,2,5,12
56,65,127,66,163,109,95,167
2,0,5,1,5,1,3,4
37,29,62,30,54,41,50,102
0,0,4,2,0,1,7,9
5,6,13,6,9,7,4,9
1,0,0,0,4,2,0,1
0,1,2,2,7,1,7,9
103,90,188,84,122,104,91,187
2,3,7,6,5,14,8,18
22,20,37,16,35,39,40,79
1,0,2,0,0,0,1,3
1,2,0,1,0,0,2,1
7,6,19,6,24,20,16,28
3,0,3,2,2,5,3,6
48,38,83,33,48,47,39,91
3,2,5,1,7,1,3,12
6,3,8,5,15,12,9,14
7,11,23,9,14,10,16,19
0,0,0,0,0,0,0,0
1,0,2,3,5,6,1,6
29,19,43,31,45,43,52,66
29,16,44,24,27,24,12,49
0,2,0,0,1,2,0,0
50,39,57,41,63,37,49,109
8,4,16,4,8,13,2,8
2,0,2,1,1,6,1,3
0,0,1,0,0,0,0,3
0,0,0,0,0,0,0,0
17,16,21,18,14,7,14,36
0,1,1,1,0,0,2,1
15,10,38,12,36,35,36,70
12,7,20,8,13,5,5,19
1,3,0,3,4,0,2,4
1,1,3,0,2,6,5,5
2,0,4,3,2,1,3,1
0,0,0,0,0,0,0,0
1,1,4,2,1,8,4,7
6,3,6,2,1,3,7,14
58,62,119,38,61,76,48,102
192,159,322,161,194,113,118,257
2,2,3,1,6,9,5,6
40,40,76,42,50,51,36,80
3,4,11,6,4,7,8,9
0,1,0,0,1,0,0,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0
2,1,1,0,1,1,1,0
43,43,93,43,56,64,40,94
1,1,2,0,3,2,5,6
4,3,6,2,3,2,12,10
0,0,1,0,0,1,1,2
1,1,1,2,1,2,2,1
0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1
9,6,20,14,17,14,10,24
0,0,3,0,0,0,0,2
0,3,5,1,1,1,2,3
0,0,0,0,0,0,0,0
110,88,154,98,126,82,106,209
12,9,24,13,13,6,10,20
26,18,59,23,32,13,18,48
0,1,4,1,4,3,5,6
10,6,9,9,22,10,21,29
2,5,3,2,3,5,4,5
0,0,0,0,0,0,0,0
1,0,2,0,4,2,1,2
9,8,27,8,27,28,21,45
0,0,0,0,0,0,0,2
5,4,5,1,6,9,7,12
53,30,83,49,67,65,46,78
1,1,2,2,0,0,0,3
0,1,0,0,4,0,0,2
20,13,24,15,17,21,21,38
11,9,19,7,7,9,11,11
34,42,87,35,49,62,47,88
6,3,6,3,8,8,6,18
0,0,0,0,1,0,0,0
8,13,16,10,21,27,16,33
0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,2,1,3,2
7,2,3,2,3,2,2,10
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,1,0,1,1
15,18,26,16,17,23,20,18
20,17,40,13,14,14,13,34
81,67,107,65,121,85,95,128
2,2,5,3,1,2,2,4
5,7,18,9,19,21,21,24
1,3,4,3,4,5,7,12
0,0,0,0,0,0,0,0
1,5,8,2,8,2,7,8
19,23,52,30,22,15,14,45
3,1,11,3,7,9,6,13
0,1,2,1,1,0,4,1
0,0,0,0,0,0,1,0
77,92,154,86,142,94,97,208
0,1,5,2,3,7,7,9
0,0,0,0,0,0,0,0
0,0,3,0,3,2,2,3
18,25,29,14,39,28,31,25
24,28,44,16,35,35,22,43
3,0,2,2,3,1,1,3
49,43,64,37,64,31,45,63
7,6,11,9,19,15,15,9
0,0,0,0,0,0,0,0
2,2,0,1,3,5,0,1
2,5,0,0,6,2,3,3
13,11,28,5,13,20,13,16
3,5,12,4,11,10,12,24
0,0,0,0,0,1,0,0
2,9,27,17,23,16,20,37
4,2,3,3,6,5,8,9
1,4,0,6,3,8,6,7
0,0,0,1,0,1,0,0
2,2,11,1,10,14,16,6
6,3,10,7,23,11,21,17
6,9,14,5,8,7,13,10
5,4,1,0,5,5,5,9
4,3,4,5,8,3,3,12
5,5,13,13,34,11,20,49
2,1,0,1,5,1,2,4
0,1,9,1,6,8,5,11
24,17,51,20,85,39,52,111
55,48,74,42,56,43,43,95
0,0,0,0,0,0,0,0
0,0,0,2,0,1,0,0
18,12,31,8,28,28,23,36
20,9,37,17,24,11,11,35
3,4,16,5,11,7,15,7
2,0,0,0,1,0,2,3
27,39,54,37,71,29,39,82
1,1,1,1,2,2,6,2
0,0,0,0,2,0,1,0
9,9,18,13,16,13,18,26
24,18,29,13,24,28,23,45
0,2,1,0,1,0,0,1
9,11,32,10,15,22,16,27
3,1,3,2,3,4,2,6
4,3,8,2,13,8,14,20
12,14,17,13,28,29,18,39
0,0,0,0,0,0,0,0
2,0,0,1,3,0,1,2
1,3,8,5,16,11,13,18
4,6,7,4,9,8,12,13
8,6,13,2,14,9,16,22
1,3,0,1,1,1,2,3
54,58,88,51,87,63,70,114
1,0,4,2,3,0,3,3
0,0,0,0,0,0,0,0
14,8,11,17,8,12,14,18
0,0,0,0,2,0,0,0
5,1,4,3,21,13,13,17
13,6,35,12,13,10,13,15
0,0,0,0,0,1,0,0
0,1,4,0,0,0,0,0
0,0,0,1,1,0,1,4
231,225,433,237,219,204,143,283
1,0,4,2,2,1,2,10
12,11,31,19,29,22,29,44
1,1,1,0,0,1,2,1
0,0,0,0,0,0,0,0
2,0,0,1,0,1,1,4
51,50,96,43,60,40,37,106
3,2,7,2,3,3,3,5
0,0,1,0,3,1,0,2
2,1,1,2,4,1,5,6
21,22,27,20,51,35,30,55
37,20,66,26,16,13,17,21
1,1,2,1,2,4,2,3
1,3,4,4,2,14,6,8
8,9,13,10,18,8,15,19
0,0,0,0,0,0,0,0
14,11,22,10,44,25,35,33
0,0,0,0,0,0,0,0
16,21,33,18,38,23,24,29
0,0,2,3,0,2,0,2
0,0,1,0,0,0,0,1
2,3,2,0,3,1,2,8
0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,1
0,1,3,0,2,1,2,5
1,0,0,2,3,0,3,1
0,1,0,0,3,4,2,4
270,223,458,277,337,323,244,376
0,0,1,1,0,1,0,2
9,15,19,15,7,17,9,30
6,6,12,9,9,13,11,17
0,0,0,0,0,0,0,0
16,20,61,23,119,122,104,127
2,1,1,0,0,0,0,0
15,21,40,13,30,23,19,41
1,0,1,1,1,1,1,4
1,0,4,4,4,4,5,3
0,0,0,0,0,0,0,0
1,0,0,0,2,1,1,2
7,6,12,7,19,4,5,12
5,7,11,4,25,10,23,23
1,2,2,0,2,0,2,4
479,453,929,465,508,414,385,706
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
3,2,0,1,1,2,3,2
0,0,0,0,0,0,0,0
16,5,21,22,35,32,23,44
35,28,74,47,47,61,49,73
1,0,3,0,0,0,1,3
1,1,3,2,2,0,5,7
2,0,0,1,0,0,0,0
7,5,15,9,8,8,7,8
14,10,24,12,20,6,16,21
0,0,0,0,2,1,0,2
2,2,2,1,4,2,1,8
99,81,168,67,108,120,97,136
88,90,199,86,137,98,82,176
0,0,0,1,0,0,1,0
0,1,0,0,1,1,1,1
43,27,57,36,13,13,18,28
5,8,11,5,8,6,15,13
3,3,1,1,3,0,1,0
5,7,9,11,12,5,6,11
2,2,5,2,9,4,6,10
0,0,0,0,0,0,0,0
1,0,1,1,1,3,0,1
0,0,1,0,4,3,3,5
3,2,5,1,2,3,1,2
5,14,13,6,12,7,2,19
0,0,0,0,1,0,1,1
0,0,2,0,0,0,0,0
84,76,129,64,99,84,85,119
2,1,0,0,2,0,4,1
8,10,12,11,30,24,24,33
8,7,25,9,6,9,15,14
25,20,60,25,32,42,32,55
9,10,11,5,6,7,10,6
103,72,158,97,101,110,91,161
5,3,6,5,6,4,7,10
4,4,4,3,1,2,0,5
7,8,13,4,6,7,4,17
1,3,3,5,3,12,2,14
0,0,2,0,0,3,0,4
0,0,4,1,1,5,3,16
7,9,19,13,14,4,6,23
15,11,42,14,35,48,28,49
1,2,1,2,3,8,10,8
0,1,2,0,0,3,0,2
0,2,2,0,1,0,1,1
13,17,31,21,21,17,19,23
0,1,4,1,0,1,2,2
4,6,10,5,4,7,11,13
2,6,5,5,10,11,8,18
0,0,0,0,0,0,0,0
33,40,61,38,65,64,52,91
0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,2
12,11,15,18,21,23,33,30
1,3,3,1,8,16,7,9
64,54,93,48,55,37,36,78
3,3,7,3,3,0,3,2
4,7,21,13,15,16,30,31
0,0,1,1,2,3,4,0
3,6,7,3,12,11,4,16
4,13,21,9,12,14,7,21
12,13,27,12,26,35,26,36
8,7,21,10,11,11,8,13
71,59,123,62,99,64,59,109
5,3,2,2,1,2,2,7
19,9,33,18,22,34,21,40
76,76,126,71,74,72,56,126
2,1,4,7,12,3,8,15
2,4,5,1,3,1,3,7
0,0,0,0,0,0,0,0
5,1,10,12,14,8,7,10
15,9,26,11,25,10,11,37
