,mr349-MV411-YLK-r3_tcount,mr343-MV411-DMSO-r1_tcount,mr345-MV411-DMSO-r3_tcount,mr347-MV411-YLK-r1_tcount,mr348-MV411-YLK-r2_tcount,mr344-MV411-DMSO-r2_tcount,mr346-MV411-DMSO-r4_tcount,mr350-MV411-YLK-r4_tcount
PHF7,22,66,45,29,51,65,51,47
VTA1,1647,1824,2049,1151,1926,2633,1654,1895
PPHLN1,948,1077,1270,713,1147,1508,1092,1211
MTFP1,301,510,634,327,369,648,543,589
ZCCHC17,821,1150,1536,769,929,1679,1337,1436
SCLY,344,555,745,303,448,764,593,657
VPS54,195,222,277,174,263,291,229,282
ZNF581,201,350,381,186,217,423,354,369
SIRT7,315,538,656,293,383,587,586,597
SIRT6,343,780,847,423,464,957,765,946
CINP,168,326,374,176,233,448,299,338
RAB14,4163,4368,4875,2779,4584,6184,4710,4792
PEX5L,7,8,9,2,10,5,10,8
NT5DC3,269,501,509,223,330,591,452,480
RAB6B,55,79,107,37,64,93,86,80
IL23A,11,12,15,12,10,11,6,23
MBIP,111,147,161,73,114,221,153,120
HDAC7,258,500,552,253,268,585,478,486
ARMCX3,364,353,427,283,448,521,414,514
TDP2,752,780,822,539,887,1114,736,870
UFM1,1930,2063,2486,1255,2180,2860,2099,2378
FAM49B,10087,11853,13753,7197,12131,16620,11616,12035
GDE1,1667,2074,2387,1405,2036,2815,2204,2266
LARP7,91,133,124,54,100,224,129,122
ESF1,104,113,107,54,80,247,112,98
AZIN1,5225,5773,6623,3776,6019,8531,6335,6157
PCF11,214,219,291,106,194,320,248,222
MED15,359,750,837,452,504,862,729,847
PIAS4,452,934,1034,479,454,1086,961,971
TRIM33,1268,1382,1553,793,1373,1970,1491,1412
SRRT,289,362,493,257,331,497,439,503
NBAS,1359,2249,2550,991,1739,2799,2102,1885
LSR,2,0,4,1,3,5,5,8
NOP58,629,907,1133,645,764,1312,1021,1259
EEF1AKNMT,248,335,426,232,307,417,413,390
PIGT,227,389,417,248,262,432,340,403
TRMT6,531,434,492,349,531,618,525,521
ATP6V1H,90,104,113,69,82,123,144,150
GET4,266,383,505,247,242,462,403,447
DPH5,111,174,211,103,146,242,175,167
ERGIC3,344,544,565,306,381,654,523,591
TAF9B,567,568,671,391,656,890,643,635
UBE2D4,328,507,568,286,396,607,475,516
KLF13,461,760,935,398,538,1053,819,740
CCZ1,118,139,131,84,125,184,146,170
DYNC2LI1,41,49,60,31,50,68,37,44
SLC25A39,890,1643,1849,945,1045,1918,1538,1891
LUC7L2,1509,1950,2104,1217,1676,2375,1960,2027
OTUD6B,883,957,904,523,1032,1443,884,828
RBMX2,189,248,308,174,252,357,269,325
DHRS7,73,82,84,61,65,115,97,96
RTRAF,697,947,1141,637,778,1247,991,1046
SF3B6,422,620,720,366,508,783,600,669
MRPL48,184,258,321,210,230,346,290,383
TMBIM4,1611,2072,2323,1305,2043,2733,1962,2245
PPIL1,1286,1516,1834,1070,1535,2132,1696,1752
YPEL5,759,883,930,554,890,1373,885,1022
CIAO2B,823,1406,1613,796,1045,1814,1156,1494
MRPS23,269,449,517,250,382,605,441,471
MRPS33,514,683,1013,484,652,1030,782,851
PTRH2,104,144,163,76,144,211,158,162
CHMP3,3172,4441,5327,2473,3689,5838,4421,4553
CDK5RAP1,48,60,85,49,65,90,88,87
RASD1,4,0,6,3,1,2,2,13
STYXL1,864,1297,1521,895,1086,1669,1327,1367
GINS2,588,841,1007,577,690,1059,863,984
MPC1,1466,1835,1946,1158,1734,2327,1660,1818
FKBP7,166,166,172,97,174,266,172,204
ZFR,11112,11380,12497,6609,13391,16602,10872,11955
ASB1,721,1402,1509,562,941,1683,1385,1270
NUB1,393,701,771,387,408,841,639,638
HSPB11,1565,2040,2577,1357,2156,2622,2056,2161
SARAF,3921,3907,4447,2792,4537,5768,4245,4657
TPPP3,2,4,7,3,0,13,7,12
MPP6,308,313,368,200,328,440,318,356
SUFU,207,402,520,157,241,559,431,385
OAZ3,4,6,6,5,4,11,4,6
LSM7,349,484,583,326,450,597,457,655
LSM8,1338,1514,1665,801,1495,2220,1490,1537
CPSF3,114,131,160,94,110,167,160,169
TRAPPC2L,212,383,472,216,267,518,377,419
HECA,758,959,1061,473,781,1315,962,867
VPS29,2428,3130,3807,2081,3128,4080,3021,3290
CYB5R2,6,11,7,3,12,20,12,12
NLK,201,184,242,136,259,322,204,227
ACSL5,225,252,323,193,275,314,269,301
CYB5R1,180,256,284,201,244,332,303,288
ZNF44,29,30,39,16,17,52,33,49
SELENOT,1712,1783,1963,1158,2146,2684,1789,1902
RAB23,201,202,235,100,166,340,213,198
CAB39,3762,4220,5010,2616,4379,5979,4261,4499
UIMC1,78,110,138,66,91,142,143,146
FBXO40,7,4,4,1,4,10,7,7
DNAJB11,464,566,703,365,580,803,630,658
CMPK1,8784,9212,9868,5508,9929,13496,8894,9306
POLR3K,391,602,704,372,443,756,663,694
WBP11,783,1058,1151,596,882,1309,1049,1070
UPB1,38,49,60,35,52,74,63,64
MSRB1,490,819,1043,506,623,1070,816,876
RAPGEF6,528,630,832,396,692,1053,741,705
GHRL,21,55,37,20,29,31,30,51
WWOX,149,239,270,144,183,299,226,236
ARID4B,1901,2119,2654,1390,2122,3124,2416,2449
CD244,196,350,402,223,274,475,363,334
LUC7L3,1429,1546,1909,996,1745,1872,1387,1875
RTEL1,47,95,99,48,62,102,91,104
HIGD1B,9,25,21,8,14,27,29,16
ERAP1,618,724,847,415,664,985,762,767
TMEM8B,9,10,14,4,11,16,6,14
CDK12,1653,2084,2336,1176,1872,2731,2292,2129
C9orf78,1288,1810,2198,1253,1532,2683,2093,2277
RAB8B,597,721,764,335,701,1105,751,670
INPP5K,201,379,401,214,258,440,384,439
GNG13,11,16,26,16,15,20,17,26
STK26,3021,2972,3191,1853,3329,4585,2874,2833
TM7SF3,982,1178,1443,721,1057,1621,1182,1231
RSF1,144,155,165,79,165,219,160,156
MAP3K20,4032,4807,5257,2740,4498,6585,5155,4974
KDM3B,1460,1847,2224,1275,1643,2378,2141,2147
COQ3,32,41,37,25,39,63,31,44
TUBA8,6,17,18,5,6,6,11,11
PHAX,691,896,1035,511,761,1350,929,904
GALNT7,969,906,1087,616,1229,1401,966,970
ADA2,284,477,521,257,335,613,490,518
BCL11A,523,651,693,365,547,1034,734,712
BTBD1,2663,2553,2994,1629,2927,3760,2478,2728
SPA17,20,35,64,29,50,71,50,61
IL17D,25,40,30,17,18,45,26,33
NUDT9,89,110,122,81,99,133,115,107
ZFYVE1,77,146,205,68,101,205,144,135
PANK1,197,231,301,109,216,385,283,224
SHC3,3,1,8,1,3,7,5,7
NUP54,1801,2039,2491,1224,2226,2835,2022,2059
TPCN1,373,620,756,399,429,793,686,637
STX18,231,354,409,216,303,438,377,429
MBD3,2094,4233,5209,2453,2807,5130,4014,5071
ADAM22,15,17,22,10,19,32,26,29
PTOV1,164,254,249,165,177,284,268,326
S1PR5,9,13,11,3,3,8,8,5
FXYD6,29,34,43,16,19,51,29,41
FXYD5,331,465,572,335,374,613,464,579
GPR84,7,14,6,11,7,20,15,11
IL20RB,11,20,20,4,11,9,14,12
FGFRL1,565,971,1135,519,665,1266,995,1015
C11orf24,116,211,194,134,144,245,177,214
TRIM34,95,124,133,92,118,184,124,131
CLDN22,13,13,13,11,19,20,16,16
RAB4B,236,449,483,284,283,569,455,585
RAB24,612,1069,1222,623,860,1078,982,1282
PELO,21,44,35,18,16,55,34,32
PPIL3,271,318,373,197,313,436,357,404
CSNK1G1,789,1271,1436,478,882,1727,1349,1121
A4GALT,11,23,18,9,12,29,17,19
CPSF2,1988,2179,2498,1370,2305,3150,2386,2438
BRWD1,911,1094,1339,521,1044,1607,1207,1187
SLC37A1,204,314,361,183,248,362,330,309
PCBP3,10,15,35,15,9,23,17,15
C21orf58,141,249,275,141,173,252,229,276
YBEY,41,68,88,40,50,110,80,74
SMIM11A,13,20,28,15,24,29,22,21
MIS18A,740,922,1116,644,887,1328,994,1042
LINC00158,8,5,15,5,6,15,8,9
TSPEAR-AS1,0,2,1,1,3,2,5,2
SETD4,220,334,405,162,275,411,341,393
GSAP,142,148,153,81,168,201,145,168
TLR9,3,7,9,3,6,5,1,3
POLE3,5839,8714,9781,4877,7216,11666,9080,9151
CHRAC1,2823,3053,3443,1968,2865,4360,3341,3554
GPR88,23,23,34,14,28,44,25,22
MRPL39,30,37,41,13,34,62,44,48
C21orf91,429,605,601,205,549,876,590,453
DCUN1D1,1013,1189,1223,600,1154,1649,1083,1095
NANS,71,77,68,55,70,113,73,85
CYCS,4764,4979,5237,2987,5405,7512,4917,5425
ERRFI1,21,16,41,21,30,36,27,27
KCNK10,182,245,321,168,216,346,269,311
TREM2,112,183,229,107,124,209,153,181
TREM1,507,175,226,420,620,230,219,766
GPR85,334,266,299,166,371,413,283,391
GNG2,122,95,144,57,120,172,118,100
GDAP1,314,399,495,237,414,569,409,462
DPM3,68,89,122,73,80,129,97,140
TERF2IP,997,1231,1444,775,1128,1632,1282,1403
SLC38A2,2610,2514,2808,1620,2854,3777,2654,3379
NLGN3,7,18,15,2,7,8,9,11
SIAE,318,353,480,241,395,514,388,438
DNAJC10,559,485,581,329,568,748,553,567
YIPF1,721,971,1209,594,793,1233,937,1027
GAR1,370,392,492,253,418,576,481,492
SSH1,381,562,586,216,426,618,511,518
SH3TC1,3,7,6,3,3,6,1,3
GFOD1,72,94,104,45,52,151,99,88
RBM27,1132,1225,1325,672,1152,1935,1256,1249
SASH3,610,1147,1313,646,797,1415,1084,1172
KCTD5,1279,1956,2186,1169,1509,2413,1944,2306
ANLN,699,660,790,450,710,1143,727,689
RIN2,5,2,4,2,5,7,3,15
ATAD2B,1232,1656,1922,692,1478,2223,1704,1593
FBXO42,197,282,299,140,212,352,284,234
PRR13,2417,3243,3880,2263,2840,4131,3303,3706
MRPS21,530,755,895,519,644,1081,811,918
FBXW5,366,694,841,459,542,811,636,802
CCSER2,521,759,748,316,581,850,685,580
RETREG1,49,44,43,25,51,59,38,50
XRN1,567,668,740,349,714,1008,664,681
ETAA1,8,9,16,6,4,27,9,9
ANKIB1,424,457,477,275,510,591,388,437
MIOS,42,61,68,24,51,93,62,85
ZFAND6,416,533,517,242,524,812,541,580
ARMCX6,96,184,221,103,118,270,193,203
MIEF1,2963,4886,5337,2528,3527,6127,5037,4694
TOLLIP,938,1531,1871,843,1102,2136,1642,1692
NLE1,276,410,487,243,323,523,385,463
RNF216,557,1128,1343,607,681,1404,1123,1155
PIMREG,205,327,361,192,210,417,320,394
CHPF2,26,39,59,27,35,44,46,52
TRMT13,285,279,309,167,332,384,269,279
DGCR8,536,779,881,488,621,974,829,860
OTULINL,690,913,1083,604,840,1266,938,981
NEURL1B,0,2,5,1,3,4,2,2
C11orf71,135,182,203,83,185,226,162,188
TMX3,2217,2240,2573,1359,2563,3187,2257,2439
PRMT7,98,146,140,96,127,195,162,177
HEATR5B,114,106,124,64,136,159,116,142
SMOX,59,56,91,63,115,78,80,132
TMCO1,4806,6173,7295,3900,5887,8331,6212,6566
RBM47,5,13,15,6,14,21,12,9
ZDHHC13,74,79,97,42,72,130,92,98
DHX29,42,56,61,25,45,115,49,62
ADAMTSL4,51,68,99,38,68,76,96,106
RHOF,420,842,1039,424,489,1107,829,790
EXOSC4,76,88,99,43,79,118,85,129
MTRF1L,192,213,216,103,198,284,216,209
PUS7,663,698,792,495,693,916,817,817
APBB1IP,290,427,489,267,346,522,474,477
CCDC93,570,855,1027,447,642,1008,822,792
WDR44,97,84,90,73,93,136,74,86
ANKRD16,65,61,76,48,47,85,54,71
ASNSD1,9,14,11,3,6,16,11,16
MIER2,131,215,270,145,152,277,237,324
USP53,11,16,19,12,18,27,12,17
MRPL50,377,617,634,318,480,761,585,526
EXOC6,310,361,384,189,339,548,356,405
SHLD2,253,275,341,211,301,414,225,315
NDUFB11,270,374,389,268,296,484,421,459
FAM193B,242,531,662,227,341,522,508,685
DDIT4,252,119,125,233,304,123,118,504
RC3H2,22,13,27,9,17,31,17,16
TOMM7,935,1362,1667,958,1269,1662,1393,1518
MTMR12,692,1052,1090,489,762,1336,1037,901
SDK2,9,23,22,17,16,28,17,12
NECAB2,0,1,5,2,2,10,3,4
GNL3L,3503,4510,5442,2823,3755,6513,5309,5215
MIR4453HG,105,119,144,39,96,140,126,137
WDR5B,129,145,166,57,115,174,160,150
DDX49,311,542,666,337,410,668,588,646
ING3,270,230,286,139,296,418,261,240
SGTB,106,125,125,52,111,172,112,113
SPATA6,24,43,33,18,50,68,56,48
EGLN1,936,1159,1260,613,1051,1509,1139,1061
GNB1L,28,60,69,38,51,73,37,71
LZTFL1,1286,1426,1686,881,1576,1879,1345,1393
MXRA8,80,267,227,47,142,137,141,219
NDFIP2,1396,1398,1575,905,1666,2153,1412,1437
DDX56,161,202,266,148,189,261,212,277
INO80,1403,2221,2572,975,1605,2794,2364,2191
CCNJ,204,317,334,112,203,463,347,223
FBXL19,884,1869,2006,927,1056,2286,1724,1846
VSIG10,35,51,65,41,43,83,63,63
ARL15,123,130,162,76,118,203,121,129
PAF1,2661,3780,4631,2609,2803,5005,4025,4321
PARP14,656,823,1071,511,711,1063,889,986
HES2,3,5,5,0,1,4,5,6
MAP10,47,58,63,30,52,92,58,47
MINDY2,525,574,584,323,593,786,588,692
PCDHB18P,1,5,4,0,3,2,1,3
TBC1D13,723,1368,1534,751,921,1585,1343,1497
WDR74,37,63,63,45,56,76,49,85
TMEM106B,574,616,703,306,681,949,582,608
RSBN1,522,782,802,241,528,1160,859,586
CRLS1,824,987,1198,672,1087,1417,1020,1110
GTPBP2,431,741,882,470,517,899,802,886
CROT,39,55,41,30,51,71,50,62
ZNHIT6,1065,1222,1443,691,1176,1744,1311,1185
P4HTM,20,35,51,24,24,42,34,40
MANSC1,0,6,5,0,7,6,2,4
RRN3,6,23,13,10,17,22,7,13
PDP1,395,545,521,253,432,844,520,500
GPN2,114,158,199,87,122,179,151,143
MARCHF5,494,631,628,363,657,967,647,683
OTUD4,1666,2011,2116,1054,1861,2772,1935,1922
TMED9,1719,3430,4156,2060,2268,4259,3385,3824
SLC35F2,155,223,260,135,173,288,247,187
RAB39A,53,59,75,14,35,70,47,35
MPHOSPH8,504,587,756,481,617,835,652,773
XAF1,1345,1204,1591,892,1480,1823,1358,1572
LEPROT,1543,1792,2025,1037,1743,2428,1862,1921
LY6K,3,2,6,3,8,10,4,8
EPDR1,440,600,707,328,480,818,600,610
FNDC8,21,32,37,13,14,36,29,27
ZNF853,0,4,6,4,0,6,1,3
FAM20A,2,1,1,0,1,2,7,3
KLHDC4,83,170,167,92,121,189,145,173
PCSK4,11,17,18,11,8,20,25,27
ZRANB1,521,551,626,325,545,746,611,613
TRIM44,3967,4989,6016,3141,4554,6249,5340,5316
PPP1R12C,502,1081,1248,520,663,1174,1069,1239
RNF111,94,109,145,57,91,165,116,114
NSMCE4A,110,111,172,93,122,194,145,132
ALKBH4,151,269,344,145,224,356,305,298
BORCS6,90,194,227,93,119,208,191,185
DNAJB12,861,1479,1656,808,1049,1769,1555,1612
TET2,361,462,496,234,468,635,474,451
KCTD9,1025,1097,1232,690,1190,1515,1192,1060
TRPM4,347,675,768,390,450,814,585,808
MED18,187,267,368,205,232,377,292,329
MBTD1,1538,1672,2035,992,1726,2518,1873,1892
KLHL24,431,536,618,255,460,759,474,459
HAUS6,849,866,983,513,979,1280,942,923
TRIT1,522,775,969,457,773,1037,814,849
CNNM2,51,96,111,48,62,133,95,73
AHI1,39,59,74,39,49,94,52,74
ZNF586,212,287,351,155,253,364,306,309
DYM,231,226,285,173,268,338,245,278
SAMD9,729,791,931,509,857,1159,817,912
GIPC2,3,0,1,1,0,5,3,1
ZNF562,984,1518,1688,637,1078,1971,1508,1529
AFTPH,580,599,644,369,576,997,643,630
KLHL28,92,103,151,36,87,177,112,108
QPCTL,209,302,393,251,300,362,298,404
GATAD2A,2361,3882,4445,2149,2500,5218,4251,4147
ZNF280D,263,264,298,200,331,429,296,299
ZCCHC10,572,827,845,376,666,1033,784,768
NDE1,4,8,5,3,5,7,9,9
ERCC6L,17,24,38,8,31,36,20,29
TRPM7,928,1055,1129,703,1140,1521,1052,1128
SWT1,17,28,34,20,36,50,29,53
GIN1,134,193,231,84,157,250,179,146
BCAS3,47,88,97,43,51,97,76,92
VPS13C,1002,1054,1234,646,1056,1425,1143,1281
GDAP2,376,396,460,254,420,508,437,459
BSPRY,17,23,30,13,23,24,28,26
WBP1L,875,1271,1447,764,1053,1592,1351,1419
LRRC49,4,8,4,2,3,1,2,1
APTX,1151,1764,2137,997,1522,2280,1701,1941
BIVM,243,288,372,183,296,397,340,311
MFSD6,94,110,104,53,108,157,102,116
SIDT1,136,121,138,100,155,157,111,264
ARHGEF38,15,12,17,19,33,17,15,29
DEF8,163,394,423,170,252,389,308,338
FBXL12,310,462,568,279,395,579,516,527
ANKRD49,213,234,250,109,225,360,194,255
PAQR5,5,4,5,1,5,3,2,2
WDR55,449,718,854,405,521,843,675,826
FAM83E,1,1,5,0,2,3,0,1
TENT5C,50,107,73,44,60,118,99,70
GON4L,45,84,111,50,64,109,98,90
PGPEP1,1524,3033,3544,1528,1979,3846,3179,3065
ELP6,182,308,367,206,207,361,316,317
SNRK,1034,1150,1315,630,1081,1717,1224,1248
CC2D1A,169,308,333,173,179,317,295,357
TOR4A,944,1897,1989,896,1166,2302,1825,2017
GPATCH4,1049,1522,1856,1057,1136,2185,1862,1875
TMEM214,764,1213,1445,748,899,1536,1307,1290
TMEM104,731,1379,1557,712,855,1689,1372,1400
EPS8L1,68,121,146,62,81,127,113,142
QRICH1,674,927,1075,539,811,1108,950,995
PIGG,106,204,278,122,129,231,214,248
FNBP1L,3,4,2,1,6,4,4,4
CNTLN,467,541,535,357,518,631,530,625
DCAF16,1214,1587,1895,911,1433,2104,1670,1806
ZCCHC2,159,258,247,124,193,343,247,224
DPP8,2250,3068,3366,1322,2639,3878,3151,2772
ST7L,25,35,44,36,49,63,60,61
BCOR,435,498,536,304,437,745,501,486
TEX10,25,43,45,18,30,42,41,40
ANKHD1,135,191,199,101,136,242,174,179
CWC25,5,10,3,1,3,14,9,8
RETSAT,283,460,534,302,361,551,465,481
UHRF1BP1,1094,1448,1637,655,1064,1740,1426,1402
NSUN2,3858,5105,6089,3179,4610,6346,5229,5811
ALKBH5,2058,3561,4261,2012,2313,4393,3909,4024
INO80D,1177,1529,1632,703,1350,2087,1686,1512
NCAPG2,4379,5631,6450,3022,5105,7374,5813,5480
MTMR10,89,81,125,38,73,146,104,89
RNF43,449,719,731,371,528,829,679,761
SLC66A1,460,675,893,396,528,826,698,878
CASZ1,14,36,28,6,13,37,33,35
PXK,1312,1645,1858,935,1522,2103,1563,1583
LAX1,0,4,3,2,5,5,6,7
CDKAL1,222,298,345,183,260,453,334,340
TTC19,1007,1220,1377,793,1234,1553,1235,1478
MKS1,60,105,122,69,74,137,113,115
NSD3,968,1271,1367,645,1054,1671,1310,1312
TASOR2,219,169,190,122,223,302,196,215
SPDL1,208,248,259,174,228,343,221,238
SEMA4C,111,231,233,116,125,278,211,223
RPP25,391,584,620,358,382,740,590,636
FOCAD,98,136,171,107,107,183,166,175
YTHDF1,715,1025,1203,656,795,1448,1132,1090
TMEM260,385,471,558,284,473,661,494,565
CMTM6,4433,5180,5716,3218,5417,7061,5164,5286
DNAAF5,740,843,1016,574,877,1227,907,987
DUS2,35,73,104,39,59,87,80,86
CHTF8,2341,4623,5308,2156,2779,5550,4340,4380
RASIP1,2,0,4,5,15,5,5,6
LIME1,34,76,68,35,44,65,55,87
ZSCAN32,165,220,293,165,194,296,247,284
UBE2R2,1413,1851,2361,1209,1594,2673,2159,2106
CHCHD3,3056,4493,5288,2666,3663,6109,4441,4397
IMPAD1,5076,5860,6664,3133,5793,8144,6056,5885
TMEM161A,101,196,236,121,141,227,228,243
HAUS4,310,464,557,287,372,617,531,533
TRMT10C,178,206,246,136,232,342,275,284
EXD3,93,190,202,99,127,231,200,239
KANSL2,165,251,333,152,205,365,290,293
DUSP23,187,281,328,179,213,342,273,316
ADPRHL2,214,397,491,214,284,490,420,384
SOHLH2,8,9,14,6,6,10,7,10
SARS2,164,303,294,144,174,291,272,314
COMMD4,316,567,649,366,414,626,570,675
OCIAD1,1128,1307,1406,871,1347,1853,1378,1443
RNF125,518,608,691,318,580,821,607,633
ABITRAM,953,1029,1262,677,1104,1435,1015,1130
SLC41A3,181,309,337,187,240,339,281,317
LPCAT2,792,737,793,490,920,1160,760,827
MRPL16,267,342,407,253,304,461,423,385
SDHAF2,343,518,578,282,399,596,496,613
COMMD8,712,736,862,448,797,1303,764,752
TRNAU1AP,48,67,83,31,51,80,78,78
ODR4,302,289,370,180,374,384,301,363
FAM120C,168,225,303,146,200,387,294,248
C1orf109,364,417,476,251,392,526,439,466
PARP16,102,129,141,99,128,172,162,141
TXNL4B,298,373,435,222,340,456,397,384
TMEM160,88,151,169,102,120,139,131,220
GEMIN8,132,178,190,109,147,179,174,201
SSH3,261,386,461,219,250,497,446,408
TIPIN,41,58,59,31,48,106,68,68
UCKL1,425,760,861,454,550,916,682,758
C1orf56,501,840,919,498,628,1044,899,941
PIGX,995,1077,1318,770,1115,1543,1230,1319
TMEM70,1532,1664,1944,1075,1826,2107,1537,1873
HPF1,25,23,35,19,26,47,30,39
TTC12,2,7,0,1,2,4,2,7
BANP,35,58,76,36,45,82,53,43
TMEM132A,1,10,10,7,6,7,15,15
INTS11,143,211,259,104,180,260,193,271
THG1L,249,328,350,182,280,419,317,358
C20orf27,3297,6089,6999,3440,3831,7239,6081,6876
SLC25A38,268,406,477,256,328,519,454,433
SLC35F6,358,577,808,382,494,840,738,730
C2orf42,32,36,54,18,31,73,51,56
NMRK1,202,278,339,173,245,316,208,296
CLN6,1805,3312,3717,1968,2126,4042,3338,3805
PINX1,404,620,689,328,420,807,640,734
HCFC1R1,144,228,256,134,154,277,255,283
ULK4,264,328,389,188,285,471,330,341
CZIB,631,905,1164,615,820,1163,900,1030
ZNF770,1158,1242,1268,745,1164,1797,1337,1231
C1orf159,122,295,338,153,178,319,254,330
ZSCAN2,90,192,203,88,98,211,217,142
GID8,1535,2380,2709,1330,1925,3116,2498,2455
OXSM,3,1,3,3,14,5,5,6
TESC,1615,2730,3289,1792,2043,3447,2731,3013
AURKAIP1,186,380,356,194,305,390,326,382
TMCO3,185,222,257,142,186,297,258,232
PAK1IP1,110,95,112,59,82,190,116,100
LAMTOR1,1500,2766,3222,1559,1702,3305,2638,2822
RMND1,158,223,271,142,202,303,240,298
TRMT61B,71,88,75,53,94,107,73,75
FAM118A,325,500,556,307,424,619,460,521
HERC6,16,16,24,14,12,23,22,27
FAM174C,735,1369,1547,778,872,1747,1272,1607
PARPBP,655,674,725,418,721,899,679,715
PIH1D1,108,180,212,129,159,244,184,238
PPP2R3C,1636,2004,2475,1232,2150,2695,2016,2109
MCUB,3,7,4,4,5,12,7,6
STX17,555,740,819,352,626,934,730,729
PRPF39,173,158,199,107,204,267,206,196
MARCHF1,140,160,161,58,186,198,132,212
C14orf119,755,812,1040,614,903,1193,924,1065
TTC38,337,629,711,331,385,685,616,654
PHIP,1910,1616,1908,1027,2075,2682,1781,1945
BANK1,18,12,19,19,22,21,15,20
TMEM255A,53,50,60,26,43,79,62,57
HEATR3,58,143,123,69,101,135,121,137
C17orf80,243,293,380,142,254,366,290,326
FBXO34,430,501,563,297,473,687,512,584
USP47,558,575,770,451,636,913,696,741
SLC35A5,563,704,761,363,666,942,630,691
FKBP14,395,417,529,217,397,606,465,463
NOL8,3183,4262,4810,2258,3546,5406,4127,4160
PTCD3,1058,1288,1631,861,1273,1763,1316,1571
CDCA4,474,793,920,462,657,1121,812,811
TRMT12,183,199,221,117,175,225,233,218
PLEKHB2,5322,7738,9048,4384,6799,10057,7920,7706
VPS37C,503,762,932,463,639,897,755,841
REX1BD,174,338,337,206,234,346,302,382
NRDE2,28,33,49,19,23,42,39,36
MRPL20,1169,1506,1945,1112,1419,1930,1670,1742
ATG16L1,249,430,514,258,292,497,437,494
ZWILCH,904,994,1185,618,1161,1507,1123,1128
GABPB1-IT1,583,911,1098,558,695,1168,846,918
WIPI1,58,78,77,30,65,67,77,88
ZCWPW1,21,22,25,9,7,16,14,20
PDPR,1861,3249,3488,1519,2271,3756,3183,3228
TMEM248,1885,2503,3084,1611,2126,3438,2724,2846
DET1,215,343,397,168,284,446,361,335
C9orf40,608,754,858,435,736,1068,726,786
RNF31,32,41,41,30,35,51,43,50
LRRC37A4P,16,35,37,17,24,38,27,61
OXR1,668,830,753,387,777,1085,672,729
UACA,63,53,81,47,73,77,73,91
TMEM45A,4,3,7,1,8,14,6,8
TAPBPL,53,49,69,31,44,68,61,73
IFT57,27,49,62,33,58,74,45,62
ARGLU1,559,700,834,395,602,864,694,869
SOBP,10,16,24,12,9,20,17,16
CCDC186,428,527,572,207,469,715,539,475
MED9,284,348,441,172,248,519,438,404
TMEM51,8,7,10,11,2,10,2,7
WDYHV1,269,289,403,230,330,400,334,419
GPATCH1,29,41,46,16,19,50,33,31
SAMD4B,1266,1974,2172,1077,1411,2454,2254,2279
EBLN2,28,25,24,9,25,38,28,25
WDR70,20,34,34,15,32,49,42,45
DMAC2,2155,4108,4815,2010,2745,4874,3806,4108
ATG2B,298,363,428,218,340,456,356,386
GPATCH2,219,279,260,99,243,369,277,264
BSDC1,632,1136,1349,527,843,1282,1132,1217
AGGF1,635,697,789,359,676,975,712,708
MAGOHB,1088,1304,1591,797,1329,1832,1301,1393
PLEKHJ1,913,1764,2035,998,1263,2021,1498,1788
WDR60,25,31,26,25,37,42,28,33
XKR8,78,91,117,64,70,147,99,124
ARHGAP17,860,1206,1470,852,1011,1578,1309,1337
TMEM39B,41,83,132,52,69,86,93,102
PRPF38B,743,852,992,520,876,1205,875,950
FANCL,452,479,623,339,553,611,481,552
AKIRIN2,287,367,429,245,290,511,398,428
CEP192,19,20,25,12,11,28,17,20
HEATR1,777,909,1119,621,925,1218,1063,1043
TRIM68,106,208,253,100,126,239,205,212
ANO10,37,62,68,36,41,81,70,65
RBM28,98,193,191,101,142,230,166,202
LARP1B,240,249,274,134,255,364,257,294
SRBD1,147,152,193,123,167,228,168,193
WRAP53,9,3,8,2,6,5,6,9
FAM90A1,0,9,5,3,3,12,9,6
ANKZF1,63,72,84,43,40,89,73,109
ELP3,630,886,1109,535,675,1219,963,967
HAUS2,1465,1944,2224,1107,1746,2600,1902,2059
CDCA8,973,1722,2035,980,1257,2169,1822,1817
LRRC8D,271,322,392,186,325,434,352,344
THAP1,541,674,705,334,564,1045,674,613
ZDHHC4,38,36,57,34,39,53,47,63
RBM23,842,1271,1466,741,976,1483,1232,1441
MTPAP,348,469,490,304,384,663,470,521
C19orf73,18,36,40,17,10,30,27,33
TMEM38B,662,661,719,440,766,1037,639,614
DALRD3,311,508,613,322,364,619,586,596
SDAD1,658,695,860,523,711,1011,743,789
MSTO1,45,100,87,58,62,100,96,115
ARMC1,1940,1945,2162,1157,2222,2936,1933,2065
DARS2,830,888,1055,591,1038,1213,971,1110
RFWD3,1798,2488,2896,1263,2046,3377,2627,2805
ARHGEF10L,21,34,51,29,35,50,40,34
TMEM33,2763,3017,3265,1934,3078,4326,3341,3335
PNPO,1056,1484,1763,1001,1166,2007,1656,1578
SHQ1,627,636,719,430,714,938,704,721
CEP55,655,627,738,430,693,879,634,692
CENPQ,70,74,69,24,49,108,62,63
MSL2,673,903,957,442,755,1474,1075,930
MRPS18A,376,654,794,419,458,781,624,785
PRMT6,811,1121,1311,614,979,1609,1174,1076
TBCCD1,68,90,136,54,59,125,100,98
DNAAF2,33,28,38,15,20,39,30,19
MRPS10,1579,1946,2255,1159,1920,2806,2004,2246
