,mr349-MV411-YLK-r3_tcount,mr343-MV411-DMSO-r1_tcount,mr345-MV411-DMSO-r3_tcount,mr347-MV411-YLK-r1_tcount,mr348-MV411-YLK-r2_tcount,mr344-MV411-DMSO-r2_tcount,mr346-MV411-DMSO-r4_tcount,mr350-MV411-YLK-r4_tcount
SNORD83A,4,19,21,5,6,20,18,11
SNORD83B,11,16,24,11,13,16,20,24
WDR17,8,12,7,7,3,5,9,5
ACAP3,183,396,459,213,244,412,354,472
ARAP2,21,38,31,12,31,40,37,22
ARAP1,318,572,722,374,450,676,579,675
AGAP2,308,710,776,348,388,870,695,733
AGAP3,304,514,675,346,375,644,517,652
TADA1,146,223,260,83,168,307,197,168
CATSPER1,5,7,14,7,4,8,8,18
THEM4,592,724,868,492,681,1001,708,858
CATSPER2,23,63,67,27,40,45,53,77
RAB3IP,67,73,98,49,93,97,101,107
SSX2IP,200,175,196,97,220,307,191,149
FTSJ3,305,433,567,298,315,568,474,537
CIB3,15,27,19,11,21,28,18,28
TAGAP,115,190,197,81,171,210,164,188
TMC2,1,5,1,1,0,3,2,2
RLN3,1,5,5,2,5,7,7,6
RFFL,613,851,1049,444,738,1207,913,892
ZNF354B,8,3,9,1,9,5,10,2
TRIM6,4,11,7,1,18,9,12,12
UBE2J2,418,725,912,420,470,965,752,874
BORCS5,79,84,109,29,79,136,77,89
ANTXR2,2089,2392,2766,1238,2322,3354,2510,2483
RPL23AP7,71,110,142,53,65,128,117,110
GPR62,2,4,7,3,1,2,2,1
EXOSC6,632,964,1260,548,755,1330,997,1086
PRAP1,0,1,3,0,4,2,1,6
ZNF511,288,466,518,271,307,532,410,469
CHCHD1,379,589,619,332,484,707,509,569
MSS51,24,30,34,24,29,17,32,39
CFAP70,2,13,20,4,5,15,10,19
PSTK,24,34,42,16,20,28,35,42
PIK3AP1,6311,6875,8254,4336,7221,9524,7121,7910
ZFYVE27,282,558,660,338,400,590,516,673
COMTD1,30,32,35,26,30,42,48,41
FRA10AC1,36,37,43,18,32,48,38,51
ANKRD22,33,50,77,32,50,86,66,53
SFXN2,294,436,597,287,365,594,438,554
PDZD8,418,516,572,243,497,763,518,487
BORCS7,779,937,1124,582,1017,1344,929,1017
SFR1,96,144,133,67,127,193,143,118
CTAGE7P,71,98,90,34,66,99,114,91
ANAPC16,1808,2237,2594,1446,2348,3295,2217,2474
SFXN4,1793,2524,3194,1680,2202,3294,2660,2816
C11orf74,20,19,16,9,17,15,19,20
SLC36A4,755,722,801,440,808,999,642,775
FAT3,6,8,7,1,6,3,2,2
TMEM45B,2,11,10,3,5,8,5,8
CYP2R1,1,10,6,6,3,3,7,7
PIH1D2,110,56,85,67,108,139,72,106
JAML,78,121,141,61,102,135,100,102
DNAJC24,363,398,507,266,447,573,393,479
ARL14EP,517,458,641,356,621,639,543,525
DEPDC4,76,101,141,71,88,137,93,117
TMEM52B,58,49,64,47,94,70,29,67
C12orf45,9,18,13,4,9,23,15,20
SLC15A4,190,201,203,145,229,294,216,302
RHEBL1,34,56,84,27,51,61,54,67
ZNF641,346,477,568,248,424,564,509,453
GTSF1,27,39,44,20,32,47,33,33
NEDD1,221,208,248,146,255,345,197,199
SLC9A7P1,3,1,4,1,1,3,1,8
IKBIP,968,1008,1188,652,1230,1460,974,1085
H4-16,0,2,3,5,1,3,5,3
ERP27,32,32,40,24,25,35,49,49
FGD4,2,2,6,3,5,7,4,7
AEBP2,651,731,837,455,777,1113,809,722
BTBD11,24,37,45,16,30,33,33,35
ALKBH2,32,24,41,24,27,33,25,36
SPPL3,500,712,777,414,564,895,725,716
SLAIN1,7,6,5,2,3,5,9,7
ANKRD9,16,25,36,14,18,29,24,26
C14orf28,2,15,9,2,13,22,11,9
TRAPPC6B,658,743,871,533,861,1017,860,835
CLBA1,46,53,71,29,43,51,62,67
PLD4,163,260,318,150,170,363,250,332
ADSS1,40,54,62,27,40,62,57,62
MRPL52,341,483,568,315,427,567,595,669
LRR1,266,313,466,236,337,468,364,393
KLHDC1,13,19,20,11,27,25,13,13
SOCS4,908,965,1022,456,958,1358,998,1032
NAA30,321,322,367,173,376,528,414,303
NOXRED1,11,10,11,7,15,15,12,12
JDP2,177,207,280,175,194,311,214,256
ISCA2,332,428,537,249,317,562,441,461
ACOT4,1,0,4,2,3,6,2,1
TTC8,35,24,45,14,34,30,24,35
SLC24A4,12,17,21,4,10,22,12,17
SLC25A29,183,422,510,249,280,513,444,456
DEGS2,4,8,11,2,8,17,10,10
LEO1,26,29,30,20,30,47,42,44
C15orf40,353,411,488,294,385,623,420,481
SENP8,40,28,41,21,31,61,34,49
MTFMT,10,13,17,14,14,16,24,31
TARS3,60,80,91,53,85,98,103,88
LRRC28,223,249,262,142,220,299,229,255
TMEM266,8,24,16,11,17,29,16,25
NIPA1,227,352,357,156,264,468,312,328
WHAMM,104,161,214,71,101,191,155,171
FSD2,84,109,152,68,131,140,111,161
C16orf46,30,46,69,51,68,69,46,50
FOPNL,161,185,191,98,161,296,167,183
DNAAF1,11,21,18,10,16,20,14,22
DCUN1D3,103,206,209,79,122,274,206,172
CMTM3,1468,2410,2822,1367,1771,2835,2199,2508
SPATA2L,118,186,185,125,151,217,171,266
SPATA33,100,230,267,122,136,306,235,267
NOXO1,1,9,6,4,5,5,8,5
CCDC78,9,42,30,12,23,17,24,24
IQCK,48,47,38,47,52,77,48,46
PAQR4,1470,2801,3359,1596,1788,3376,2650,3068
ZC3H18,444,610,817,407,481,921,759,738
CDYL2,24,32,42,5,19,37,29,35
ANKS3,97,189,235,107,156,192,177,232
UBALD1,349,551,669,342,375,642,524,681
ZNF720,60,82,62,57,73,88,67,67
TMEM219,225,283,346,235,250,352,361,375
EARS2,1192,1895,2300,997,1458,2516,1789,1836
SNX20,396,675,810,341,447,879,752,643
TMEM170A,586,808,840,391,678,1120,815,805
METTL23,172,180,229,134,210,300,177,235
MSI2,1416,1829,2048,997,1679,2477,1933,1761
SLC38A10,436,821,883,479,580,921,767,962
CANT1,1059,1690,2018,923,1126,2282,1798,1830
CD300LB,59,92,97,76,97,90,77,145
CYB5D1,393,587,652,317,460,707,653,588
OVCA2,515,788,1003,518,626,984,801,882
USP43,15,31,34,12,26,31,24,37
KRBA2,4,12,8,5,11,4,11,6
C17orf64,6,8,10,5,10,19,8,9
HEXIM2,8,13,14,6,5,12,10,14
LSM12,369,487,454,208,335,755,528,465
CCDC43,1154,1252,1672,903,1330,1851,1480,1473
CNTD1,1296,1337,1669,980,1542,1857,1513,1561
RSKR,90,153,146,44,118,113,144,182
SEZ6,4,6,1,2,2,3,5,4
ANKRD13B,99,187,240,112,120,217,205,214
SLC43A2,4,2,2,4,3,7,3,3
CYB5D2,224,235,353,174,251,341,263,300
C17orf49,289,454,553,292,354,552,487,606
