task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
10	8c/5b1416	4174617336009215951	TRIMGALORE (mp917-MV411-SREBP1_R1_T1)	COMPLETED	0	2020-11-13 15:38:58.434	43m 3s	37m 47s	523.6%	4 GB	5 GB	196.7 GB	191 GB
15	ed/1c2c25	16192190021870912212	TRIMGALORE (mp920-MV411-STAT5B_R1_T1)	COMPLETED	0	2020-11-13 15:38:59.851	43m 41s	38m 31s	558.8%	4.1 GB	5 GB	194.5 GB	189 GB
13	1c/98f37f	1393338239609959304	TRIMGALORE (mp919-MV411_MEF2D_NT_SC_63-FLAF_MEF2D_R1_T1)	COMPLETED	0	2020-11-13 15:38:59.136	46m 12s	39m 13s	588.2%	4.1 GB	5.1 GB	217.2 GB	211.1 GB
17	49/336bd0	4437678684767517936	TRIMGALORE (mp916-MV411-E2F3_R1_T1)	FAILED	14	2020-11-13 16:00:01.611	25m 39s	25m 30s	-	-	-	-	-
11	1f/166d74	7659127729820201490	TRIMGALORE (mp918-MV411_GFI_SC-FLAG_GFI_R1_T1)	COMPLETED	0	2020-11-13 15:38:57.696	47m 43s	42m 17s	537.7%	4.1 GB	5 GB	230.7 GB	224.3 GB
22	bb/b6c52a	1286407426253299604	TRIMGALORE (mp916-MV411-E2F3_R1_T1)	COMPLETED	0	2020-11-13 16:25:41.552	42m 9s	36m 58s	542.9%	4 GB	4.9 GB	191.6 GB	186.1 GB
24	11/81360c	6057721573203185899	BWA_MEM (mp916-MV411-E2F3_R1_T1)	COMPLETED	0	2020-11-13 17:27:29.771	1h 20m 13s	1h 5m 31s	1190.7%	7 GB	8.8 GB	40.9 GB	37.6 GB
19	12/ed49d2	7277645172125575414	BWA_MEM (mp917-MV411-SREBP1_R1_T1)	COMPLETED	0	2020-11-13 17:27:30.344	1h 22m 42s	1h 8m 30s	1192.3%	7.4 GB	8.8 GB	42.9 GB	40 GB
25	9d/bb90ef	18413645869186573012	SORT_BAM (mp916-MV411-E2F3_R1_T1)	COMPLETED	0	2020-11-13 18:47:44.328	17m 18s	11m 38s	237.3%	5.2 GB	6.1 GB	27.8 GB	11.1 GB
26	d3/49acad	15498371564159805613	SORT_BAM (mp917-MV411-SREBP1_R1_T1)	COMPLETED	0	2020-11-13 18:50:13.549	18m 59s	12m 50s	241.3%	5.2 GB	6.1 GB	28.3 GB	11.7 GB
