ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I
,,,"nm²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#"
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,53910745.072854,307.39425279,229.01045112509,94,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,53976396.676327,307.37354089135,228.66984660071,95,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,54183150.233533,307.56517650463,228.33423755787,96,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,54416360.407065,308.0761515468,228.46771347283,97,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,54753437.296538,308.25976233938,227.66067146283,98,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55007224.838322,308.47003758662,227.27050786469,99,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55093453.810048,308.55885282348,226.72041796354,100,31.30295,31.30295,"Yellow",0,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55383496.714944,308.8101679022,226.43315758745,101,31.30295,31.30295,"Yellow",0,3
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55563793.655825,308.8155630015,225.87324750904,102,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55552035.159681,309.19781101723,225.32927345528,103,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55626505.635262,309.34558473815,224.7424738854,104,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55710774.857631,309.2366986193,224.26640576906,105,31.30295,31.30295,"Yellow",0,3
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55564773.530504,309.21191761013,223.78203364723,106,31.30295,31.30295,"Yellow",0,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55628465.38462,309.14221169259,223.28610558208,107,31.30295,31.30295,"Yellow",0,3
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55755849.092851,309.08955027152,223.2239943059,108,31.30295,31.30295,"Yellow",0,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55728412.601847,309.06740456807,223.17946125578,109,31.30295,31.30295,"Yellow",0,3
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55797003.829357,309.16336511951,223.03086419753,110,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55581431.400042,308.6711475063,222.57185797648,111,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55809742.20018,308.51190392584,223.05736006742,112,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55535377.290143,308.11823346743,222.51778530595,113,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55653942.126266,308.02629540293,222.1552282691,114,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55617686.763154,307.84755109232,222.36622621565,115,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55629445.259298,307.83261114634,222.12529063623,116,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55757808.842208,307.65951707291,222.16931444739,117,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55517739.545926,307.86406156236,222.52049136927,118,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55549095.535645,307.49384371141,222.16115717058,119,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55577511.901327,307.59837973166,222.4385214831,120,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55493242.678959,307.22874472481,221.89725954832,121,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55286489.121753,307.08301726277,222.18350997838,122,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55291388.495146,306.96176475801,222.21437432435,123,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55462866.563919,307.23273029222,222.22467403979,124,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55328623.732937,307.24784379704,222.41206942354,125,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55273750.750929,307.17331454201,222.40588381287,126,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55329603.607615,307.45381291397,222.70697410831,127,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55398194.835125,307.72744799774,223.01009975945,128,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55178702.907095,307.93466756642,223.40469171757,129,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55386436.33898,308.10453966457,223.8136720685,130,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55505001.175103,308.39352987907,223.55497396063,131,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55748989.9701,308.68022990122,223.94197982213,132,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55647083.003515,308.33023419616,224.38755062511,133,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,56096845.481039,308.39718597705,224.38336914182,134,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,56200712.196982,308.36878214628,224.8466131985,135,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,56236967.560094,308.06225606356,225.30467660998,136,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,56358472.020253,308.50803254747,225.21161068225,137,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,56457439.362802,308.75173125987,225.62643837756,138,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,56649494.799828,308.68978430457,226.0219933233,139,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,56763160.262557,308.4832208393,226.21238930415,140,31.30295,31.30295,"Yellow",0,0
