mr74.MV411_IRF2BP2.DMSO_2h.r1,mr75.MV411_IRF2BP2.DMSO_2h.r2,mr76.MV411_IRF2BP2.DMSO_2h.r3,mr77.MV411_IRF2BP2.DMSO_2h.r4,mr78.MV411_IRF2BP2.DMSO_6h.r1,mr79.MV411_IRF2BP2.DMSO_6h.r2,mr80.MV411_IRF2BP2.DMSO_6h.r3,mr81.MV411_IRF2BP2.DMSO_6h.r4,mr82.MV411_IRF2BP2.VHL_2h.r1,mr83.MV411_IRF2BP2.VHL_2h.r2,mr84.MV411_IRF2BP2.VHL_2h.r3,mr85.MV411_IRF2BP2.VHL_2h.r4,mr86.MV411_IRF2BP2.VHL_6h.r1,mr87.MV411_IRF2BP2.VHL_6h.r2,mr88.MV411_IRF2BP2.VHL_6h.r3,mr89.MV411_IRF2BP2.VHL_6h.r4,genes
0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,SYN1
140,88,42,28,56,96,90,118,194,188,132,178,80,40,58,88,JARID2
1,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,CDKL5
2,8,0,0,1,13,2,10,7,10,1,18,16,6,3,4,CDK11A
28,53,1,41,12,53,23,69,24,92,27,66,21,55,18,37,NADK
29,13,5,19,13,15,17,33,16,18,12,31,3,8,4,6,CYTH3
0,1,0,0,3,2,0,5,0,1,5,1,0,6,0,1,ADAM22
185,90,104,62,132,158,188,149,288,170,144,227,81,24,118,78,SYPL1
3,17,0,6,0,10,41,47,63,46,0,30,0,22,12,3,CYB561
121,82,37,66,51,113,73,116,113,131,98,84,58,41,37,21,SPAG9
0,7,8,5,3,17,1,8,0,1,1,2,0,1,0,1,CELSR3
66,76,28,272,62,70,170,80,184,184,166,144,80,46,96,44,SS18L2
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPND
35,14,18,54,4,18,33,16,59,22,24,45,14,9,21,12,MGST1
0,3,26,0,2,1,1,4,0,2,0,2,5,2,0,1,CRY1
124,182,0,63,149,145,139,121,85,179,79,138,159,105,93,364,NFIX
354,430,62,377,239,369,209,368,491,693,266,865,162,270,149,291,ST3GAL1
7,8,4,0,1,4,4,3,6,3,4,7,0,3,0,0,MMP25
