mr74.MV411_IRF2BP2.DMSO_2h.r1,mr75.MV411_IRF2BP2.DMSO_2h.r2,mr76.MV411_IRF2BP2.DMSO_2h.r3,mr77.MV411_IRF2BP2.DMSO_2h.r4,mr78.MV411_IRF2BP2.DMSO_6h.r1,mr79.MV411_IRF2BP2.DMSO_6h.r2,mr80.MV411_IRF2BP2.DMSO_6h.r3,mr81.MV411_IRF2BP2.DMSO_6h.r4,mr82.MV411_IRF2BP2.VHL_2h.r1,mr83.MV411_IRF2BP2.VHL_2h.r2,mr84.MV411_IRF2BP2.VHL_2h.r3,mr85.MV411_IRF2BP2.VHL_2h.r4,mr86.MV411_IRF2BP2.VHL_6h.r1,mr87.MV411_IRF2BP2.VHL_6h.r2,mr88.MV411_IRF2BP2.VHL_6h.r3,mr89.MV411_IRF2BP2.VHL_6h.r4,genes
18,62,10,55,29,44,45,53,82,103,24,73,13,43,26,64,ZNF584
0,4,0,1,3,6,1,2,2,5,0,0,0,1,2,1,NMUR1
32,14,0,30,18,46,44,38,54,20,18,38,8,32,34,16,CLSTN1
726,506,289,496,410,489,544,569,1116,898,669,1316,202,154,288,316,CXXC5
224,80,116,164,40,148,196,176,296,208,88,276,68,64,76,88,ZNF274
81,116,6,118,68,146,52,160,126,143,51,132,46,86,62,78,PIK3CD
16,16,6,6,17,17,13,16,31,25,11,10,23,7,17,14,SLC25A33
29,14,10,10,30,36,28,22,66,54,36,62,51,28,13,11,ENC1
0,0,0,0,8,1,2,0,3,2,3,0,0,0,0,0,SPSB1
59,84,90,30,64,76,0,60,146,150,34,289,10,19,49,53,P2RY6
86,53,20,51,35,44,14,41,97,101,78,66,60,16,50,10,BPTF
0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ZIK1
2,0,0,0,0,2,0,2,3,0,2,0,0,0,1,3,GPR82
375,260,127,172,199,313,181,347,287,308,239,280,174,91,187,197,ATF7IP
55,42,14,49,13,32,27,44,66,82,46,95,19,27,22,26,RGS19
0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,ANO5
25,17,1,26,6,29,16,25,50,48,10,21,8,24,6,14,HDAC3
25,7,33,8,20,20,34,17,8,23,8,17,21,14,4,10,GPHN
6,9,1,17,3,15,8,11,15,3,4,29,9,3,2,5,VAT1L
0,0,0,0,0,5,0,0,0,10,15,0,5,0,0,0,TMEM51
28,19,26,44,26,29,17,26,43,48,69,37,44,12,16,13,CAMTA1
0,0,0,1,2,1,0,0,0,0,5,0,0,0,0,1,LRRC34
24,14,41,27,18,32,33,28,31,36,28,32,19,8,19,15,SPATA5L1
0,0,0,0,0,1,4,2,0,2,0,5,2,2,2,1,GATM
0,0,0,0,0,10,20,5,0,0,0,0,0,19,0,0,RASGRP4
0,1,0,0,1,0,0,0,11,0,1,2,0,0,0,0,NHLH1
513,347,228,401,230,462,220,444,690,743,482,866,262,191,177,265,BCL2
163,95,85,77,71,66,133,123,157,84,70,121,26,26,39,54,RHNO1
28,22,2,67,12,29,9,35,43,38,26,17,12,25,11,18,CTPS1
0,4,0,2,0,0,0,6,0,6,0,0,0,0,0,0,COL8A2
0,3,0,0,0,18,0,6,4,10,19,10,4,10,2,2,PWWP2B
0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,ZNF540
0,2,0,3,1,5,0,0,0,0,6,1,4,0,1,4,EXOSC10
26,14,3,8,3,6,6,12,13,22,18,28,1,9,16,12,ZNF570
6,2,0,9,0,9,19,6,6,8,3,0,0,1,2,0,NINJ2
0,0,1,0,0,2,1,7,0,0,0,2,0,2,2,1,MLLT3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,FAM90A1
722,432,170,466,242,564,418,550,742,846,548,784,298,178,178,294,RRM2
6,1,1,5,16,6,0,6,16,4,4,2,0,3,2,0,TRAPPC12
80,53,81,232,98,69,92,98,129,108,88,108,66,66,49,100,RPS21
9,11,0,16,10,17,36,11,40,50,28,39,33,27,33,39,C3AR1
45,32,16,61,23,31,24,31,24,40,16,41,15,17,20,20,MRM3
144,111,60,64,107,144,155,178,177,127,146,200,117,55,96,76,PTEN
7,1,0,17,12,6,4,10,3,9,2,7,6,6,4,5,RPS7
31,55,47,66,36,51,29,70,65,49,34,66,21,29,41,20,RNASEH1
38,29,19,24,16,43,32,33,32,27,30,53,33,15,23,12,PRNP
8,7,0,2,4,15,8,13,0,3,0,25,3,4,19,7,TLN2
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,LGALS9C
106,87,0,63,75,72,82,121,156,118,115,140,67,47,51,44,TVP23B
889,552,297,292,644,1169,944,1053,1223,946,898,1000,941,346,714,996,ZNF217
13,13,13,0,7,6,3,15,23,6,6,10,2,3,5,1,SRGAP2C
7,6,2,0,1,19,6,15,5,2,8,10,2,11,3,0,ATPAF2
2,7,4,3,4,5,4,7,13,11,5,8,3,1,1,4,PPIH
2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,DRC3
6,11,15,12,13,45,65,20,38,21,9,15,21,0,27,9,ZNF57
2,2,0,6,0,2,4,1,22,4,9,7,1,6,3,2,SHLD1
94,34,0,14,40,43,50,60,112,63,83,99,5,12,74,21,JMJD1C
0,2,0,0,0,2,0,11,0,0,0,8,3,1,1,1,SYNPO
14,10,5,4,11,12,14,27,38,40,13,28,12,3,11,5,ZNF556
6,9,13,24,19,20,14,20,16,16,16,41,4,22,6,4,ZNF554
30,7,2,8,13,18,14,17,17,15,24,33,9,4,7,11,RAB33B
4,1,0,12,15,21,0,10,1,20,0,13,8,8,0,12,THOP1
6,27,0,18,0,30,3,15,12,34,36,9,15,23,0,6,USP19
122,119,12,77,68,178,199,161,149,201,59,128,78,98,93,87,QARS1
12,30,9,25,1,21,27,35,39,64,28,53,23,10,11,17,ORMDL3
3,0,0,0,0,2,0,3,0,7,0,0,9,0,0,1,SERF1A
164,91,11,82,97,170,181,178,222,161,120,191,96,58,61,69,KLF11
45,19,0,1,12,22,3,12,42,24,23,28,0,8,21,20,SMN1
26,36,0,22,10,42,30,58,36,46,14,50,14,10,26,20,EIF2AK3
214,323,48,304,127,374,229,346,312,509,186,453,182,230,157,207,MOB3A
9,7,1,7,4,3,7,8,16,6,10,11,1,3,3,4,KRCC1
14,33,0,40,42,58,29,29,50,92,43,32,17,47,8,78,NME6
129,47,33,92,47,79,122,83,133,109,67,132,52,25,79,51,CYCS
0,0,0,0,0,0,3,15,0,0,3,6,0,0,0,0,SLFN12
12,0,0,0,0,0,0,0,0,2,10,6,6,0,0,2,FRMD3
113,78,67,108,36,100,99,123,231,172,116,250,57,20,39,74,SNTB1
1,2,0,6,0,1,6,1,2,0,6,1,2,1,2,0,MTBP
40,28,28,37,12,19,5,40,112,45,26,28,35,17,15,11,TEFM
101,67,59,236,33,72,56,75,194,82,86,94,58,29,47,34,MRPL13
49,18,2,37,10,18,24,32,99,65,38,61,14,17,14,19,MALT1
2,2,0,0,0,6,0,0,2,4,0,0,0,0,2,0,PRL
92,53,54,74,16,25,20,27,108,120,78,120,29,12,22,16,CEBPB
51,101,15,128,34,208,76,221,90,216,31,120,55,140,44,97,AZU1
19,10,5,49,4,21,9,13,23,13,32,37,19,3,3,7,PAIP1
2,1,60,0,12,8,2,1,4,28,48,11,21,4,2,13,CLEC7A
4,0,5,3,2,1,3,2,3,3,8,1,0,0,0,0,C5orf34
0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,NEGR1
509,247,159,221,242,374,317,320,651,469,462,589,316,138,241,318,ZNF131
6,20,0,33,15,12,5,28,31,55,37,42,11,31,11,1,DPAGT1
85,148,18,205,75,340,154,190,282,301,93,290,172,124,115,195,BSG
2,4,9,7,0,5,1,4,3,10,4,4,1,2,3,3,HINFP
450,302,132,274,212,330,274,424,486,476,390,604,328,126,148,170,CERS6
3,2,0,1,1,0,0,0,1,2,0,0,0,0,0,2,SPTLC3
46,31,12,101,21,43,46,42,73,99,10,80,20,32,19,10,COPRS
270,152,54,202,135,252,187,237,296,283,271,384,129,88,130,109,TP53RK
12,5,0,9,4,15,13,26,9,10,4,8,6,12,3,10,CLEC12A
42,10,30,14,14,28,22,32,18,20,38,66,16,12,16,26,BPGM
25,24,11,42,15,25,15,21,26,35,13,45,15,16,16,18,POP7
0,2,0,3,1,4,6,4,1,2,5,6,5,2,3,0,ALG14
41,23,30,47,30,42,59,39,50,32,45,41,26,9,18,20,SUCLG2
2,0,0,2,2,7,0,6,2,3,2,4,1,1,1,2,STARD5
24,47,15,60,16,60,49,69,56,73,37,88,72,43,19,28,IL16
10,40,0,25,30,45,0,30,5,75,30,25,0,50,5,10,GNB2
2,16,2,12,8,22,15,18,24,32,4,23,22,15,2,7,MCRIP2
18,6,0,5,4,22,0,31,6,26,16,18,10,26,5,6,C2CD2L
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ARNT2
2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,PRSS27
0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,SYNPO2
120,66,72,24,33,84,84,114,204,102,117,240,39,57,99,72,CLP1
0,2,0,2,0,6,2,4,0,0,14,0,2,0,0,0,RSPH9
6,3,8,57,3,5,7,7,7,7,6,10,5,5,2,9,COPS9
28,61,4,69,63,68,51,133,176,114,88,137,36,64,29,24,GTPBP2
1,0,0,6,1,4,1,3,0,0,0,0,1,1,0,0,FGGY
0,4,0,18,7,9,12,9,1,7,3,12,27,4,3,18,IL17D
1309,901,461,821,756,1082,1064,1254,1617,1388,1299,1733,790,423,737,752,ZNF24
20,13,30,9,15,17,20,13,33,18,19,32,1,2,5,10,MANEA
219,180,22,163,110,231,158,306,331,303,211,275,150,155,78,136,AFF1
14,15,0,23,9,13,16,22,36,25,7,19,16,5,3,27,FIBP
3,21,24,13,0,5,0,4,0,8,14,51,0,11,0,12,BANP
21,53,8,29,36,61,56,28,28,52,34,55,6,57,34,32,PPP1CA
78,111,9,75,54,201,69,195,138,231,69,174,30,168,57,69,HCFC1
0,0,0,0,0,0,4,0,0,2,4,0,0,0,0,4,CTSW
0,0,0,3,0,0,5,1,1,0,2,0,1,0,0,0,PDE3A
0,0,0,2,0,2,0,0,0,0,2,0,0,0,8,0,RASGRP1
55,36,38,20,42,46,70,70,78,102,36,71,56,30,14,55,KLHL6
21,14,8,45,16,35,22,21,68,27,25,27,25,11,18,16,CHCHD1
16,13,0,112,6,24,66,27,89,13,38,32,25,16,11,51,MRPL52
2,1,0,0,1,9,12,9,7,1,0,9,0,8,0,1,RND1
8,5,0,10,0,11,12,10,19,16,8,5,1,7,3,1,RAD9A
0,0,0,0,0,0,0,6,0,0,0,0,15,0,0,0,AGAP5
0,0,0,0,0,6,12,8,0,2,10,12,8,0,6,12,WASHC2C
3,1,0,0,0,0,0,2,3,0,0,4,2,0,0,0,TMEM134
29,27,7,1,24,32,16,28,33,35,38,58,13,10,17,31,ZMAT3
16,2,0,0,19,1,0,2,14,2,9,6,4,1,1,8,ZFAND4
9,7,0,4,2,26,4,12,16,20,5,6,7,3,11,10,ZNF738
124,113,56,99,46,124,77,122,222,190,110,178,60,28,55,43,SLFN11
2,2,0,5,4,5,0,3,1,8,1,15,1,3,3,12,FAM71D
0,12,0,7,0,5,5,35,0,8,4,44,6,9,9,6,CORO1B
6,11,17,28,38,45,18,54,20,42,29,46,30,12,17,13,FUT10
0,0,0,12,0,3,9,6,0,3,0,0,0,0,0,0,LRRC20
25,43,0,42,30,55,20,50,36,52,24,43,5,29,19,21,MUS81
17,4,0,2,1,3,8,2,8,4,2,6,9,0,2,6,ZNF596
332,438,59,466,176,836,392,469,390,693,327,897,305,372,362,401,CFL1
62,96,20,74,58,140,82,92,106,114,44,100,78,42,62,70,TMCC1
7,8,22,17,10,7,2,10,9,12,2,4,3,4,3,12,NAA16
78,67,18,59,10,109,62,83,97,80,69,130,52,28,51,36,PSME3IP1
3,4,0,3,0,0,0,5,0,1,0,1,0,0,4,3,RAB43
5,1,0,0,12,20,36,13,20,3,9,7,9,2,9,15,CBWD1
61,69,0,26,30,80,35,170,105,167,34,169,6,66,60,60,RAB37
338,240,116,225,125,270,163,247,356,331,250,322,120,89,104,107,DCP2
192,82,468,447,64,68,103,110,57,139,105,139,61,53,66,207,RPL38
2,26,0,12,12,13,0,28,22,30,8,8,2,26,14,4,RARG
0,0,0,0,0,4,0,1,2,2,0,0,9,2,4,0,CES3
12,28,0,8,1,12,36,38,53,68,26,44,1,13,16,20,SSH3
38,41,16,83,37,50,6,95,111,87,64,105,24,43,26,40,CES2
88,74,31,90,34,96,72,72,96,143,116,138,55,32,25,54,PDP2
457,225,89,143,221,209,222,247,623,331,332,603,185,27,161,153,SP3
14,1,1,5,3,2,6,7,5,10,4,3,2,1,8,5,DMXL1
3,2,0,0,1,2,0,5,3,0,1,6,6,6,1,4,METAP1D
36,37,17,38,5,22,11,52,42,46,15,62,17,16,12,14,ZNF621
12,4,0,0,4,2,0,2,0,2,2,28,0,2,0,4,EGFL7
6,9,0,15,1,10,4,8,5,9,22,5,4,3,3,1,NADSYN1
3,1,2,4,5,4,5,15,7,17,7,11,15,2,2,1,DHCR7
0,8,0,0,0,0,0,0,12,0,0,0,0,0,0,0,LVRN
61,60,20,70,58,100,60,98,63,96,20,138,35,64,73,98,RNASEH2C
4,16,0,27,8,36,18,20,99,42,19,48,12,16,14,37,ANKRD13D
33,27,43,50,12,53,20,72,58,91,26,88,66,40,14,45,MYD88
64,50,20,37,35,49,57,44,67,78,66,51,55,37,31,35,OXSR1
3,18,4,6,9,15,15,17,3,24,7,22,3,15,6,14,PHF8
85,63,34,68,32,78,58,120,137,122,59,155,62,44,44,40,LCLAT1
0,19,0,38,18,34,15,36,0,36,31,25,32,45,20,39,KAT5
0,1,0,0,2,3,0,4,0,0,0,6,0,1,2,0,GXYLT2
21,23,0,24,3,27,21,48,0,30,15,3,9,23,9,0,DCAKD
0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,ARPP21
56,90,11,99,17,57,30,97,123,142,45,104,59,25,4,20,TADA2B
0,0,0,0,0,2,0,0,1,3,1,0,0,0,1,0,CCDC96
27,49,0,45,16,64,52,65,52,98,18,70,11,26,16,19,GRK2
155,280,129,293,37,334,127,298,311,461,200,328,175,203,72,129,RELA
79,45,45,8,44,43,62,47,111,46,64,91,46,14,44,23,ZNF680
9,13,20,4,4,15,0,24,7,18,16,0,16,14,4,2,HECTD4
156,228,92,225,113,180,172,261,288,277,179,475,108,101,59,141,FAM222B
1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,BNC2
1,2,0,5,1,3,0,12,1,4,1,1,0,1,0,1,HPSE
77,38,44,38,58,65,63,54,83,57,42,49,37,33,33,35,COQ2
125,93,75,156,38,72,27,122,157,120,53,126,60,47,113,184,TRMT112
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LRRN3
279,365,37,322,158,490,288,463,379,660,299,615,167,298,198,277,KDM2A
0,3,0,1,0,1,12,5,1,1,2,0,0,0,0,2,ADCK5
99,75,43,113,62,113,117,132,161,159,125,208,67,45,60,73,MRPL57
21,5,6,17,3,13,9,13,2,13,15,24,13,5,8,2,NOC3L
2,12,34,0,12,26,2,22,7,14,6,10,4,12,0,6,ESRRA
3,2,0,16,0,9,2,10,8,7,4,2,10,3,4,3,COMMD1
0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,RAPH1
0,1,0,8,0,0,0,5,0,0,0,0,0,1,0,0,MTX1
0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,ADCY5
19,17,14,41,32,80,54,79,78,61,34,66,113,65,56,73,PARP14
8,14,0,16,12,12,20,14,22,14,14,24,24,8,16,12,CYSLTR1
0,0,0,0,0,0,0,1,2,1,0,1,0,0,2,0,PARP15
0,0,0,17,2,7,2,1,2,4,4,3,2,5,1,7,CKS1B
9,5,9,3,0,13,13,15,0,2,5,9,8,3,7,2,ABCD2
64,37,6,71,18,42,57,46,55,103,41,73,34,27,16,29,AHSA2P
0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,MAB21L3
9,10,16,23,12,14,9,18,25,17,22,26,4,9,8,5,MFSD4B
34,32,0,31,31,35,26,52,35,42,49,75,24,23,15,11,VANGL1
30,24,2,62,40,31,20,25,71,52,16,72,48,4,39,18,GLRX
101,48,42,94,35,60,93,87,101,98,75,64,39,30,35,23,IQCB1
0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,SYT12
175,114,90,151,68,103,70,199,207,242,133,271,109,73,84,102,GOLGB1
0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,DMRT2
8,4,0,0,0,8,0,4,25,5,0,9,0,13,4,8,SLC2A14
0,4,0,0,0,1,12,0,1,1,0,1,0,0,12,0,GPR137
3,1,0,1,0,0,6,1,2,2,2,0,2,1,2,0,MZT2A
139,95,35,148,64,84,78,145,170,174,121,153,74,44,39,45,TNKS
4,2,0,2,2,7,7,8,9,10,7,4,9,0,4,2,ZNF449
135,47,48,10,34,104,57,86,175,113,159,183,64,32,30,67,ZBTB21
29,23,11,21,49,23,29,24,29,26,9,40,12,5,3,17,PPP1R3B
45,27,6,27,16,25,11,41,52,57,37,89,32,10,16,36,STOX2
31,27,39,57,4,41,39,41,40,76,47,103,20,16,10,53,MAP3K11
156,107,58,158,148,299,131,345,329,371,255,345,370,302,285,333,TRIB1
52,44,22,60,43,80,47,80,103,106,59,80,43,31,39,65,SFT2D3
0,3,0,4,0,3,0,1,3,4,0,0,0,2,0,1,ENSG00000173366
2,2,0,1,0,0,0,1,9,10,1,2,0,4,0,0,OLR1
42,77,0,42,16,62,44,96,116,106,30,63,18,48,36,30,DAG1
10,15,1,17,14,30,14,15,27,15,11,44,32,6,17,26,ARV1
68,44,0,46,20,48,56,71,82,43,86,58,30,21,31,26,NAA20
18,10,14,46,8,18,12,24,12,26,10,46,4,14,8,10,MICOS10
0,0,0,0,1,1,2,2,0,3,3,0,0,0,0,2,EHBP1L1
9,2,0,4,1,4,9,1,6,5,10,6,5,1,5,2,THAP2
21,34,0,45,4,45,24,39,38,53,22,49,9,22,14,10,RNF26
9,16,0,12,0,33,9,3,18,27,2,20,9,6,5,12,PPP1R14B
6,24,0,42,12,16,10,21,14,30,22,42,6,10,14,7,ZNRD2
163,152,36,111,75,147,117,141,133,198,108,151,72,81,72,44,SMARCC1
30,31,4,20,7,33,10,25,54,34,31,48,27,21,22,24,ZNF417
6,3,9,36,0,3,3,3,12,3,3,3,0,3,0,18,FKBP2
2,2,0,0,0,6,0,0,0,0,0,0,0,6,0,2,VEGFB
34,13,0,14,10,38,9,39,70,38,32,37,32,20,19,6,PEAK1
31,15,0,21,6,16,11,35,27,26,18,24,8,8,6,5,TNFRSF10D
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,TNFRSF10C
23,24,10,29,4,19,14,42,80,49,14,37,10,12,14,31,GMPPB
32,24,19,28,38,21,44,30,31,33,22,34,19,7,10,11,MOB1B
9,6,30,18,8,13,13,17,21,8,9,14,12,6,9,14,ZNF622
3,10,3,7,2,24,1,10,2,9,2,2,9,15,5,1,CSPG4
6,2,0,1,2,12,8,6,0,14,6,16,24,8,2,0,SNX33
160,114,170,135,152,191,186,315,239,221,179,259,221,116,193,167,NABP1
354,366,90,253,160,413,179,466,455,623,318,545,249,258,198,364,CHD2
2,4,0,0,0,2,0,4,1,0,1,3,1,7,0,2,CCDC106
7,0,0,25,15,4,4,8,15,13,14,24,0,5,5,1,CEP83
1,3,0,0,0,4,2,5,3,2,1,7,3,1,0,3,SULT1B1
139,83,123,52,54,118,116,133,180,107,157,125,109,31,47,56,NUDT4
16,14,12,14,9,22,21,31,22,27,16,7,17,4,26,14,SCAI
0,5,0,4,6,9,10,11,6,0,8,6,4,3,7,9,NMNAT1
5,9,0,5,6,3,4,8,0,3,2,5,3,9,2,0,LRFN4
6,8,10,9,0,4,5,10,9,11,0,10,4,9,1,6,SLC19A1
43,36,0,17,11,38,10,27,9,32,30,77,4,25,10,28,RCE1
15,15,4,104,0,31,45,39,47,49,21,49,12,21,35,39,UQCRH
51,30,46,20,44,45,45,52,62,48,67,44,18,5,32,20,EIF1AX
4,17,0,2,9,6,2,10,21,11,7,2,2,5,0,0,BCLAF3
50,59,15,64,31,77,43,58,110,80,54,86,46,51,41,63,PSMD1
106,80,26,97,24,105,31,110,112,158,102,216,49,56,20,43,HEG1
324,268,143,278,152,351,211,322,467,477,364,386,256,166,200,200,TOMM20
64,52,72,29,31,76,54,70,71,63,92,49,36,14,41,17,AGFG1
9,15,0,1,10,14,11,18,22,22,14,18,7,9,6,5,STAT5B
86,121,8,109,32,77,16,96,86,144,107,184,19,50,53,47,CNP
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,JUP
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,TDRD12
238,254,38,415,201,392,238,337,422,484,241,470,241,253,219,200,EIF1
16,2,0,0,0,4,0,8,4,14,0,24,2,1,8,0,ENDOV
26,22,0,24,3,19,25,48,42,57,21,31,31,40,32,39,RNF213
3,0,0,2,0,1,0,0,3,1,0,0,0,0,0,1,TIGD3
0,2,0,7,0,4,2,6,3,7,2,11,1,3,1,10,PLK3
28,7,18,16,5,13,23,14,32,14,35,24,4,0,8,9,NET1
1,0,0,2,3,6,6,7,0,1,6,0,4,1,3,0,DPY19L1
0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,PHOSPHO1
762,524,483,506,364,547,418,673,998,986,713,1070,327,200,257,458,ZNF791
257,126,34,150,106,225,127,226,223,271,180,249,136,74,97,106,PHC3
9,3,0,0,1,0,3,1,2,2,11,3,1,0,0,0,GPR160
11,30,0,18,12,25,6,34,10,53,14,44,9,16,7,12,CBX2
22,11,12,12,17,41,8,23,72,33,24,22,22,13,19,15,GOLIM4
30,24,16,31,28,24,20,30,27,38,36,62,24,21,6,10,RBM4B
10,6,0,28,14,2,10,8,14,8,0,8,4,4,2,8,ATP5MD
3,4,0,1,0,3,2,3,6,6,2,9,0,1,2,1,MARCHF3
5,6,8,5,4,4,0,4,3,1,0,1,7,2,3,4,SWSAP1
2,6,1,9,3,4,0,1,21,2,2,5,1,0,1,5,SLCO4C1
169,189,52,125,76,143,121,128,219,255,116,266,64,72,93,152,RBM4
112,58,14,76,36,74,74,64,115,143,82,120,61,53,60,44,XXYLT1
24,31,2,12,21,13,18,11,21,30,26,59,21,2,4,16,UBXN2A
0,3,0,0,0,1,3,10,7,0,0,0,0,2,0,1,CCS
72,52,40,90,49,91,77,84,107,126,94,173,65,38,35,126,NRROS
34,22,16,45,5,7,7,14,34,41,33,73,17,3,6,6,CEP19
126,69,20,46,67,94,116,81,148,79,93,130,79,20,63,56,KLHL15
802,418,202,369,292,522,496,454,926,642,659,935,256,190,300,274,FBXO45
60,29,12,125,16,32,33,55,108,49,66,88,18,19,26,26,GNG5
115,101,56,87,124,128,156,161,186,116,85,107,89,44,61,35,SLC25A30
0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,CD34
0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,MSRB3
63,41,10,34,41,58,44,42,78,52,56,50,23,8,32,21,LEMD3
16,42,56,32,16,30,8,52,18,64,58,72,52,28,20,32,C16orf91
2,2,0,6,4,4,12,0,0,0,0,4,0,0,0,0,TLR1
0,0,0,0,0,1,0,3,0,1,0,6,0,0,0,0,TLR6
2,4,6,1,7,8,11,3,27,5,7,11,8,0,1,4,FAM174A
0,2,0,0,0,0,0,2,3,0,0,0,9,8,0,0,FAM53A
68,138,14,136,123,181,20,213,154,194,152,196,54,106,38,87,CYB561D1
7,7,0,13,0,9,2,20,9,6,10,13,6,16,4,5,ZDHHC24
18,19,0,10,4,19,37,36,38,31,29,51,26,2,17,9,TRMT10C
5,4,0,13,1,19,19,5,12,26,5,21,9,17,14,9,CTU2
311,201,64,298,185,363,329,313,431,352,253,444,229,157,198,257,MGA
27,6,2,11,13,18,9,18,6,23,12,10,12,0,12,5,C12orf66
10,24,3,15,9,21,35,32,34,37,10,23,27,13,11,8,PIGG
11,15,69,26,14,8,12,15,8,8,4,16,4,22,8,11,PRPF8
68,52,12,44,24,52,32,39,38,59,52,56,38,42,11,28,PITPNA
54,71,23,57,21,88,26,102,70,110,39,115,28,45,24,26,DDX23
6,0,2,2,0,1,6,1,0,2,0,0,0,0,2,3,ZNHIT2
37,35,27,30,14,31,37,33,66,77,33,116,31,13,19,19,ZBTB4
102,44,0,86,50,140,38,146,62,90,102,54,14,38,30,36,ZHX3
2,2,0,0,0,1,0,8,0,10,3,5,0,1,5,0,PHLDA3
0,0,0,0,0,1,0,1,0,4,0,1,0,0,0,0,SLC16A13
26,19,6,38,3,39,14,39,44,49,31,29,2,7,0,8,EXO1
13,4,8,8,0,16,0,16,0,12,20,4,0,0,0,17,RALGAPA1
16,6,0,22,12,8,14,10,28,0,16,30,8,0,2,6,LIG4
1,1,6,1,0,0,5,0,5,0,0,0,0,1,0,0,GTF2IRD2B
412,321,150,281,178,423,231,457,514,611,366,559,221,188,143,223,ATP2A2
39,37,6,18,22,55,51,61,70,37,98,60,28,36,12,48,ZWILCH
53,22,4,33,19,33,46,45,76,74,47,69,31,26,26,34,RPL4
120,102,28,366,85,145,112,184,203,167,140,306,85,71,109,96,SNAPC5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,VWC2L
14,38,39,39,17,53,33,51,78,57,25,43,47,19,7,50,C12orf76
10,1,8,9,10,12,4,20,0,14,15,15,5,7,2,2,BBS1
35,13,1,13,7,21,22,27,32,23,20,21,16,2,15,7,DENND4A
0,0,0,6,0,0,0,1,8,2,0,0,4,0,0,0,ANKRD36C
0,0,0,0,0,2,6,0,0,0,0,9,0,6,0,0,SLC26A9
25,37,0,25,5,42,27,59,16,46,5,45,32,50,7,21,PELI3
0,0,0,3,0,0,0,1,0,0,4,2,1,1,0,0,TMEM81
39,33,6,67,8,57,42,53,42,78,25,71,17,34,36,41,MRPL11
23,6,0,138,30,4,15,7,18,11,16,21,3,15,6,9,IL20RB
501,304,46,394,165,318,330,387,631,462,414,705,220,130,137,302,AKIRIN1
0,0,0,0,0,0,0,4,1,1,0,5,2,2,1,0,NPAS4
664,360,59,294,277,412,341,423,672,601,457,661,288,140,242,338,MSL2
0,0,0,0,0,3,0,3,1,1,0,2,5,0,0,6,ZNF497
0,0,0,0,0,2,0,0,4,0,0,0,2,0,2,0,CMKLR1
35,21,0,15,7,42,32,41,28,27,28,32,9,12,15,4,ANGEL2
4,3,2,8,0,2,6,4,3,0,6,17,1,0,3,6,UGT8
0,0,0,0,6,12,0,9,0,2,7,8,0,0,0,0,IQCK
244,254,136,252,188,300,352,390,452,368,344,444,308,188,208,128,ZNF266
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SLC29A2
0,0,0,0,2,0,32,0,0,0,1,0,0,7,0,0,BRSK2
1,2,0,2,0,0,1,2,1,2,0,4,0,0,1,2,B4GAT1
219,153,39,114,116,198,166,192,272,243,159,245,116,99,140,132,TMEM167A
0,0,0,0,0,2,0,1,9,0,0,4,4,3,4,3,SH3PXD2B
150,56,35,120,49,64,108,92,153,131,114,160,90,24,50,56,RESF1
130,93,77,122,108,105,154,115,202,132,165,186,139,52,71,143,LARP7
6,0,0,6,4,1,9,3,8,6,5,19,4,2,2,2,FGFBP3
46,19,51,24,31,46,59,38,60,42,31,55,21,17,24,18,NR1D2
34,28,8,57,44,65,54,66,4,39,28,43,17,42,21,14,BRMS1
671,603,505,562,534,780,841,927,1036,921,682,1204,605,440,500,576,RPL15
4,1,0,12,5,6,3,1,14,0,10,9,10,2,3,2,FAM241A
11,16,0,46,12,59,0,32,27,24,19,32,0,28,36,47,HRAS
5,3,0,0,6,3,0,3,10,5,3,3,0,2,6,0,WDR49
