,MOLM-13_DMSO,MOLM-13_JQ1+6nM_NVP-2,MOLM-13_6nM_NVP-2,MOLM-13_60nM_NVP-2,MOLM-13_JQ1
RRM2,1596.0,2711.0,1611.0,2289.5,2533.5
RSC1A1,14.0,6.0,8.0,7.0,11.5
CLIP1,25.0,56.0,27.0,51.0,46.5
RSU1,204.0,282.0,162.0,416.0,303.0
RXRA,1208.0,1132.0,839.0,1057.5,1232.5
RXRB,341.0,445.0,308.0,411.0,398.0
RYK,229.0,355.0,156.0,442.0,321.0
SORT1,150.0,276.0,187.0,261.5,280.5
S100A4,4114.0,4699.0,3526.0,3937.5,4373.0
S100A6,1614.0,1948.0,1349.0,2121.0,1974.5
S100A9,26.0,38.0,42.0,34.0,36.5
S100A10,179.0,288.0,170.0,309.0,307.0
S100A11,390.0,387.0,377.0,446.5,403.0
S100A13,142.0,177.0,196.0,168.5,174.5
VPS52,195.0,255.0,199.0,251.0,260.0
SAFB,328.0,547.0,225.0,531.5,457.0
ACSM3,8.0,16.0,9.0,24.0,14.5
MAPK12,463.0,683.0,610.0,612.0,592.5
SARS1,246.0,304.0,220.0,246.0,276.5
TSPAN31,34.0,49.0,30.0,63.5,56.0
SAT1,327.0,585.0,331.0,507.5,698.0
SATB1,1737.0,1897.0,1389.0,1974.0,1956.5
SBF1,452.0,639.0,553.0,519.5,559.0
MSMO1,88.0,86.0,56.0,121.5,88.0
SC5D,91.0,135.0,112.0,127.0,127.5
ATXN1,228.0,278.0,159.0,266.5,284.0
ATXN2,452.0,859.0,566.0,747.5,684.0
ATXN7,250.0,292.0,159.0,322.5,312.5
SCD,5336.0,8874.0,4915.0,9562.0,8905.5
CLEC11A,23160.0,32409.0,28092.0,26756.0,28282.5
SCNN1D,2.0,6.0,7.0,9.0,7.0
SCO1,387.0,430.0,335.0,533.0,426.5
SCP2,168.0,326.0,121.0,377.5,283.5
CCL2,51.0,6.0,20.0,17.0,12.0
CCL3,60.0,9.0,32.0,2.0,13.0
CCL3L1,114.0,9.0,63.0,14.5,14.5
CCL5,968.0,1175.0,1007.0,1138.0,1151.5
CCL20,0.0,0.0,2.0,3.0,0.5
CCL23,162.0,233.0,211.0,195.0,224.0
SDC2,618.0,858.0,531.0,1079.5,909.5
SDC4,369.0,505.0,361.0,438.5,540.0
SDCBP,1538.0,2953.0,1469.0,2934.5,2446.0
SDF2,275.0,509.0,275.0,621.0,504.0
SDHA,537.0,974.0,533.0,844.5,871.5
SDHB,155.0,255.0,94.0,414.5,253.0
SDHC,500.0,897.0,293.0,1361.0,893.0
SDHD,57.0,53.0,16.0,91.5,54.5
SEC13,1137.0,1063.0,806.0,1231.0,1167.5
SEC14L1,24.0,61.0,19.0,61.0,35.5
TRAPPC2,38.0,100.0,76.0,113.0,91.0
SEL1L,729.0,1069.0,636.0,916.0,990.0
SELPLG,1073.0,1598.0,1604.0,1492.0,1414.5
SEMA3F,9.0,20.0,5.0,7.0,16.5
SELENOW,1547.0,1672.0,1459.0,1692.5,1660.0
MAP2K4,136.0,130.0,91.0,150.5,134.0
SET,10861.0,12573.0,9071.0,12271.0,12052.5
SETMAR,30.0,14.0,25.0,13.5,12.0
SFPQ,3794.0,5757.0,2862.0,6185.0,5560.5
SRSF1,6353.0,9098.0,3113.0,13065.5,9425.0
SRSF2,2667.0,3981.0,3259.0,3484.0,3801.5
SRSF3,4019.0,4888.0,3611.0,5108.5,4925.0
SRSF4,346.0,541.0,264.0,607.0,530.0
SRSF5,2438.0,3065.0,2328.0,2903.5,3195.0
SRSF6,2046.0,2789.0,2512.0,2009.5,2539.5
SRSF7,1978.0,2210.0,1305.0,2540.0,2305.0
SFSWAP,156.0,215.0,177.0,236.5,210.0
TRA2B,1229.0,1996.0,937.0,2191.0,2029.0
SGCD,10.0,19.0,5.0,2.0,7.0
SCG5,3.0,9.0,7.0,15.5,8.5
SGSH,15.0,17.0,12.0,16.5,15.0
SGTA,2760.0,3541.0,3253.0,3140.0,3458.0
SH3BGRL,443.0,637.0,348.0,587.5,601.5
SH3BP2,280.0,426.0,343.0,319.5,320.0
ITSN1,18.0,64.0,8.0,50.5,58.5
SH3GL1,1192.0,1028.0,838.0,991.5,1116.0
SHB,46.0,35.0,34.0,36.5,56.0
SHC1,385.0,463.0,322.0,406.0,462.0
FBXW4,122.0,212.0,140.0,193.0,183.0
SHMT1,101.0,148.0,76.0,189.0,145.5
SHMT2,1121.0,1624.0,1316.0,1277.0,1364.5
SHOX2,461.0,377.0,380.0,329.0,370.0
SIAH1,146.0,82.0,112.0,64.5,107.0
SIAH2,218.0,196.0,170.0,292.0,219.5
ST6GAL1,277.0,458.0,214.0,446.0,384.0
ST3GAL1,1321.0,1538.0,1106.0,1007.0,1446.0
ST3GAL2,422.0,310.0,297.0,356.5,383.0
ST3GAL4,796.0,1125.0,816.0,1170.0,1154.5
ST3GAL3,62.0,96.0,88.0,64.0,90.5
PMEL,0.0,0.0,1.0,5.0,0.0
STIL,357.0,490.0,302.0,631.5,520.5
SIPA1,55.0,71.0,39.0,82.0,67.0
SKI,359.0,339.0,248.0,352.5,379.0
SKIL,77.0,84.0,56.0,84.0,91.5
SKIV2L,133.0,216.0,146.0,200.5,185.5
SKP1,1565.0,2697.0,1458.0,2496.5,2445.5
SKP2,191.0,360.0,207.0,388.0,315.0
SLA,922.0,611.0,544.0,579.0,490.5
SLC1A3,4.0,9.0,10.0,6.0,9.5
SLC1A4,443.0,721.0,535.0,527.5,578.5
SLC1A5,3967.0,5571.0,4139.0,5118.0,5698.0
SLC2A1,123.0,116.0,127.0,131.0,144.0
SLC2A3,398.0,376.0,366.0,437.5,405.0
SLC2A4,3.0,13.0,0.0,6.0,8.5
SLC2A5,65.0,107.0,79.0,104.0,116.0
SLC3A2,305.0,312.0,319.0,306.5,319.5
SLC4A2,230.0,454.0,308.0,392.0,385.5
SMTN,38.0,33.0,30.0,40.0,39.0
SLC5A3,202.0,265.0,226.0,255.0,263.5
SLC6A6,226.0,297.0,122.0,371.5,294.0
SLC6A8,30.0,66.0,36.0,48.0,61.0
SLC6A13,73.0,49.0,76.0,79.5,56.5
SLC7A1,1260.0,1373.0,922.0,1248.5,1277.5
SLC7A2,305.0,303.0,192.0,318.5,300.0
SLC8A2,0.0,0.0,0.0,0.0,0.0
SLC8A1,54.0,77.0,53.0,52.5,50.5
SLC9A1,63.0,63.0,56.0,81.5,78.5
SLC9A5,8.0,15.0,40.0,21.5,14.5
SLC11A1,63.0,64.0,82.0,65.0,62.5
SLC14A1,13.0,15.0,6.0,13.0,12.0
SLC15A2,33.0,52.0,62.0,61.5,63.0
SLC16A1,491.0,672.0,307.0,998.5,739.5
SLC19A1,1298.0,1490.0,1200.0,1297.0,1415.5
SLC20A1,1044.0,1157.0,1019.0,1195.0,1181.0
SLC20A2,81.0,121.0,50.0,194.5,131.5
SLC25A1,401.0,701.0,474.0,555.5,507.5
SLC22A4,11.0,25.0,13.0,23.0,22.5
SLC22A5,10.0,8.0,2.0,16.0,10.5
SLPI,7.0,0.0,0.0,1.0,2.0
SMARCA2,394.0,714.0,459.0,585.0,607.0
HLTF,65.0,39.0,27.0,96.5,59.5
SMARCA4,1171.0,1766.0,1200.0,1675.0,1720.5
SMARCB1,919.0,1307.0,854.0,1261.0,1287.0
SMARCC1,3386.0,5617.0,3708.0,5725.0,5446.5
SMARCC2,795.0,999.0,746.0,958.0,928.0
SMARCD1,77.0,113.0,72.0,157.0,94.5
SMARCD2,3372.0,3952.0,3425.0,3493.0,3836.5
SMARCE1,398.0,496.0,378.0,410.0,466.0
SMN1,116.0,80.0,104.0,163.5,100.0
SMN2,116.0,80.0,104.0,163.5,100.0
SMPD1,52.0,110.0,77.0,108.5,102.0
SMS,1406.0,2283.0,1026.0,2434.5,2312.0
SUMO3,10189.0,11634.0,8608.0,10253.5,11107.0
SUMO2,2314.0,2070.0,1697.0,2211.0,2138.0
SNAI1,46.0,20.0,10.0,3.5,55.0
SNAP25,4.0,6.0,2.0,6.5,6.0
SNAPC1,46.0,85.0,56.0,67.5,77.0
SNAPC2,124.0,144.0,106.0,137.0,164.0
SNAPC3,61.0,63.0,36.0,80.0,59.5
SNAPC4,221.0,335.0,255.0,295.5,314.0
FSCN1,531.0,921.0,561.0,921.0,925.5
SNRNP70,1133.0,2278.0,1254.0,2074.5,1908.5
SNRPA,3539.0,4670.0,4009.0,3545.0,4201.5
SNRPA1,570.0,909.0,511.0,877.5,809.0
SNRPB,4429.0,5943.0,4267.0,5774.5,5890.5
SNRPB2,2574.0,4238.0,2702.0,4805.0,4304.0
SNRPC,6149.0,6836.0,5086.0,7649.5,6978.5
SNRPD1,12108.0,13431.0,10183.0,12972.0,13221.0
SNRPD2,5292.0,7868.0,6043.0,6832.0,7154.5
SNRPD3,3746.0,7334.0,4361.0,7466.5,6884.5
SNRPE,2576.0,3546.0,2647.0,3258.5,3238.5
SNRPF,3436.0,6413.0,3502.0,7230.5,6368.0
SNRPG,3775.0,5634.0,4008.0,5513.0,5210.5
SNRPN,1624.0,1869.0,1250.0,1948.5,1873.5
SNTA1,27.0,19.0,26.0,19.0,18.0
SNTB1,674.0,1087.0,439.0,1484.0,1084.5
SNX1,1076.0,2049.0,799.0,2311.5,2023.5
SNX2,251.0,316.0,191.0,384.5,295.5
SNTB2,77.0,82.0,68.0,117.0,86.0
SOAT1,191.0,246.0,141.0,281.5,247.0
SOD1,2049.0,2499.0,1868.0,2496.5,2446.0
SOD2,644.0,754.0,439.0,866.0,781.5
CAPN15,220.0,405.0,233.0,288.0,354.5
SON,310.0,511.0,285.0,509.5,487.0
SORD,4508.0,6062.0,5033.0,4627.5,5339.5
SORL1,60.0,90.0,45.0,68.0,88.0
SOS1,124.0,162.0,85.0,187.5,191.0
SOS2,63.0,74.0,55.0,89.5,77.5
SOX4,2831.0,1125.0,1287.0,1352.0,1220.5
SOX12,2176.0,2390.0,2124.0,2019.0,2217.5
SP1,412.0,455.0,299.0,490.5,455.0
SP2,81.0,121.0,66.0,143.0,121.5
SP3,85.0,63.0,97.0,121.0,75.0
SP4,43.0,32.0,25.0,66.0,47.0
SP100,223.0,171.0,138.0,247.5,194.5
SPAG1,30.0,25.0,38.0,37.0,33.5
UAP1,63.0,82.0,42.0,88.5,80.0
SPAST,118.0,258.0,127.0,237.0,258.0
SPG7,467.0,655.0,431.0,764.5,651.5
SPI1,272.0,302.0,237.0,319.0,307.5
SPIB,45.0,63.0,46.0,64.5,57.5
SPN,13479.0,10808.0,8485.0,10656.5,11185.5
SPOCK1,2.0,1.0,0.0,1.5,3.5
SPR,274.0,271.0,193.0,340.5,274.0
SPTAN1,18.0,34.0,32.0,32.0,37.0
SPTBN1,605.0,792.0,732.0,509.5,702.0
SQLE,738.0,807.0,577.0,929.5,831.0
SRC,29.0,35.0,25.0,32.5,33.5
SRD5A1,2.0,8.0,6.0,3.5,5.0
SRI,201.0,300.0,178.0,348.5,292.0
SREBF1,511.0,883.0,522.0,750.0,786.0
SREBF2,2421.0,4260.0,2663.0,3662.5,3809.0
SRF,1963.0,2630.0,1926.0,2251.0,2546.0
SRM,3068.0,3940.0,3370.0,3311.0,3523.0
SRP9,297.0,507.0,235.0,680.0,524.0
SRP14,8792.0,10860.0,7587.0,10720.5,10941.0
SRP19,618.0,484.0,291.0,472.0,528.0
SRP54,264.0,331.0,261.0,340.5,345.5
SRP68,690.0,889.0,706.0,747.0,844.5
SRP72,1453.0,1614.0,1305.0,1596.5,1513.5
SRPK1,1314.0,1578.0,1100.0,1478.0,1388.0
SRPK2,35.0,50.0,64.0,46.0,46.5
SRPRA,92.0,190.0,89.0,304.0,206.0
TRIM21,64.0,63.0,46.0,145.0,68.0
RO60,630.0,580.0,433.0,458.5,596.0
SSB,172.0,281.0,117.0,487.5,301.5
SSBP1,1255.0,1369.0,1010.0,1364.0,1342.5
ITPRID2,98.0,46.0,26.0,85.5,71.5
SSR1,4172.0,5084.0,3140.0,4822.0,4874.0
SSR2,1584.0,2543.0,1615.0,2494.0,2446.0
SSR3,3057.0,5059.0,2922.0,5068.5,4874.0
SSR4,1323.0,1596.0,1175.0,1288.5,1484.5
SSRP1,7215.0,10581.0,7760.0,8568.5,9223.5
SSTR2,4.0,15.0,11.0,7.0,13.0
SS18,246.0,341.0,239.0,379.5,354.0
ST13,771.0,1141.0,733.0,1375.5,1137.0
ST14,727.0,1187.0,865.0,1244.5,1171.5
STAR,920.0,983.0,727.0,1058.5,962.5
STAT1,611.0,790.0,512.0,810.5,791.0
STAT2,133.0,236.0,212.0,226.5,199.0
STAT3,508.0,470.0,394.0,483.5,497.0
STAT5A,879.0,1201.0,739.0,1222.5,1224.0
STAT5B,203.0,235.0,119.0,303.0,234.5
STAT6,496.0,616.0,471.0,627.0,600.5
STAU1,489.0,727.0,504.0,575.5,715.0
HSPA13,118.0,119.0,83.0,117.0,101.5
STIM1,697.0,1139.0,869.0,935.5,1069.5
NEK4,26.0,22.0,16.0,38.0,31.0
STK3,161.0,210.0,112.0,197.5,189.5
STK4,835.0,1013.0,813.0,874.5,934.0
AURKA,1073.0,1219.0,1107.0,1140.0,1279.5
AURKAP1,86.0,31.0,47.0,32.0,37.0
STK10,172.0,194.0,112.0,182.0,192.0
STK11,747.0,920.0,614.0,794.0,882.5
AURKC,18.0,22.0,15.0,33.5,24.5
STRN,336.0,473.0,343.0,465.5,445.0
STX1A,7.0,16.0,12.0,11.5,16.0
STX3,146.0,227.0,131.0,226.5,222.0
STX4,904.0,1780.0,1101.0,1501.0,1448.0
STX5,89.0,124.0,103.0,101.0,122.5
STXBP1,2.0,5.0,0.0,2.5,5.5
STXBP2,46.0,55.0,28.0,60.0,57.5
STXBP3,26.0,19.0,5.0,21.5,20.5
STYX,119.0,128.0,109.0,122.5,128.0
SULT1A1,239.0,343.0,156.0,416.5,345.0
SULT1A3,143.0,278.0,168.0,231.0,284.0
SUOX,240.0,252.0,203.0,264.0,255.5
SUPT4H1,1871.0,2905.0,2026.0,2370.5,2332.0
SUPT5H,762.0,1653.0,1050.0,1398.5,1270.0
SUPT6H,269.0,418.0,396.0,398.0,401.0
SUPV3L1,7.0,16.0,9.0,24.5,16.5
SURF1,120.0,160.0,132.0,135.0,177.5
SURF2,12.0,16.0,12.0,22.0,18.0
SURF4,3581.0,6666.0,3477.0,6718.5,6264.5
MED22,109.0,170.0,166.0,87.0,121.0
SURF6,1611.0,1636.0,1221.0,1435.5,1589.5
SUV39H1,85.0,114.0,139.0,133.0,93.0
SVIL,18.0,19.0,15.0,17.5,17.5
VAMP1,51.0,32.0,34.0,44.0,68.0
VAMP2,47.0,86.0,35.0,79.0,85.0
VAMP7,195.0,224.0,187.0,249.5,205.5
SYK,696.0,1180.0,580.0,1222.5,1123.0
SYPL1,557.0,693.0,498.0,728.5,608.0
TACC1,3789.0,4174.0,2767.0,4450.5,4491.0
ADAM17,1171.0,1281.0,990.0,1489.5,1404.0
TADA2A,24.0,15.0,16.0,18.5,23.0
TAF1,720.0,1083.0,378.0,1449.0,1058.5
TAF2,139.0,238.0,82.0,536.5,274.5
TAF4,10.0,11.0,5.0,39.0,23.5
TAF4B,217.0,201.0,145.0,193.5,192.0
TAF5,89.0,41.0,76.0,87.5,47.0
TAF6,120.0,193.0,152.0,218.5,203.5
TAF7,221.0,274.0,212.0,363.0,307.5
TAF9,526.0,784.0,508.0,732.5,798.0
TAF10,367.0,340.0,246.0,381.0,353.0
TAF11,1064.0,1226.0,979.0,1108.0,1161.5
TAF12,192.0,228.0,224.0,222.5,219.5
MAP3K7,1162.0,1717.0,1060.0,1637.5,1605.0
TAL2,8.0,9.0,6.0,1.5,7.0
TALDO1,4583.0,5551.0,4337.0,5455.0,5469.0
TAP1,132.0,156.0,102.0,172.0,151.0
TAP2,163.0,162.0,73.0,241.5,187.0
TAPBP,4232.0,6121.0,4875.0,4575.0,5193.0
TARBP1,128.0,252.0,152.0,253.5,208.5
TARBP2,361.0,365.0,270.0,465.5,341.5
TARS1,1234.0,1877.0,804.0,2315.0,1807.5
TBX1,22.0,33.0,36.0,34.5,27.0
TAZ,247.0,309.0,274.0,384.5,323.0
TBCA,4074.0,7240.0,3900.0,8057.5,7056.0
TBCC,1995.0,1078.0,1314.0,791.5,1208.0
TBCE,278.0,379.0,177.0,348.5,375.0
TBL1X,1412.0,1608.0,1075.0,1385.5,1647.5
TBP,116.0,106.0,86.0,181.5,113.5
TBXAS1,443.0,626.0,395.0,595.0,610.0
TCEA1,1038.0,1213.0,537.0,1388.5,1132.5
TCEA2,26.0,43.0,31.0,49.0,45.5
ELOC,593.0,768.0,413.0,1109.5,827.0
ELOB,1466.0,1691.0,1247.0,1528.5,1649.5
ELOA,154.0,241.0,144.0,300.5,261.5
TCF4,129.0,146.0,86.0,145.5,147.0
TCF3,1341.0,2374.0,1358.0,2583.5,2269.5
TCF7,3.0,12.0,5.0,4.5,10.0
ZEB1,4.0,4.0,0.0,7.5,6.0
GCFC2,54.0,77.0,68.0,82.5,75.0
TCF12,353.0,338.0,266.0,316.0,370.5
TCF15,182.0,98.0,105.0,142.5,112.0
ZNF354A,185.0,181.0,110.0,203.5,177.0
TCF19,550.0,671.0,650.0,636.5,647.0
TCF20,252.0,282.0,173.0,352.0,305.0
VPS72,485.0,943.0,590.0,742.0,832.5
MLX,111.0,109.0,97.0,118.0,120.5
TCOF1,62.0,140.0,119.0,140.0,140.0
TCP1,4230.0,6755.0,4726.0,5644.0,5776.5
TCTA,87.0,107.0,87.0,82.5,96.0
DYNLT3,25.0,25.0,14.0,34.0,25.0
PPP1R11,423.0,666.0,339.0,492.0,600.5
DYNLT1,131.0,132.0,109.0,190.0,184.5
TDG,455.0,519.0,401.0,619.5,533.0
PRDX2,179.0,254.0,151.0,274.5,231.0
TEAD4,99.0,162.0,147.0,148.5,153.5
TEAD3,83.0,120.0,112.0,149.0,122.0
TEC,15.0,9.0,10.0,3.5,12.5
TEF,81.0,53.0,53.0,36.5,56.0
TMBIM6,2854.0,3729.0,2532.0,3584.0,3804.5
TEP1,52.0,71.0,22.0,80.5,70.0
TERC,219.0,285.0,280.0,246.0,245.5
TERF1,506.0,476.0,365.0,500.0,446.0
TERF2,302.0,709.0,550.0,453.0,524.0
TERT,52.0,49.0,27.0,62.0,55.0
TESK1,13.0,19.0,14.0,26.0,23.0
TFAM,431.0,506.0,277.0,604.0,553.0
TFAP4,581.0,535.0,424.0,553.0,530.5
TFCP2,1476.0,1720.0,1171.0,1950.0,1781.0
TFDP1,600.0,1123.0,409.0,1371.0,1042.5
TFDP2,193.0,279.0,133.0,315.0,275.0
TFE3,229.0,232.0,173.0,232.0,232.5
TFR2,99.0,145.0,90.0,113.0,119.5
TFRC,2459.0,4074.0,2484.0,3812.0,3557.0
TGFB1,68.0,104.0,82.0,107.5,111.5
TGFBR1,242.0,207.0,129.0,249.0,214.0
TGFBR2,25.0,15.0,22.0,26.5,24.5
TGIF1,74.0,24.0,45.0,33.5,35.5
TGM1,15.0,6.0,10.0,11.5,7.5
THBD,49.0,16.0,27.0,42.0,17.0
THBS3,30.0,40.0,25.0,42.0,42.0
THBS4,29.0,31.0,21.0,39.0,33.5
THOP1,2105.0,2796.0,1955.0,2344.5,2471.0
THRA,212.0,162.0,153.0,229.5,161.5
KLF10,37.0,11.0,31.0,13.0,26.5
TIA1,210.0,192.0,176.0,255.0,195.5
TIAL1,498.0,852.0,518.0,744.5,705.5
TIMP1,190.0,335.0,203.0,265.5,260.0
TIMP2,762.0,1173.0,842.0,882.0,1075.0
TK1,919.0,1040.0,792.0,1037.0,1061.5
TK2,204.0,258.0,226.0,233.0,226.0
TKT,8048.0,7899.0,5219.0,8546.5,8319.0
ICAM5,14.0,46.0,17.0,33.5,33.0
TLE1,84.0,100.0,72.0,112.5,105.0
TLE3,986.0,1055.0,964.0,856.0,991.0
TLE4,96.0,92.0,69.0,97.0,115.5
TLN1,407.0,482.0,304.0,455.0,474.5
SEC62,487.0,600.0,411.0,576.5,580.5
TLR1,12.0,8.0,4.0,15.0,6.5
TLR2,96.0,143.0,116.0,165.5,113.0
TLR4,86.0,33.0,73.0,77.5,56.5
GPR137B,5.0,16.0,17.0,12.0,15.5
TM7SF2,76.0,112.0,118.0,92.0,97.0
TRAPPC10,206.0,405.0,231.0,316.0,360.0
TMF1,166.0,85.0,107.0,150.5,86.0
TMOD1,16.0,22.0,28.0,23.5,23.0
TMPO,1771.0,2921.0,1498.0,3416.0,2814.0
TMSB4X,37495.0,70519.0,19571.0,85007.0,71511.0
CLEC3B,14.0,48.0,33.0,24.5,32.5
TNF,273.0,59.0,148.0,29.0,125.0
TNNC2,6.0,14.0,3.0,4.0,10.0
TNFAIP1,139.0,172.0,94.0,160.0,182.0
TNFAIP2,173.0,335.0,111.0,415.0,314.0
TNFAIP3,149.0,28.0,109.0,58.5,43.5
TNFRSF1A,1272.0,1060.0,945.0,1059.5,1071.5
TNFRSF1B,2870.0,3005.0,2337.0,2456.0,2852.5
TNNI3,89.0,116.0,68.0,74.0,99.5
TNNT1,105.0,136.0,126.0,137.5,133.5
TNS1,27.0,24.0,26.0,17.0,28.0
TOP1,966.0,1392.0,960.0,1162.5,1350.5
TOP2A,1733.0,2647.0,1558.0,2941.0,2463.0
TOP2B,1568.0,2874.0,1584.0,2882.0,2500.0
TOP3A,352.0,423.0,288.0,323.0,418.0
TP53,315.0,625.0,438.0,488.5,546.5
TP53BP1,211.0,354.0,261.0,317.5,324.5
TP53BP2,125.0,170.0,72.0,135.0,146.5
TP73,21.0,24.0,22.0,15.5,23.5
TPD52,2148.0,1930.0,1288.0,1950.0,1752.0
TPD52L2,4216.0,5273.0,4033.0,4708.5,5009.5
TPI1,3192.0,4696.0,3348.0,4207.0,4271.0
TPM1,18.0,36.0,22.0,43.5,35.5
TPM3,7344.0,8990.0,6295.0,8635.5,8810.0
TPM4,2620.0,2349.0,1914.0,2061.0,2330.5
TPMT,60.0,91.0,63.0,125.5,96.5
TPP2,91.0,114.0,50.0,166.0,137.5
TPR,347.0,466.0,104.0,868.0,602.5
TPT1,94167.0,118306.0,91889.0,111503.5,112235.0
NR2C1,99.0,136.0,102.0,130.5,116.0
NR2C2,167.0,234.0,160.0,253.5,223.0
HSP90B1,4070.0,6853.0,2233.0,10318.5,6988.0
TRAF2,321.0,439.0,347.0,336.5,393.5
TRAF3,135.0,153.0,99.0,160.0,160.5
TRAF6,55.0,72.0,46.0,37.0,78.5
HSP90B2P,2283.0,1742.0,1513.0,1562.5,1535.0
CCT3,3328.0,4515.0,3737.0,4007.0,3984.5
TRIO,0.0,2.0,1.0,9.5,2.5
TRIP6,224.0,284.0,190.0,336.0,269.0
TRPM2,596.0,957.0,712.0,774.0,954.5
TSN,1218.0,1403.0,1085.0,1529.0,1451.5
TSC1,364.0,418.0,220.0,344.0,366.0
TSC2,94.0,175.0,133.0,117.0,149.0
TSG101,161.0,231.0,124.0,200.5,215.0
TSNAX,650.0,791.0,508.0,795.0,759.5
TSPYL1,245.0,241.0,183.0,297.5,257.5
EIPR1,396.0,642.0,396.0,589.5,615.0
PHLDA2,203.0,271.0,202.0,237.0,235.5
TST,625.0,1052.0,912.0,768.0,951.5
TSTA3,510.0,681.0,576.0,615.5,621.5
TTC1,412.0,671.0,518.0,471.5,482.0
DNAJC7,2663.0,3705.0,1952.0,4215.5,3663.5
TTC3,380.0,521.0,367.0,464.5,486.5
TTC4,397.0,404.0,402.0,418.0,439.5
TTF1,1807.0,1130.0,1220.0,1013.0,1217.5
TTK,522.0,432.0,348.0,492.5,459.5
TUBA4A,2297.0,2395.0,1825.0,2110.0,2398.0
TUBB2A,13.0,3.0,11.0,16.5,8.0
TUBG1,437.0,455.0,307.0,434.5,493.5
TUFM,3221.0,4095.0,3368.0,3915.5,3847.0
TUFT1,26.0,48.0,40.0,20.5,53.0
TULP3,144.0,271.0,168.0,206.5,201.5
HIRA,87.0,108.0,53.0,77.5,108.5
TXN,1219.0,2025.0,557.0,4542.0,2310.5
TXNRD1,194.0,259.0,93.0,391.0,297.0
TYK2,402.0,755.0,490.0,644.0,673.0
TYMS,3684.0,4865.0,3032.0,5293.5,4822.0
TYRO3,157.0,146.0,122.0,179.0,157.5
TYROBP,993.0,1145.0,862.0,973.5,1149.5
U2AF1,10971.0,18567.0,10812.0,16569.0,16619.5
UBA52,7026.0,8584.0,6729.0,7492.0,8008.5
UBB,10656.0,15477.0,11948.0,13045.0,14356.0
UBC,13583.0,10186.0,10219.0,9461.0,11480.5
UBA1,535.0,783.0,473.0,853.5,799.5
UBA7,59.0,63.0,40.0,53.0,60.0
UBE2A,335.0,568.0,226.0,716.0,584.0
UBE2B,600.0,824.0,311.0,1077.5,863.5
UBE2D1,106.0,104.0,75.0,178.5,124.0
UBE2D2,1330.0,1571.0,1030.0,1583.0,1503.0
UBE2D3,4954.0,5928.0,4134.0,5939.5,5713.0
UBE2E1,2041.0,2372.0,1616.0,2499.0,2279.0
UBE2E2,83.0,160.0,69.0,155.5,147.5
UBE2G1,362.0,608.0,404.0,555.5,556.5
UBE2G2,2754.0,3370.0,2187.0,3448.0,3102.0
UBE2H,410.0,625.0,329.0,576.0,573.0
UBE2I,1338.0,1858.0,1403.0,1740.0,1896.0
UBE2L3,1811.0,2480.0,1735.0,2391.5,2541.0
UBE2N,849.0,1213.0,633.0,1254.5,1069.5
UBE2V1,984.0,1349.0,821.0,1107.5,1190.5
UBE2V2,4567.0,5670.0,4317.0,5761.5,5574.0
UBE3A,639.0,698.0,476.0,766.0,708.5
SUMO1,656.0,890.0,474.0,1042.0,878.5
UBP1,480.0,751.0,518.0,780.5,718.0
UBTF,3279.0,3874.0,2933.0,3598.5,3865.5
UCHL3,293.0,494.0,230.0,574.5,490.0
UCN,51.0,132.0,97.0,145.5,124.5
UCP2,632.0,916.0,754.0,757.0,859.5
UCP3,49.0,35.0,67.0,25.0,40.5
UFD1,1183.0,1227.0,927.0,1122.5,1185.5
SLC35A2,451.0,733.0,400.0,740.0,686.0
UGCG,239.0,150.0,106.0,173.5,150.5
UGDH,134.0,218.0,98.0,138.5,146.0
UGP2,372.0,402.0,271.0,383.5,355.0
UCK2,305.0,496.0,463.0,478.5,509.5
UMPS,716.0,831.0,612.0,832.5,829.0
UNG,843.0,855.0,986.0,799.5,815.5
USP4,162.0,249.0,130.0,184.5,206.5
NR1H2,254.0,463.0,364.0,389.0,376.0
UQCRB,26733.0,27832.0,19893.0,27861.5,27380.0
UQCRC1,1671.0,2056.0,1562.0,1744.0,1949.5
UQCRC2,1106.0,1834.0,1145.0,1779.5,1748.0
UQCRFS1,1900.0,2692.0,1748.0,2731.5,2565.0
UQCRH,6464.0,6393.0,5109.0,7336.0,6406.5
UROD,273.0,348.0,361.0,309.5,310.0
UROS,190.0,344.0,243.0,319.5,330.0
USF2,908.0,1105.0,765.0,1253.0,1100.0
USP1,582.0,576.0,443.0,702.5,662.5
UTRN,68.0,55.0,18.0,64.5,57.0
KDM6A,26.0,59.0,15.0,56.5,57.0
UTY,147.0,95.0,62.0,78.5,83.0
UVRAG,175.0,287.0,146.0,265.5,280.0
VARS1,904.0,1099.0,838.0,876.5,1063.5
VASP,1781.0,3345.0,1564.0,3282.5,2984.5
VAV1,1221.0,1941.0,1497.0,1675.5,1686.5
VAV2,190.0,456.0,262.0,421.0,441.0
VBP1,602.0,662.0,486.0,757.0,686.5
VCL,311.0,446.0,421.0,417.0,451.0
VCP,2877.0,4028.0,2751.0,3910.5,4087.5
VDAC1,800.0,1127.0,556.0,1540.5,1152.0
VDAC2,821.0,1292.0,767.0,1362.0,1277.5
VDAC3,2990.0,3666.0,2921.0,3732.0,3603.0
VDR,282.0,296.0,300.0,318.5,331.0
VEGFA,125.0,110.0,101.0,181.5,155.0
