GENE,DMSO_3h,VHL_3h,DMSO_6h,VHL_6h
CYLD,1295.5,829.25,1135.75,920.25
CYP1A1,96.25,47.5,56.25,44.0
CYP1B1,8191.5,5742.75,11677.75,11003.5
CYP2B7P,36.25,28.25,16.5,13.75
CYP2D7,25.75,15.5,21.0,12.0
CYP2D6,4.25,2.75,3.0,2.5
CYP2E1,6.5,3.75,1.75,3.5
CYP2F1,15.25,9.25,4.0,1.75
CYP3A5,27.5,20.25,16.5,13.0
CYP19A1,8.25,9.75,2.0,18.0
CYP27B1,60.5,44.25,19.5,22.5
CYP51A1,1215.75,1000.0,936.5,1794.75
DAD1,1355.75,1002.75,1509.5,1314.75
CD55,354.0,295.0,257.25,217.5
DAG1,1117.75,637.25,892.5,666.0
DGKA,43.25,25.25,40.5,27.25
DGKG,578.5,432.0,895.75,636.75
DGKQ,377.0,226.0,510.75,405.5
DAP,6376.25,4806.25,5100.25,3979.5
DAPK1,4.0,3.75,2.75,0.75
DAPK3,140.5,83.0,146.75,124.5
DARS1,3025.75,2013.0,1846.75,1809.0
DAXX,229.5,164.0,255.25,213.0
DBH,9.25,6.0,1.75,0.0
DBI,2889.75,2307.25,2774.25,2537.25
DBN1,3187.0,1979.25,1791.75,1359.0
DBP,43.0,34.0,35.0,35.0
DBT,1281.75,868.5,1079.25,942.5
ECI1,176.75,128.0,125.75,97.75
DCK,2229.75,1711.25,1944.0,1455.75
DCTD,1780.25,1324.25,1439.25,1262.75
DCT,1.75,2.25,0.75,0.5
DCTN1,4570.0,3077.75,3425.5,2592.75
DDB1,2289.5,1583.25,2588.25,2416.75
DDB2,260.0,205.25,217.75,170.5
AKR1C1,0.75,1.25,2.25,1.75
AKR1C2,4.0,1.5,3.0,4.0
GADD45A,61.75,26.25,63.75,41.0
DDIT3,569.75,429.0,425.5,383.0
DDOST,4282.0,2889.25,3476.75,2737.5
DDT,1162.5,864.5,1018.0,746.0
DDX1,319.0,174.75,266.0,247.5
DDX3X,14454.75,10805.5,10209.5,8578.5
DDX5,3977.75,2385.75,3020.25,2550.25
DDX6,12075.25,8331.75,8762.75,7007.75
DMXL1,220.0,130.0,138.25,92.0
DHX8,486.25,316.25,496.75,392.5
DHX9,1261.5,766.5,1161.0,1016.5
DDX10,244.5,154.5,382.5,314.25
DDX11,781.0,529.5,701.25,547.5
DHX15,1745.5,1143.0,1581.0,1253.0
DECR1,297.25,206.5,225.5,205.5
DES,1.5,2.25,0.25,1.0
CFD,1815.0,1422.25,2434.5,2050.75
DFFA,703.75,438.5,571.0,480.25
DFFB,212.0,124.5,273.5,223.5
TIMM8A,638.75,416.25,613.75,415.75
GSDME,8.25,8.25,1.0,0.0
DGUOK,467.25,371.5,499.25,403.25
DHCR7,252.25,202.75,183.25,297.75
DHCR24,5770.75,4476.0,3887.5,4815.25
DHFR,6689.75,4893.5,6167.5,4972.0
DHODH,290.75,177.75,209.25,157.0
DHPS,2887.5,2286.5,2186.75,1589.25
CYB5R3,2473.0,1653.25,1976.25,1414.75
NQO1,611.5,423.25,1052.0,1161.5
DIAPH1,7158.0,4809.5,5587.25,4626.25
DIAPH2,168.0,112.5,75.75,50.25
SEPTIN1,28.75,14.0,17.0,11.5
DIO1,10.25,6.25,3.75,1.5
DIO2,3.25,3.25,2.0,3.75
DKC1,5624.0,3713.0,4979.5,4409.75
DLAT,2277.25,1461.5,1885.0,1600.75
DLD,1345.25,798.5,991.5,850.75
DLG1,1718.25,1137.25,1513.25,1111.25
DLG3,11.5,8.25,3.75,1.75
DLG4,600.25,338.25,355.0,277.75
DLST,2456.0,1729.75,1642.5,1209.25
1744,1932.0,1473.0,1335.5,912.25
DLX1,1016.0,581.25,763.5,577.5
DLX2,15.5,7.75,4.0,5.0
DLX3,46.25,18.25,7.25,4.5
DLX4,742.25,421.25,292.25,169.0
DLX5,2.75,0.75,2.0,1.0
SARDH,65.25,52.75,34.75,26.75
DNM1,308.75,216.75,241.0,186.25
DMPK,174.5,82.5,58.0,47.0
DMWD,573.75,281.0,229.0,175.75
DNA2,2471.5,1857.75,2219.0,1384.75
DNASE1,61.25,49.5,74.5,48.5
DNASE1L1,304.5,208.0,275.25,249.5
DNASE1L2,8.0,1.75,5.0,5.25
DNASE2,96.25,72.25,35.25,35.5
DYNC1H1,531.0,330.75,638.75,586.5
DYNC1I2,587.5,411.75,482.0,406.5
DYNC1LI2,4716.25,3033.25,3457.5,2603.0
DNM2,1326.75,724.0,892.75,649.0
DNMT1,974.0,756.5,883.75,821.25
TRDMT1,298.5,199.5,134.0,107.25
DNMT3A,2265.5,1477.0,1965.75,1422.75
DNMT3B,262.25,153.5,257.75,160.25
DOCK2,1209.25,917.0,1021.25,857.25
DOCK3,9.25,3.5,7.25,7.5
DOK1,716.5,505.0,552.0,537.0
DXO,25.5,16.75,20.25,13.75
DPAGT1,330.5,199.0,303.75,235.0
DPH1,1286.75,958.0,1187.5,991.0
DPH2,798.0,552.0,929.25,796.5
DPYD,188.75,127.25,175.0,123.5
DPYS,2.5,2.0,2.0,1.25
DPYSL2,12846.0,8927.5,11610.0,12852.75
DPYSL3,602.5,459.75,295.25,312.5
DR1,3021.25,1931.75,2246.25,1914.75
DRD4,3.5,1.25,1.25,0.75
DRG2,396.5,284.0,402.0,305.75
ARID3A,939.0,410.5,534.75,317.75
DRP2,10.75,7.5,8.25,7.5
ATN1,310.5,177.75,234.5,199.5
RCAN1,508.75,393.0,543.75,484.5
TSC22D3,963.25,959.75,906.0,933.25
SLC26A2,863.0,527.5,983.5,732.5
DTNA,559.25,375.25,551.5,351.5
DTNB,1.75,1.5,3.0,1.75
HBEGF,853.0,400.25,601.75,385.25
DTYMK,2333.0,1811.0,2690.75,2050.5
ECM2,7.0,5.0,8.75,8.25
DUSP1,21.25,18.25,60.5,41.25
DUSP2,128.0,64.5,82.0,42.25
DUSP3,4459.0,3068.25,3773.75,3468.25
DUSP4,985.25,596.75,607.75,442.5
DUSP5,475.5,393.75,371.75,363.75
DUSP6,850.25,411.0,678.25,493.75
DUSP7,4327.0,2894.5,1616.5,1132.5
DUSP8,9.0,7.25,6.25,5.0
DUT,3526.25,3013.25,3176.5,3016.75
DVL1,359.5,198.75,294.0,246.0
DVL2,220.5,150.5,252.0,194.5
DVL3,2985.0,1963.75,2507.25,1898.0
DYRK1A,2637.75,1654.25,1911.5,1217.25
TOR1A,1871.0,1312.5,1903.0,1499.25
E2F1,1400.5,829.5,1206.75,783.0
E2F2,925.25,615.25,897.0,494.0
E2F3,3135.25,1968.75,2757.5,1747.5
E2F4,1309.0,836.0,1198.25,865.5
E2F5,146.25,113.75,124.0,121.0
E2F6,752.5,505.0,772.25,485.25
E4F1,190.25,132.5,168.5,146.0
EBF1,433.25,272.25,304.0,319.25
GPR183,137.25,163.75,261.75,296.25
ECE1,395.5,239.5,226.75,133.75
TYMP,22.25,19.25,40.75,55.25
ECH1,1072.5,722.5,863.25,676.0
ECHS1,1316.0,964.0,1478.5,1315.75
ECM1,6.25,2.25,7.75,8.25
ECT2,1020.0,504.0,671.0,475.0
EDA,9.0,4.5,6.5,1.5
LPAR1,252.75,177.75,230.5,135.5
PHC1,3545.75,2701.75,3535.25,2826.75
PHC2,1605.5,1022.25,1107.0,794.5
EEF1A1,11791.25,8775.75,9284.75,9364.25
EEF1A2,175.5,129.75,159.25,165.5
EEF1B2,1748.0,1307.0,1610.75,1383.25
EEF1D,716.5,543.75,711.0,593.25
EEF1G,3483.25,2639.0,2747.5,2449.5
EEF2,33060.75,22056.0,21670.25,19299.75
EIF2D,125.75,95.75,100.75,73.0
EFNA3,51.25,35.75,37.0,35.75
EFNA4,58.0,30.0,67.75,45.75
EFNA5,11.25,9.75,7.25,1.5
EFNB1,214.0,116.75,158.25,99.5
EFNB2,3.5,0.25,4.0,1.75
EGF,5.75,2.0,1.75,1.5
CELSR3,258.25,178.0,212.0,192.0
CELSR2,193.75,126.0,177.75,132.0
MEGF6,9.75,5.75,8.25,15.5
MEGF8,857.25,532.25,799.5,638.0
MEGF9,1084.25,609.0,895.5,505.0
EGR1,217.0,105.0,430.75,113.0
EGR2,3.5,1.5,5.75,1.75
EGR3,250.25,129.25,59.0,41.25
EHHADH,107.5,72.5,91.75,75.5
EIF1AX,7187.5,5419.5,5672.25,5130.0
EIF2S1,5445.75,3883.5,4622.5,3743.0
EIF2B1,1777.25,1327.5,1783.25,1514.0
EIF2S3,14718.0,10069.25,9692.0,8500.25
EIF4A1,8215.75,5343.5,6548.75,5293.25
EIF4A2,3194.5,2029.0,4542.5,3629.75
EIF4B,21280.25,15529.75,15585.75,13977.0
EIF4E,1708.0,1221.5,1608.0,1390.75
EIF4EBP1,5645.25,4619.0,3229.25,3136.25
EIF4EBP2,15764.25,10883.5,10250.0,7896.75
EIF4G1,2611.0,1536.0,2424.5,1976.25
EIF4G2,11643.25,7973.25,10895.5,9220.75
EIF5,6294.25,4131.0,7528.75,5782.5
EIF5A,12343.0,7716.0,10746.25,9587.25
CELA1,8.25,5.75,1.75,1.0
ELANE,297.25,203.5,373.5,311.0
SERPINB1,1394.75,1096.25,1125.75,862.5
ELAVL1,5157.75,3351.0,4861.75,3723.25
ELAVL3,5.25,1.0,8.0,2.75
ELAVL4,7.5,7.5,5.0,4.5
ELF1,2345.0,1741.0,2120.25,1456.5
ELF2,518.5,320.5,456.0,247.5
ELF4,3070.0,2523.0,1888.75,1750.75
ELK1,2018.75,1108.0,1066.25,681.5
ELK3,556.0,313.0,559.75,266.0
ELK4,5456.25,3491.75,3418.5,2817.5
EML1,10.25,4.5,16.75,12.75
EMD,222.25,153.25,231.0,234.0
MARK2,1061.0,629.0,785.75,564.75
EMP1,1104.25,1141.0,644.5,779.25
EMP2,184.75,113.75,261.25,174.5
EMP3,434.25,345.25,373.75,404.25
ADGRE1,3.0,2.5,5.0,2.25
CTTN,47.5,24.75,16.5,8.75
ENDOG,222.0,151.75,249.0,227.5
ENG,588.75,403.5,588.0,540.25
ENO1,13939.25,10916.25,10993.5,10436.75
ENO2,495.5,288.75,209.5,162.5
ENO3,10.0,6.25,7.0,5.5
ENSA,6240.25,4318.75,5778.75,4743.75
SLC29A1,1036.75,639.25,1085.75,893.0
EP300,1329.0,810.75,900.25,633.5
EPAS1,21.25,14.75,19.25,12.25
EPB41,2102.5,1421.0,1524.0,1164.75
EPB41L1,69.5,52.0,11.75,9.0
EPB41L2,581.0,431.0,319.25,254.0
DMTN,1.25,0.25,1.75,4.75
STOM,4763.0,3300.0,3797.5,2910.75
EPHA1,9.25,4.25,14.0,6.5
EPHA7,11.0,9.5,20.25,13.25
EPHB3,258.75,90.0,161.5,105.75
EPHB4,61.0,30.0,49.0,40.0
EPHB6,31.0,20.75,20.5,15.75
EPHX1,83.0,68.75,128.25,123.25
STX2,306.25,206.0,236.0,177.5
CLN8,770.5,514.25,462.0,324.75
EPOR,263.75,176.0,319.5,144.75
EPRS1,1182.25,883.25,836.0,772.5
EPS8,21.5,17.5,24.25,21.5
EPS15,951.25,636.75,771.25,642.5
NR2F6,992.5,567.0,613.25,513.75
ERBB2,18.5,12.0,8.25,5.5
ERBB3,3.25,1.75,2.5,2.25
ERCC1,4894.25,2602.25,3101.75,2647.5
ERCC2,90.25,50.75,105.25,78.0
ERCC3,221.25,150.75,236.5,187.25
ERCC4,274.25,195.5,307.5,212.5
ERCC5,59.5,35.5,55.75,34.25
ERCC6,156.5,91.75,182.0,118.5
