GENE,DMSO_3h,VHL_3h,DMSO_6h,VHL_6h
RNU4ATAC,0.25,0.0,0.0,0.0
RNU6ATAC,0.5,0.0,0.25,0.5
RNA5S1,0.0,0.5,0.0,0.25
RNA5S2,0.0,0.5,0.0,0.25
RNA5S3,0.0,0.5,0.0,0.25
RNA5S4,0.0,0.5,0.0,0.25
RNA5S5,0.0,0.5,0.0,0.25
RNA5S6,0.0,0.5,0.0,0.25
RNA5S7,0.0,0.5,0.0,0.25
RNA5S8,0.0,0.5,0.0,0.25
RNA5S10,0.0,0.5,0.0,0.25
RNA5S11,0.0,0.5,0.0,0.25
RNA5S12,0.0,0.5,0.0,0.25
RNA5S13,0.0,0.5,0.0,0.25
RNA5S14,0.0,0.5,0.0,0.25
RNA5S15,0.0,0.5,0.0,0.25
RNA5S16,0.0,0.5,0.0,0.25
RNA5S17,0.0,0.5,0.0,0.25
DBIL5P2,0.75,0.0,1.0,0.0
SRRM5,0.25,0.0,0.0,0.0
ERICH4,1.0,0.25,0.25,0.25
EPOP,20.5,5.0,7.25,10.0
MIR1225,2.0,0.5,0.0,0.5
TOMM6,127.25,48.25,35.0,33.25
LINC00426,2.5,0.25,0.75,0.0
LINC00092,0.0,0.0,0.0,0.0
DCTN1-AS1,0.0,0.0,0.0,0.0
100190986,8.25,1.5,1.5,1.0
100192378,0.75,0.5,0.0,0.0
100216545,25.0,9.5,8.75,8.0
100216546,58.25,16.75,34.25,18.75
AC023794.3,0.0,0.0,0.0,0.0
AC008429.1,0.0,0.0,0.0,0.5
CASC11,0.5,0.0,0.25,0.0
100270746,1.25,0.0,0.5,0.0
LINC00940,0.5,0.0,0.0,0.25
100271835,0.5,0.0,0.0,0.0
100271836,24.5,6.75,5.75,5.75
100271874,0.25,0.0,0.0,0.0
RASA4B,1.25,0.0,0.25,0.5
CMC4,3.0,1.0,1.0,1.0
100272217,4.75,2.75,2.0,1.5
100272228,3.5,0.5,0.25,0.25
BCDIN3D-AS1,0.0,0.0,0.25,0.0
ANAPC1P1,0.25,0.0,0.0,0.0
AC016065.1,14.25,6.25,6.75,7.5
100287036,0.0,0.0,0.0,0.0
AC022211.2,42.75,12.75,11.5,7.5
WASHC1,8.25,3.0,1.75,4.25
100287216,0.0,0.0,0.25,0.0
100287227,1.5,0.5,1.0,0.5
SMKR1,2.75,1.25,0.25,1.0
ADPGK-AS1,1.25,0.5,0.75,1.0
LINC00173,0.0,0.25,0.5,0.0
MTHFD2P1,1.0,0.0,0.0,0.0
AP4B1-AS1,0.0,0.0,0.0,0.0
100287765,4.5,1.0,0.25,0.25
LINC00582,0.0,0.0,0.0,0.0
AP001372.2,0.5,0.5,0.0,0.25
LGALS8-AS1,0.5,0.75,0.75,0.5
TIMM23,77.0,16.75,18.0,13.5
AC079385.1,0.25,0.0,0.0,0.0
100288069,0.25,0.0,0.0,0.0
100288123,0.0,0.0,0.0,0.0
NBPF20,3.25,0.25,1.25,0.5
100288162,0.0,0.0,0.0,0.0
LNCOC1,0.0,0.0,0.0,0.0
HMGN3-AS1,2.25,0.75,0.0,1.0
100288346,0.0,0.0,0.0,0.0
ULK4P2,0.25,0.0,0.0,0.0
100288432,1.25,0.0,0.0,0.25
REXO1L6P,0.0,0.0,0.0,0.0
100288615,88.5,19.75,10.75,8.25
AC091057.1,4.75,1.25,0.5,0.5
LIMS4,2.0,0.5,0.5,0.25
100288730,93.0,32.0,36.75,28.0
WASH8P,41.75,14.75,7.5,10.5
AL132639.2,1.75,1.0,0.5,0.25
AC006487.1,0.0,0.0,0.0,0.0
100289019,11.25,4.5,1.0,1.5
ATP2A1-AS1,3.25,0.75,0.5,0.5
FRG1CP,30.5,5.75,5.0,5.75
100289098,0.5,0.0,0.25,0.5
FAM95C,3.75,1.75,0.25,0.5
TMEM225B,0.75,0.5,0.0,1.0
DNAJC3-DT,10.0,2.75,2.5,1.5
MAN1B1-DT,8.25,7.5,9.25,9.0
100289361,1.75,0.25,0.75,0.0
UBAC2-AS1,0.75,0.25,0.0,0.75
KCTD21-AS1,4.0,1.5,0.75,2.5
100289509,1.5,1.0,0.25,0.0
100289511,0.25,0.25,0.0,0.25
AC091390.3,9.75,0.75,0.5,0.5
ZNF605,119.25,18.5,15.75,9.5
AC055876.1,22.5,8.5,3.75,2.0
ZNF783,77.25,30.25,21.75,18.75
ZNF587B,125.75,37.5,36.75,20.75
RNF213-AS1,1.75,0.5,1.0,0.25
MIR1184-1,0.0,0.0,0.0,0.0
MIR1284,1.0,0.25,0.75,0.0
MIR1182,5.5,2.0,0.0,0.0
MIR1914,0.5,0.5,1.0,0.0
MIR1292,2.25,1.75,0.25,0.25
MIR1249,4.75,1.5,1.25,0.5
MIR1229,2.0,0.25,0.0,0.5
MIR1231,0.5,0.0,0.0,0.0
MIR1307,2.75,0.25,0.5,0.75
MIR1279,0.0,0.0,0.0,0.0
MIR1825,8.75,1.5,2.0,2.75
MIR1204,4.25,1.25,0.25,0.5
MIR1976,1.0,0.0,0.0,0.0
MIR1234,0.5,0.75,0.0,0.0
MIR1909,7.75,2.25,2.25,1.75
MIR1181,15.25,5.75,2.25,1.5
MIR1285-1,0.5,0.75,0.0,0.25
MIR1291,9.25,3.75,1.0,1.0
MIR2110,0.5,0.25,0.0,0.0
MIR1238,1.75,1.75,0.5,0.75
MIR1226,10.75,3.5,2.5,2.0
MIR1281,0.25,0.0,0.25,0.0
MIR1304,25.25,7.75,4.5,4.75
MIR1236,2.75,0.75,0.25,0.0
MIR1282,0.5,0.0,0.25,0.25
100302273,8.5,2.5,0.25,1.25
MIR1178,0.25,0.0,0.0,0.0
MIR1237,1.75,1.25,0.0,0.0
MIR103B2,0.0,0.0,0.0,0.0
MIR1227,4.25,1.75,0.25,0.75
