;;;;
REGION_ID;OVERLAP_GENES;PROXIMAL_GENES;CLOSEST_GENE;
1_merged_PDX_cell_lines_AML_6794_lociStitched;;PITX1;PITX1;
1_merged_PDX_cell_lines_AML_6795_lociStitched;USP34;;AHSA2;
1_merged_PDX_cell_lines_AML_6796_lociStitched;STARD7;LOC285033;STARD7;
1_merged_PDX_cell_lines_AML_6797_lociStitched;RSBN1L;;RSBN1L;
1_merged_PDX_cell_lines_AML_6798_lociStitched;ADNP;DPM1 MOCS3 ADNP;ADNP;
1_merged_PDX_cell_lines_AML_6799_lociStitched;NEGR1;;NEGR1;
1_merged_PDX_cell_lines_AML_68_lociStitched;TAPT1 FLJ39653;FLJ39653;TAPT1;
1_merged_PDX_cell_lines_AML_680_lociStitched;MYO3B;;MYO3B;
1_merged_PDX_cell_lines_AML_6800_lociStitched;FBXL13;;LRRC17;
1_merged_PDX_cell_lines_AML_6801_lociStitched;;AAK1 ANXA4;AAK1;
1_merged_PDX_cell_lines_AML_6802_lociStitched;NFATC1;;NFATC1;
1_merged_PDX_cell_lines_AML_6803_lociStitched;GIMAP5;GIMAP1 LOC100128542;GIMAP5;
1_merged_PDX_cell_lines_AML_6804_lociStitched;TTLL11;;TTLL11;
1_merged_PDX_cell_lines_AML_6805_lociStitched;SETD2;NBEAL2 CCDC12 NRADDP;NRADDP;
1_merged_PDX_cell_lines_AML_6806_lociStitched;TMEM39A;POGLUT1 C3orf1;TMEM39A;
1_merged_PDX_cell_lines_AML_6807_lociStitched;;;NR4A3;
1_merged_PDX_cell_lines_AML_6808_lociStitched;HSBP1;;HSBP1;
1_merged_PDX_cell_lines_AML_6809_lociStitched;SPDYC;ZNHIT2 SYVN1 MRPL49 CAPN1 FAU SLC22A20;SPDYC;
1_merged_PDX_cell_lines_AML_681_lociStitched;SERINC5;;SERINC5;
1_merged_PDX_cell_lines_AML_6810_lociStitched;;;C21orf131;
1_merged_PDX_cell_lines_AML_6811_lociStitched;;SLC35A4 TMCO6 MIR3655 CD14 IK NDUFA2 APBB3 SRA1;CD14;
1_merged_PDX_cell_lines_AML_6812_lociStitched;GSK3B;;GSK3B;
1_merged_PDX_cell_lines_AML_6813_lociStitched;METT10D;;METT10D;
1_merged_PDX_cell_lines_AML_6814_lociStitched;PLCL1;BOLL;PLCL1;
1_merged_PDX_cell_lines_AML_6815_lociStitched;LIMS1;RANBP2;LIMS1;
1_merged_PDX_cell_lines_AML_6816_lociStitched;;ATP2B2;ATP2B2;
1_merged_PDX_cell_lines_AML_6817_lociStitched;;AHR;AHR;
1_merged_PDX_cell_lines_AML_6818_lociStitched;NUMB;NUMB C14orf169;NUMB;
1_merged_PDX_cell_lines_AML_6819_lociStitched;NKAIN2;;NKAIN2;
1_merged_PDX_cell_lines_AML_682_lociStitched;TCF4;TCF4;TCF4;
1_merged_PDX_cell_lines_AML_6820_lociStitched;CCPG1;MIR628 FLJ27352;CCPG1;
1_merged_PDX_cell_lines_AML_6821_lociStitched;;LOXL1 TBC1D21;LOXL1;
1_merged_PDX_cell_lines_AML_6822_lociStitched;MCF2L2;B3GNT5 LAMP3;B3GNT5;
1_merged_PDX_cell_lines_AML_6823_lociStitched;KIAA0564;;C13orf15;
1_merged_PDX_cell_lines_AML_6824_lociStitched;;PTAR1 C9orf135;C9orf135;
1_merged_PDX_cell_lines_AML_6825_lociStitched;DPH5;DPH5;DPH5;
1_merged_PDX_cell_lines_AML_6826_lociStitched;KLF13;;KLF13;
1_merged_PDX_cell_lines_AML_6827_lociStitched;VAV3;;VAV3;
1_merged_PDX_cell_lines_AML_6828_lociStitched;;IER5;IER5;
1_merged_PDX_cell_lines_AML_6829_lociStitched;ST3GAL5;ST3GAL5;ST3GAL5;
1_merged_PDX_cell_lines_AML_683_lociStitched;;MIR3688;MIR3688;
1_merged_PDX_cell_lines_AML_6830_lociStitched;MGEA5;NPM3 KCNIP2 FGF8;MGEA5;
1_merged_PDX_cell_lines_AML_6831_lociStitched;;;CST7;
1_merged_PDX_cell_lines_AML_6832_lociStitched;LHFP;;LHFP;
1_merged_PDX_cell_lines_AML_6833_lociStitched;;PTPN12;PTPN12;
1_merged_PDX_cell_lines_AML_6834_lociStitched;SND1;;SND1;
1_merged_PDX_cell_lines_AML_6835_lociStitched;HTT;;HTT;
1_merged_PDX_cell_lines_AML_6836_lociStitched;C4orf45;;C4orf45;
1_merged_PDX_cell_lines_AML_6837_lociStitched;TRAK2;ALS2CR12 STRADB;TRAK2;
1_merged_PDX_cell_lines_AML_6838_lociStitched;SAP30BP RECQL5;LOC643008 LOC100130933;RECQL5;
1_merged_PDX_cell_lines_AML_6839_lociStitched;ARMC4;;ARMC4;
1_merged_PDX_cell_lines_AML_684_lociStitched;CD180;;CD180;
1_merged_PDX_cell_lines_AML_6840_lociStitched;;;TRPS1;
1_merged_PDX_cell_lines_AML_6841_lociStitched;;;FLJ36031;
1_merged_PDX_cell_lines_AML_6842_lociStitched;;;LOC645434;
1_merged_PDX_cell_lines_AML_6843_lociStitched;PREX1;;PREX1;
1_merged_PDX_cell_lines_AML_6844_lociStitched;;BCL6;BCL6;
1_merged_PDX_cell_lines_AML_6845_lociStitched;SMS;PHEX;PHEX;
1_merged_PDX_cell_lines_AML_6846_lociStitched;;CCNE2 TP53INP1;CCNE2;
1_merged_PDX_cell_lines_AML_6847_lociStitched;AMZ2P1;LRRC37A3;AMZ2P1;
1_merged_PDX_cell_lines_AML_6848_lociStitched;;;C14orf180;
1_merged_PDX_cell_lines_AML_6849_lociStitched;PASK;PPP1R7 MTERFD2;MTERFD2;
1_merged_PDX_cell_lines_AML_685_lociStitched;SEPT6;MIR766;SEPT6;
1_merged_PDX_cell_lines_AML_6850_lociStitched;EIF2C2;;EIF2C2;
1_merged_PDX_cell_lines_AML_6851_lociStitched;LRRC38;;LRRC38;
1_merged_PDX_cell_lines_AML_6852_lociStitched;;;LYZL2;
1_merged_PDX_cell_lines_AML_6853_lociStitched;CNTN1;;CNTN1;
1_merged_PDX_cell_lines_AML_6854_lociStitched;;;GPR26;
1_merged_PDX_cell_lines_AML_6855_lociStitched;FTO;;FTO;
1_merged_PDX_cell_lines_AML_6856_lociStitched;LBH;;LBH;
1_merged_PDX_cell_lines_AML_6857_lociStitched;RCAN2;ENPP5;ENPP5;
1_merged_PDX_cell_lines_AML_6858_lociStitched;ALOX5AP;;ALOX5AP;
1_merged_PDX_cell_lines_AML_6859_lociStitched;ST8SIA1;;ST8SIA1;
1_merged_PDX_cell_lines_AML_686_lociStitched;;;CXCR4;
1_merged_PDX_cell_lines_AML_6860_lociStitched;CLCA1;CLCA4;CLCA1;
1_merged_PDX_cell_lines_AML_6861_lociStitched;ADM;SBF2;ADM;
1_merged_PDX_cell_lines_AML_6862_lociStitched;TTC7B;;TTC7B;
1_merged_PDX_cell_lines_AML_6863_lociStitched;SFXN3 PDZD7;LZTS2 KAZALD1 MRPL43 C10orf2;PDZD7;
1_merged_PDX_cell_lines_AML_6864_lociStitched;;;PDE7A;
1_merged_PDX_cell_lines_AML_6865_lociStitched;;SCG3 DMXL2;DMXL2;
1_merged_PDX_cell_lines_AML_6866_lociStitched;PIP5K1B;FAM122A;FAM122A;
1_merged_PDX_cell_lines_AML_6867_lociStitched;RASGEF1B;;RASGEF1B;
1_merged_PDX_cell_lines_AML_6868_lociStitched;ALS2;CDK15;ALS2;
1_merged_PDX_cell_lines_AML_6869_lociStitched;;CYBB;CYBB;
1_merged_PDX_cell_lines_AML_687_lociStitched;C13orf18;;C13orf18;
1_merged_PDX_cell_lines_AML_6870_lociStitched;ZNF556;ZNF555 ZNF554 ZNF57;ZNF556;
1_merged_PDX_cell_lines_AML_6871_lociStitched;MED13L;;MED13L;
1_merged_PDX_cell_lines_AML_6872_lociStitched;CNBP;ISY1 CNBP;CNBP;
1_merged_PDX_cell_lines_AML_6873_lociStitched;SLC31A2;NCRNA00256B NCRNA00256A;SLC31A2;
1_merged_PDX_cell_lines_AML_6874_lociStitched;;;PSD3;
1_merged_PDX_cell_lines_AML_6875_lociStitched;;;TET2;
1_merged_PDX_cell_lines_AML_6876_lociStitched;FRMD8;NEAT1 TIGD3 SLC25A45 MIR612;FRMD8;
1_merged_PDX_cell_lines_AML_6877_lociStitched;GPR124;BRF2;BRF2;
1_merged_PDX_cell_lines_AML_6878_lociStitched;WDR25;BEGAIN;BEGAIN;
1_merged_PDX_cell_lines_AML_6879_lociStitched;;HAMP USF2 MAG CD22 FFAR1 FFAR3;CD22;
1_merged_PDX_cell_lines_AML_688_lociStitched;;;ARID1B;
1_merged_PDX_cell_lines_AML_6880_lociStitched;CLIP1;CLIP1;CLIP1;
1_merged_PDX_cell_lines_AML_6881_lociStitched;;;GCNT1;
1_merged_PDX_cell_lines_AML_6882_lociStitched;KIAA1731;SNORA8 SNORA40 SNORA1 SNORD6 SNORA25 SCARNA9 C11orf54 MIR1304 SNORA32 SNORA18 SNORD5 TAF1D;SCARNA9;
1_merged_PDX_cell_lines_AML_6883_lociStitched;ANXA11;ANXA11 PLAC9;PLAC9;
1_merged_PDX_cell_lines_AML_6884_lociStitched;PTK2;PTK2;PTK2;
1_merged_PDX_cell_lines_AML_6885_lociStitched;;;ANO1;
1_merged_PDX_cell_lines_AML_6886_lociStitched;ARHGAP6;;AMELX;
1_merged_PDX_cell_lines_AML_6887_lociStitched;PNRC2;CNR2 SRSF10;PNRC2;
1_merged_PDX_cell_lines_AML_6888_lociStitched;CD22;MAG FFAR1 HAMP FFAR3;CD22;
1_merged_PDX_cell_lines_AML_6889_lociStitched;ATP10A;;ATP10A;
1_merged_PDX_cell_lines_AML_689_lociStitched;;;C22orf34;
1_merged_PDX_cell_lines_AML_6890_lociStitched;;;BAMBI;
1_merged_PDX_cell_lines_AML_6891_lociStitched;;APOBEC3B APOBEC3A;APOBEC3A;
1_merged_PDX_cell_lines_AML_6892_lociStitched;POU6F2;;C7orf36;
1_merged_PDX_cell_lines_AML_6893_lociStitched;STAMBPL1;ANKRD22 ACTA2;STAMBPL1;
1_merged_PDX_cell_lines_AML_6894_lociStitched;;C14orf156 ALKBH1 SPTLC2;SPTLC2;
1_merged_PDX_cell_lines_AML_6895_lociStitched;MAT2A;VAMP8 VAMP5 GGCX;MAT2A;
1_merged_PDX_cell_lines_AML_6896_lociStitched;ELP3;;ELP3;
1_merged_PDX_cell_lines_AML_6897_lociStitched;;;STC2;
1_merged_PDX_cell_lines_AML_6898_lociStitched;NKIRAS2;NKIRAS2 DNAJC7;NKIRAS2;
1_merged_PDX_cell_lines_AML_6899_lociStitched;KIAA0922;KIAA0922;KIAA0922;
1_merged_PDX_cell_lines_AML_69_lociStitched;ZEB2;;ZEB2;
1_merged_PDX_cell_lines_AML_690_lociStitched;IGF2R;;IGF2R;
1_merged_PDX_cell_lines_AML_6900_lociStitched;SDC3;;SDC3;
1_merged_PDX_cell_lines_AML_6901_lociStitched;CDKAL1;;SOX4;
1_merged_PDX_cell_lines_AML_6902_lociStitched;MIR3188 JUND;LSM4 PDE4C LOC729966 KIAA1683;JUND;
1_merged_PDX_cell_lines_AML_6903_lociStitched;MYO5A;;MYO5C;
1_merged_PDX_cell_lines_AML_6904_lociStitched;DYNC1I1;;MIR591;
1_merged_PDX_cell_lines_AML_6905_lociStitched;;C10orf128;C10orf128;
1_merged_PDX_cell_lines_AML_6906_lociStitched;NFKBIZ;;NFKBIZ;
1_merged_PDX_cell_lines_AML_6907_lociStitched;;GLT1D1 SLC15A4;GLT1D1;
1_merged_PDX_cell_lines_AML_6908_lociStitched;DKFZP686I15217;DKFZP686I15217 LOC401233 NQO2 SERPINB6;DKFZP686I15217;
1_merged_PDX_cell_lines_AML_6909_lociStitched;UBE2R2;PRSS3;UBE2R2;
1_merged_PDX_cell_lines_AML_691_lociStitched;RCBTB2;LPAR6;RCBTB2;
1_merged_PDX_cell_lines_AML_6910_lociStitched;;TNP1;TNP1;
1_merged_PDX_cell_lines_AML_6911_lociStitched;HMGN1;WRB BRWD1 NCRNA00257;HMGN1;
1_merged_PDX_cell_lines_AML_6912_lociStitched;;;H2AFY;
1_merged_PDX_cell_lines_AML_6913_lociStitched;LOC284788;;LOC284788;
1_merged_PDX_cell_lines_AML_6914_lociStitched;MIAT;CRYBA4;MIAT;
1_merged_PDX_cell_lines_AML_6915_lociStitched;;;NUF2;
1_merged_PDX_cell_lines_AML_6916_lociStitched;TTC28;;TTC28;
1_merged_PDX_cell_lines_AML_6917_lociStitched;S1PR4;NCLN CELF5 GNA15;S1PR4;
1_merged_PDX_cell_lines_AML_6918_lociStitched;ASB4;;ASB4;
1_merged_PDX_cell_lines_AML_6919_lociStitched;DAPK1;;DAPK1;
1_merged_PDX_cell_lines_AML_692_lociStitched;FOXK2;WDR45L;WDR45L;
1_merged_PDX_cell_lines_AML_6920_lociStitched;;;KIT;
1_merged_PDX_cell_lines_AML_6921_lociStitched;SRPK2;;MLL5;
1_merged_PDX_cell_lines_AML_6922_lociStitched;DOK6;;DOK6;
1_merged_PDX_cell_lines_AML_6923_lociStitched;;;ZBTB10;
1_merged_PDX_cell_lines_AML_6924_lociStitched;;;LRRC30;
1_merged_PDX_cell_lines_AML_6925_lociStitched;APOLD1;APOLD1 CDKN1B MIR613 GPR19;APOLD1;
1_merged_PDX_cell_lines_AML_6926_lociStitched;;;SH2D4B;
1_merged_PDX_cell_lines_AML_6927_lociStitched;;DLK1;DLK1;
1_merged_PDX_cell_lines_AML_6928_lociStitched;VGLL4;VGLL4;VGLL4;
1_merged_PDX_cell_lines_AML_6929_lociStitched;MRPS27;;MRPS27;
1_merged_PDX_cell_lines_AML_693_lociStitched;;MAP2K3 KCNJ12 KCNJ18;KCNJ12;
1_merged_PDX_cell_lines_AML_6930_lociStitched;MLLT1;;MLLT1;
1_merged_PDX_cell_lines_AML_6931_lociStitched;;DYX1C1;DYX1C1;
1_merged_PDX_cell_lines_AML_6932_lociStitched;;NDST1 RPS14;NDST1;
1_merged_PDX_cell_lines_AML_6933_lociStitched;;NFKBIZ LOC152225;LOC152225;
1_merged_PDX_cell_lines_AML_6934_lociStitched;FAM129A;;FAM129A;
1_merged_PDX_cell_lines_AML_6935_lociStitched;;;CSMD3;
1_merged_PDX_cell_lines_AML_6936_lociStitched;;SSPN BHLHE41;BHLHE41;
1_merged_PDX_cell_lines_AML_6937_lociStitched;WDR20;;WDR20;
1_merged_PDX_cell_lines_AML_6938_lociStitched;SLC39A14;SLC39A14 PPP3CC;SLC39A14;
1_merged_PDX_cell_lines_AML_6939_lociStitched;;;SNRPN;
1_merged_PDX_cell_lines_AML_694_lociStitched;NINJ2;;NINJ2;
1_merged_PDX_cell_lines_AML_6940_lociStitched;SLC1A2;;SLC1A2;
1_merged_PDX_cell_lines_AML_6941_lociStitched;C6orf62;ACOT13 TDP2;C6orf62;
1_merged_PDX_cell_lines_AML_6942_lociStitched;;;SST;
1_merged_PDX_cell_lines_AML_6943_lociStitched;KLHL14;;KLHL14;
1_merged_PDX_cell_lines_AML_6944_lociStitched;ENTPD1;ENTPD1;ENTPD1;
1_merged_PDX_cell_lines_AML_6945_lociStitched;CBLB;;CBLB;
1_merged_PDX_cell_lines_AML_6946_lociStitched;;;CDK14;
1_merged_PDX_cell_lines_AML_6947_lociStitched;TSHZ2;TSHZ2;TSHZ2;
1_merged_PDX_cell_lines_AML_6948_lociStitched;;HLA-DOA HLA-DPA1 HLA-DPB1;HLA-DOA;
1_merged_PDX_cell_lines_AML_6949_lociStitched;GALNTL6;;GALNTL6;
1_merged_PDX_cell_lines_AML_695_lociStitched;RASSF8;RASSF8;RASSF8;
1_merged_PDX_cell_lines_AML_6950_lociStitched;;NPTX2;NPTX2;
1_merged_PDX_cell_lines_AML_6951_lociStitched;CEACAM4;CEACAM21;CEACAM4;
1_merged_PDX_cell_lines_AML_6952_lociStitched;THBS1;;THBS1;
1_merged_PDX_cell_lines_AML_6953_lociStitched;FRMD4B;;FRMD4B;
1_merged_PDX_cell_lines_AML_6954_lociStitched;C7orf58;;WNT16;
1_merged_PDX_cell_lines_AML_6955_lociStitched;PREX1;;PREX1;
1_merged_PDX_cell_lines_AML_6956_lociStitched;ARHGEF38;;ARHGEF38;
1_merged_PDX_cell_lines_AML_6957_lociStitched;RPLP0P2;DAGLA;RPLP0P2;
1_merged_PDX_cell_lines_AML_6958_lociStitched;;;PLA2G4A;
1_merged_PDX_cell_lines_AML_6959_lociStitched;;;RGMA;
1_merged_PDX_cell_lines_AML_696_lociStitched;LRRFIP1;;LRRFIP1;
1_merged_PDX_cell_lines_AML_6960_lociStitched;;S100A13 S100A1 S100A2 S100A14 S100A3 S100A16 C1orf77;S100A16;
1_merged_PDX_cell_lines_AML_6961_lociStitched;C12orf10 PFDN5;SP7 PFDN5 MFSD5 AAAS ESPL1;C12orf10;
1_merged_PDX_cell_lines_AML_6962_lociStitched;UBE2E1;UBE2E1;UBE2E1;
1_merged_PDX_cell_lines_AML_6963_lociStitched;MMP9;SLC12A5 ZNF335;MMP9;
1_merged_PDX_cell_lines_AML_6964_lociStitched;FBXL17;;FBXL17;
1_merged_PDX_cell_lines_AML_6965_lociStitched;IREB2;;IREB2;
1_merged_PDX_cell_lines_AML_6966_lociStitched;NFATC1;;NFATC1;
1_merged_PDX_cell_lines_AML_6967_lociStitched;;C18orf8 RIOK3 C18orf45;C18orf8;
1_merged_PDX_cell_lines_AML_6968_lociStitched;GOLPH3;;GOLPH3;
1_merged_PDX_cell_lines_AML_6969_lociStitched;;TMPRSS5;TMPRSS5;
1_merged_PDX_cell_lines_AML_697_lociStitched;FAM65A CTCF;CTCF;CTCF;
1_merged_PDX_cell_lines_AML_6970_lociStitched;SNORD42B RPL23A SNORD4A SNORD4B RAB34 SNORD42A;RAB34 PROCA1 NEK8 TLCD1 TRAF4;RPL23A;
1_merged_PDX_cell_lines_AML_6971_lociStitched;FSCN1;;FSCN1;
1_merged_PDX_cell_lines_AML_6972_lociStitched;MERTK;ANAPC1;MERTK;
1_merged_PDX_cell_lines_AML_6973_lociStitched;;;TBL1XR1;
1_merged_PDX_cell_lines_AML_6974_lociStitched;GAB2;GAB2;GAB2;
1_merged_PDX_cell_lines_AML_6975_lociStitched;ANXA11;ANXA11;ANXA11;
1_merged_PDX_cell_lines_AML_6976_lociStitched;PGS1;;PGS1;
1_merged_PDX_cell_lines_AML_6977_lociStitched;AP1G1;AP1G1 ATXN1L SNORD71;AP1G1;
1_merged_PDX_cell_lines_AML_6978_lociStitched;;;TSN;
1_merged_PDX_cell_lines_AML_6979_lociStitched;C14orf104;MGAT2 PPIL5 RPL36AL RPS29 C14orf104;C14orf104;
1_merged_PDX_cell_lines_AML_698_lociStitched;;;;
1_merged_PDX_cell_lines_AML_6980_lociStitched;DYNC1I1;;MIR591;
1_merged_PDX_cell_lines_AML_6981_lociStitched;FRYL;;FRYL;
1_merged_PDX_cell_lines_AML_6982_lociStitched;DENND1B;;DENND1B;
1_merged_PDX_cell_lines_AML_6983_lociStitched;ABI3;PHOSPHO1 GNGT2 FLJ40194 ABI3;GNGT2;
1_merged_PDX_cell_lines_AML_6984_lociStitched;PSAP CDH23;C10orf54 PSAP;CDH23;
1_merged_PDX_cell_lines_AML_6985_lociStitched;SLC9A7;;SLC9A7;
1_merged_PDX_cell_lines_AML_6986_lociStitched;NCRNA00168 ADARB2;;NCRNA00168;
1_merged_PDX_cell_lines_AML_6987_lociStitched;;;FAM169A;
1_merged_PDX_cell_lines_AML_6988_lociStitched;;;DAAM1;
1_merged_PDX_cell_lines_AML_6989_lociStitched;ITGB8;;ITGB8;
1_merged_PDX_cell_lines_AML_699_lociStitched;ASTN2;LOC100128505;LOC100128505;
1_merged_PDX_cell_lines_AML_6990_lociStitched;BAZ2B;;BAZ2B;
1_merged_PDX_cell_lines_AML_6991_lociStitched;IGF2R;;IGF2R;
1_merged_PDX_cell_lines_AML_6992_lociStitched;;LOC149134;LOC149134;
1_merged_PDX_cell_lines_AML_6993_lociStitched;;;PABPC4L;
1_merged_PDX_cell_lines_AML_6994_lociStitched;FGF10;;FGF10;
1_merged_PDX_cell_lines_AML_6995_lociStitched;;;PARD3B;
1_merged_PDX_cell_lines_AML_6996_lociStitched;;;C9orf106;
1_merged_PDX_cell_lines_AML_6997_lociStitched;;ZDHHC2;ZDHHC2;
1_merged_PDX_cell_lines_AML_6998_lociStitched;SH2D2A NTRK1;SH2D2A PRCC INSRR NTRK1;NTRK1;
1_merged_PDX_cell_lines_AML_6999_lociStitched;SPRY2;;SPRY2;
1_merged_PDX_cell_lines_AML_7_lociStitched;MSI2;;MSI2;
1_merged_PDX_cell_lines_AML_70_lociStitched;XYLT1;;XYLT1;
1_merged_PDX_cell_lines_AML_700_lociStitched;SUPT3H MIR586;;MIR586;
1_merged_PDX_cell_lines_AML_7000_lociStitched;;MRPS33;MRPS33;
1_merged_PDX_cell_lines_AML_7001_lociStitched;BIN1;BIN1;BIN1;
1_merged_PDX_cell_lines_AML_7002_lociStitched;;;SFMBT2;
1_merged_PDX_cell_lines_AML_7003_lociStitched;;;ACTRT2;
1_merged_PDX_cell_lines_AML_7004_lociStitched;FAM38B;;FAM38B;
1_merged_PDX_cell_lines_AML_7005_lociStitched;SYT17;;SYT17;
1_merged_PDX_cell_lines_AML_7006_lociStitched;;;LPP;
1_merged_PDX_cell_lines_AML_7007_lociStitched;;PPP1R3G RPP40;PPP1R3G;
1_merged_PDX_cell_lines_AML_7008_lociStitched;;;QKI;
1_merged_PDX_cell_lines_AML_7009_lociStitched;OXR1;;OXR1;
1_merged_PDX_cell_lines_AML_701_lociStitched;TCF4;;TCF4;
1_merged_PDX_cell_lines_AML_7010_lociStitched;PATZ1;PIK3IP1 PATZ1;PATZ1;
1_merged_PDX_cell_lines_AML_7011_lociStitched;;LOC730441;LOC730441;
1_merged_PDX_cell_lines_AML_7012_lociStitched;ANKRD17;;ANKRD17;
1_merged_PDX_cell_lines_AML_7013_lociStitched;LOC729178;;LOC729176;
1_merged_PDX_cell_lines_AML_7014_lociStitched;PIGT;DBNDD2 WFDC2 TP53TG5;PIGT;
1_merged_PDX_cell_lines_AML_7015_lociStitched;LIMD1;;LIMD1;
1_merged_PDX_cell_lines_AML_7016_lociStitched;ESYT1;ESYT1 MYL6 ERBB3 RPL41 PA2G4 ZC3H10 MYL6B;ESYT1;
1_merged_PDX_cell_lines_AML_7017_lociStitched;SLC37A2;TMEM218;SLC37A2;
1_merged_PDX_cell_lines_AML_7018_lociStitched;SETD7;;SETD7;
1_merged_PDX_cell_lines_AML_7019_lociStitched;KLHL6;;KLHL6;
1_merged_PDX_cell_lines_AML_702_lociStitched;;;MIR181A1;
1_merged_PDX_cell_lines_AML_7020_lociStitched;RAB10;;RAB10;
1_merged_PDX_cell_lines_AML_7021_lociStitched;SREBF1;MIR33B SMCR5;MIR33B;
1_merged_PDX_cell_lines_AML_7022_lociStitched;;OR4N3P;OR4N3P;
1_merged_PDX_cell_lines_AML_7023_lociStitched;;CDC25B C20orf29 MAVS PANK2;MAVS;
1_merged_PDX_cell_lines_AML_7024_lociStitched;PLCB1;;PLCB1;
1_merged_PDX_cell_lines_AML_7025_lociStitched;HLA-DMA;BRD2 HLA-DMB;HLA-DMA;
1_merged_PDX_cell_lines_AML_7026_lociStitched;AIM1;;AIM1;
1_merged_PDX_cell_lines_AML_7027_lociStitched;KCNN3;;KCNN3;
1_merged_PDX_cell_lines_AML_7028_lociStitched;;MTRNR2L6;MTRNR2L6;
1_merged_PDX_cell_lines_AML_7029_lociStitched;;CBX2 CBX4 CBX8;CBX4;
1_merged_PDX_cell_lines_AML_703_lociStitched;SCARB2;FAM47E NUP54;SCARB2;
1_merged_PDX_cell_lines_AML_7030_lociStitched;GP9;;GP9;
1_merged_PDX_cell_lines_AML_7031_lociStitched;;UNCX ZFAND2A;ZFAND2A;
1_merged_PDX_cell_lines_AML_7032_lociStitched;MIR612;NEAT1;MIR612;
1_merged_PDX_cell_lines_AML_7033_lociStitched;FHL2;;FHL2;
1_merged_PDX_cell_lines_AML_7034_lociStitched;;;UACA;
1_merged_PDX_cell_lines_AML_7035_lociStitched;;;MEF2C;
1_merged_PDX_cell_lines_AML_7036_lociStitched;;;TWIST2;
1_merged_PDX_cell_lines_AML_7037_lociStitched;FBRSL1;;FBRSL1;
1_merged_PDX_cell_lines_AML_7038_lociStitched;ELMO1;;ELMO1;
1_merged_PDX_cell_lines_AML_7039_lociStitched;;;SAMSN1;
1_merged_PDX_cell_lines_AML_704_lociStitched;GUCY1A3;;GUCY1A3;
1_merged_PDX_cell_lines_AML_7040_lociStitched;;C18orf8 RIOK3;C18orf8;
1_merged_PDX_cell_lines_AML_7041_lociStitched;;CBX7;CBX7;
1_merged_PDX_cell_lines_AML_7042_lociStitched;SOX5;;SOX5;
1_merged_PDX_cell_lines_AML_7043_lociStitched;;GAPT RAB3C;RAB3C;
1_merged_PDX_cell_lines_AML_7044_lociStitched;PCGF3;MFSD7 MYL5 ATP5I;PCGF3;
1_merged_PDX_cell_lines_AML_7045_lociStitched;SNX8;;SNX8;
1_merged_PDX_cell_lines_AML_7046_lociStitched;;FBXO33;FBXO33;
1_merged_PDX_cell_lines_AML_7047_lociStitched;PLEKHA7;;PLEKHA7;
1_merged_PDX_cell_lines_AML_7048_lociStitched;STK4;TOMM34;STK4;
1_merged_PDX_cell_lines_AML_7049_lociStitched;GTF3A;MTIF3;GTF3A;
1_merged_PDX_cell_lines_AML_705_lociStitched;;;;
1_merged_PDX_cell_lines_AML_7050_lociStitched;;ZSCAN5A;ZSCAN5A;
1_merged_PDX_cell_lines_AML_7051_lociStitched;FAM124B;FAM124B;FAM124B;
1_merged_PDX_cell_lines_AML_7052_lociStitched;;NNMT;NNMT;
1_merged_PDX_cell_lines_AML_7053_lociStitched;RBM4 RBM14-RBM4;CCS CCDC87 RBM4B;RBM4;
1_merged_PDX_cell_lines_AML_7054_lociStitched;MAD1L1;;MAD1L1;
1_merged_PDX_cell_lines_AML_7055_lociStitched;CDC14A;;CDC14A;
1_merged_PDX_cell_lines_AML_7056_lociStitched;;;KCNV1;
1_merged_PDX_cell_lines_AML_7057_lociStitched;PBRM1;SPCS1 GLT8D1 SNORD19B SNORD19 GNL3 PBRM1 SNORD69;PBRM1;
1_merged_PDX_cell_lines_AML_7058_lociStitched;IPCEF1;;IPCEF1;
1_merged_PDX_cell_lines_AML_7059_lociStitched;DIP2B;;DIP2B;
1_merged_PDX_cell_lines_AML_706_lociStitched;TTC7B;;TTC7B;
1_merged_PDX_cell_lines_AML_7060_lociStitched;;SMAD6;SMAD6;
1_merged_PDX_cell_lines_AML_7061_lociStitched;C1GALT1;;C1GALT1;
1_merged_PDX_cell_lines_AML_7062_lociStitched;HIVEP3;HIVEP3;HIVEP3;
1_merged_PDX_cell_lines_AML_7063_lociStitched;IL6R;IL6R;IL6R;
1_merged_PDX_cell_lines_AML_7064_lociStitched;CSGALNACT2;;CSGALNACT2;
1_merged_PDX_cell_lines_AML_7065_lociStitched;;DHRS9 ABCB11;ABCB11;
1_merged_PDX_cell_lines_AML_7066_lociStitched;;ALOX12;ALOX12;
1_merged_PDX_cell_lines_AML_7067_lociStitched;;;NCRNA00221;
1_merged_PDX_cell_lines_AML_7068_lociStitched;IL19;IL20;IL19;
1_merged_PDX_cell_lines_AML_7069_lociStitched;IFT122;MBD4 RPL32P3 C3orf25 SNORA7B;IFT122;
1_merged_PDX_cell_lines_AML_707_lociStitched;MAPKAPK3;C3orf18 HEMK1 CISH DOCK3;MAPKAPK3;
1_merged_PDX_cell_lines_AML_7070_lociStitched;;;SSFA2;
1_merged_PDX_cell_lines_AML_7071_lociStitched;B4GALT6;TTR;TTR;
1_merged_PDX_cell_lines_AML_7072_lociStitched;GRIP1;;HELB;
