;;;;
REGION_ID;OVERLAP_GENES;PROXIMAL_GENES;CLOSEST_GENE;
1_merged_PDX_cell_lines_AML_10187_lociStitched;ATN1;SCARNA12 C12orf57 PTPN6 PHB2 DSTNP2 LRRC23 EMG1 MIR141 ENO2 MIR200C;C12orf57;
1_merged_PDX_cell_lines_AML_10188_lociStitched;LOC283299;OR5E1P OR10A6 OR10A3;LOC283299;
1_merged_PDX_cell_lines_AML_10189_lociStitched;LHFPL2;;LHFPL2;
1_merged_PDX_cell_lines_AML_1019_lociStitched;ADCY9;;ADCY9;
1_merged_PDX_cell_lines_AML_10190_lociStitched;CNNM2;CNNM2;CNNM2;
1_merged_PDX_cell_lines_AML_10191_lociStitched;NTM;;NTM;
1_merged_PDX_cell_lines_AML_10192_lociStitched;AFAP1;;AFAP1-AS1;
1_merged_PDX_cell_lines_AML_10193_lociStitched;RGL4 LOC91316;;RGL4;
1_merged_PDX_cell_lines_AML_10194_lociStitched;;;IVNS1ABP;
1_merged_PDX_cell_lines_AML_10195_lociStitched;;;ST3GAL1;
1_merged_PDX_cell_lines_AML_10196_lociStitched;;CNIH3;CNIH3;
1_merged_PDX_cell_lines_AML_10197_lociStitched;ENOPH1 HNRPDL;HNRPDL;HNRPDL;
1_merged_PDX_cell_lines_AML_10198_lociStitched;CDH13;;HSBP1;
1_merged_PDX_cell_lines_AML_10199_lociStitched;MSH6;;MSH6;
1_merged_PDX_cell_lines_AML_102_lociStitched;;MIR181A1 MIR181B1;MIR181A1;
1_merged_PDX_cell_lines_AML_1020_lociStitched;NCKAP1;NCKAP1 DUSP19;NCKAP1;
1_merged_PDX_cell_lines_AML_10200_lociStitched;CSNK1E;TMEM184B;CSNK1E;
1_merged_PDX_cell_lines_AML_10201_lociStitched;;;MSN;
1_merged_PDX_cell_lines_AML_10202_lociStitched;FOXN3;LOC400236;FOXN3;
1_merged_PDX_cell_lines_AML_10203_lociStitched;;;MEF2C;
1_merged_PDX_cell_lines_AML_10204_lociStitched;JAK1;;JAK1;
1_merged_PDX_cell_lines_AML_10205_lociStitched;;;ABCA1;
1_merged_PDX_cell_lines_AML_10206_lociStitched;HMGN3;HMGN3;HMGN3;
1_merged_PDX_cell_lines_AML_10207_lociStitched;TMCO3 DCUN1D2;ADPRHL1;TMCO3;
1_merged_PDX_cell_lines_AML_10208_lociStitched;CLASP2;;CLASP2;
1_merged_PDX_cell_lines_AML_10209_lociStitched;;;FAM9C;
1_merged_PDX_cell_lines_AML_1021_lociStitched;CHD9;;CHD9;
1_merged_PDX_cell_lines_AML_10210_lociStitched;MIR1248 SNORA63 SNORA81 EIF4A2 SNORD2 SNORA4;RFC4;SNORD2;
1_merged_PDX_cell_lines_AML_10211_lociStitched;;;RGS3;
1_merged_PDX_cell_lines_AML_10212_lociStitched;;TM9SF2;TM9SF2;
1_merged_PDX_cell_lines_AML_10213_lociStitched;;;CDRT7;
1_merged_PDX_cell_lines_AML_10214_lociStitched;MYLIP;;MYLIP;
1_merged_PDX_cell_lines_AML_10215_lociStitched;;;C1orf57;
1_merged_PDX_cell_lines_AML_10216_lociStitched;THADA;;LOC100129726;
1_merged_PDX_cell_lines_AML_10217_lociStitched;;C17orf77 CD300E CD300LD RAB37;CD300E;
1_merged_PDX_cell_lines_AML_10218_lociStitched;RSPH4A;RSPH4A KPNA5 ZUFSP;RSPH4A;
1_merged_PDX_cell_lines_AML_10219_lociStitched;UGGT1;;UGGT1;
1_merged_PDX_cell_lines_AML_1022_lociStitched;ARHGAP24;;ARHGAP24;
1_merged_PDX_cell_lines_AML_10220_lociStitched;KCNJ15;;KCNJ15;
1_merged_PDX_cell_lines_AML_10221_lociStitched;STAT3;;STAT3;
1_merged_PDX_cell_lines_AML_10222_lociStitched;HIVEP2;;HIVEP2;
1_merged_PDX_cell_lines_AML_10223_lociStitched;VAV3;;VAV3;
1_merged_PDX_cell_lines_AML_10224_lociStitched;SEL1L2;;C20orf7;
1_merged_PDX_cell_lines_AML_10225_lociStitched;ZMYM2;ZMYM2;ZMYM2;
1_merged_PDX_cell_lines_AML_10226_lociStitched;;;NCRNA00173;
1_merged_PDX_cell_lines_AML_10227_lociStitched;ELMO1;;ELMO1;
1_merged_PDX_cell_lines_AML_10228_lociStitched;ATF1;;ATF1;
1_merged_PDX_cell_lines_AML_10229_lociStitched;SAMD4A;;SAMD4A;
1_merged_PDX_cell_lines_AML_1023_lociStitched;;;LTA4H;
1_merged_PDX_cell_lines_AML_10230_lociStitched;UBR4;;UBR4;
1_merged_PDX_cell_lines_AML_10231_lociStitched;;;ZNF281;
1_merged_PDX_cell_lines_AML_10232_lociStitched;PTK2;PTK2;PTK2;
1_merged_PDX_cell_lines_AML_10233_lociStitched;SLC9A8;SPATA2 RNF114;SPATA2;
1_merged_PDX_cell_lines_AML_10234_lociStitched;CCNE2;;CCNE2;
1_merged_PDX_cell_lines_AML_10235_lociStitched;;ID2;ID2;
1_merged_PDX_cell_lines_AML_10236_lociStitched;GNG7;;GNG7;
1_merged_PDX_cell_lines_AML_10237_lociStitched;RPL24;ZBTB11 LOC100009676 LOC285359 CEP97;RPL24;
1_merged_PDX_cell_lines_AML_10238_lociStitched;;;HABP2;
1_merged_PDX_cell_lines_AML_10239_lociStitched;NEDD9;;NEDD9;
1_merged_PDX_cell_lines_AML_1024_lociStitched;RELT;;RELT;
1_merged_PDX_cell_lines_AML_10240_lociStitched;DIS3L2;;DIS3L2;
1_merged_PDX_cell_lines_AML_10241_lociStitched;VDR;VDR;VDR;
1_merged_PDX_cell_lines_AML_10242_lociStitched;;PTGS1;PTGS1;
1_merged_PDX_cell_lines_AML_10243_lociStitched;FLJ31306;PSMA3 ARID4A;FLJ31306;
1_merged_PDX_cell_lines_AML_10244_lociStitched;RPL32 SNORA7A;CAND2 RPL32;RPL32;
1_merged_PDX_cell_lines_AML_10245_lociStitched;MYST4;;MYST4;
1_merged_PDX_cell_lines_AML_10246_lociStitched;KIF13A;;KIF13A;
1_merged_PDX_cell_lines_AML_10247_lociStitched;;;DYRK1A;
1_merged_PDX_cell_lines_AML_10248_lociStitched;CALN1;;CALN1;
