KO,AAVS1,,,,MEIS1,,,
gene_id,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
ACTG1P25,2,12,7,8,6,4,2,7
ACTG1P3,0,3,2,3,3,1,0,2
ACTG1P4,0.65,0,0.02,1.33,1.79,2.63,0,0
ACTL10,30,48,40,25,26,12,18,48
ACTL6A,1663,2572,2785,1877,1722,1610,1593,3499
ACTL6B,0,0,1,0,0,0,0,0
ACTL7A,0,0,0,0,0,0,0,1
ACTL7B,0,0,0,1,0,0,0,1
ACTL8,4,9,6,4,3,2,2,5
ACTN1,5244,8411,7497.7,5312.4,3999,3262.7,3457.8,6805.9
ACTN1-DT,1,1,3,1,0,1,0,1
ACTN2,1,2,0,0,0,0,1,0
ACTN3,0,1,1,0,0,0,0,0
ACTN4,10472,16301,14680,10786,7702,6918,6783.9,14654
ACTN4P1,0,2,1,2,1,1,0,1
ACTR10,418,751,779,462,447,431,476,884
ACTR1A,1190,2216.1,2008.9,1417,1267.4,1069,993,2206.2
ACTR1B,603,1364,1296,786,703,563,606,1213
ACTR2,22752,30499,33932,26679,20991,23515,20871,44463
ACTR3,7491,11052,12760,9174,8030,8405,7877,16330
ACTR3B,84,167,161,111,118,118.76,98,208
ACTR3P2,0,0,0,0,0,1,0,1
ACTR5,167,280,289,183,182,136,115,306
ACTR6,366,556,694,502,417,445,424,880
ACTR8,645,954,971,625,521,462,455,1009
ACTRT3,25,42,39.92,34,18,18,10,48
ACVR1,109,144,157,106,75,88,99,161
ACVR1B,283,491,540,313,286,226,261,486
ACVR1C,2,1,2,4,0,0,5,0
ACVR2A,43.76,47.42,54.48,39.26,16.27,40.02,29,43.74
ACVR2B,309,443,477,355,240,237,238,499
ACVR2B-AS1,2,6,1,9,0,4,1,3
ACVRL1,62,115,107,79,84,79,89,174
ACY1,618.53,1430.4,1165.9,698.66,644.18,490.83,518.82,1182.2
ACY3,11,30,10,14,9,9,10,23
ACYP1,105,180,199,128.82,95,88,90,222
ACYP2,49,106,74,62,58.46,58,46,92
ADA,506,1016,989,553,510,411,427,935
ADA2,528,779,729,516,663,615,664,1276
