"GENE","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPL23AP55",0.670494653394011,-2.06902204550117,1.93470939058983,-1.06942265105272,0.2848792652184,NA
"RPL23AP57",0.139246524293903,0.576967393396379,3.5338115409304,0.16327056118122,0.870305411629556,NA
"RPL23AP58",0.665988954674893,1.69577146269542,2.18219194708667,0.777095463558722,0.437102450221446,NA
"RPL23AP60",1.43539806612692,-4.04958509660114,3.41183471126931,-1.18692300164053,0.235257993504505,NA
"RPL23AP64",0.964051817558919,0.381564916741887,1.79174210967817,0.212957498001999,0.831360113910509,NA
"RPL23AP65",2.51724323404653,0.152095345840335,1.03406562474454,0.147084809900637,0.883065079416369,NA
"RPL23AP7",97.8377148694607,-0.237401417440337,0.171340283691296,-1.38555517900311,0.165882772442817,0.497541982217912
"RPL23AP70",0.116354552227894,-0.865705127002894,3.5338115409304,-0.244977729280653,0.806473675486565,NA
"RPL23AP74",3.05420036749376,0.0722143450138057,0.934468200959276,0.0772785472418154,0.938401956684787,NA
"RPL23AP75",0.355288548244086,0.602443137990642,2.93095327985124,0.205545118078859,0.837146251397518,NA
"RPL23AP81",2.60257751699388,-0.822240580330334,1.15543074715378,-0.711631209707543,0.476693175474919,NA
"RPL23AP82",257.018508807181,0.0276758352959873,0.123709799145489,0.223715788782739,0.822978459635403,0.93403530384073
"RPL23AP86",0.644781814381796,0.799084399938046,1.83386906173107,0.435736889079614,0.663027637962347,NA
"RPL23AP87",3.05332444721836,0.235412268063769,1.02047578869002,0.230688734287334,0.817556626228526,NA
"RPL23AP88",3.50971120598412,1.20499243444205,2.21280760519719,0.544553639282465,0.586060547518294,NA
"RPL23AP95",0.107039166450901,0.576967393396379,3.5338115409304,0.16327056118122,0.870305411629556,NA
"RPL23AP97",0.107039166450901,0.576967393396379,3.5338115409304,0.16327056118122,0.870305411629556,NA
"RPL23P2",1.45834264959092,-1.05587226225817,1.2967892681358,-0.814220388927212,0.415518707187437,NA
"RPL23P8",4.74058222234423,-0.359444207718626,0.670080627786653,-0.536419339424732,0.591668768449805,0.817205008632285
"RPL24",17409.1400098552,0.103002029224928,0.0942538474326534,1.09281511609938,0.274474983347381,0.601949600138436
