GENE,MV411-MYB-dTAG-DMSO_1h,MV411-MYB-dTAG-VHL_1h,MV411-MYB-dTAG-DMSO_2h,MV411-MYB-dTAG-VHL_2h,MV411-MYB-dTAG-DMSO_4h,MV411-MYB-dTAG-VHL_4h,MV411-MYB-dTAG-DMSO_8h,MV411-MYB-dTAG-VHL_8h,MV411-MYB-dTAG-DMSO_12h,MV411-MYB-dTAG-VHL_12h,MV411-MYB-dTAG-DMSO_24h,MV411-MYB-dTAG-VHL_24h,MV411-MYB-dTAG-DMSO_48h,MV411-MYB-dTAG-VHL_48h
CCDC113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
C1GALT1C1,9.0,4.0,17.0,15.0,10.0,8.0,9.0,9.0,6.0,8.0,10.0,14.0,15.0,12.0
SETD2,47.0,31.0,86.0,58.0,44.0,38.0,32.0,41.0,27.0,40.0,33.0,43.0,61.0,37.0
MRPL18,64.0,44.0,181.0,108.0,57.0,44.0,62.0,76.0,55.0,82.0,105.0,136.0,166.0,90.0
29075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFAF4,41.0,24.0,82.0,38.0,32.0,36.0,37.0,34.0,20.0,38.0,51.0,56.0,73.0,41.0
MED4,66.0,83.0,198.0,130.0,79.0,84.0,83.0,111.0,57.0,125.0,109.0,148.0,164.0,119.0
CCDC59,187.0,178.0,460.0,352.0,213.0,158.0,189.0,177.0,142.0,239.0,306.0,247.0,443.0,193.0
METTL5,1.0,3.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,4.0,3.0
CHMP4A,20.0,13.0,33.0,15.0,15.0,15.0,15.0,21.0,13.0,14.0,18.0,27.0,35.0,24.0
GTPBP8,8.0,12.0,27.0,26.0,9.0,9.0,13.0,19.0,7.0,18.0,15.0,25.0,16.0,23.0
PHPT1,13.0,9.0,11.0,9.0,8.0,5.0,5.0,6.0,6.0,5.0,9.0,9.0,14.0,11.0
BABAM1,17.0,7.0,24.0,26.0,13.0,10.0,15.0,15.0,12.0,21.0,16.0,23.0,23.0,18.0
THYN1,5.0,2.0,7.0,5.0,3.0,2.0,4.0,5.0,4.0,5.0,3.0,7.0,6.0,12.0
MRPL15,97.0,78.0,216.0,145.0,84.0,87.0,108.0,128.0,60.0,90.0,106.0,145.0,156.0,107.0
UBE2T,25.0,13.0,41.0,35.0,24.0,27.0,23.0,42.0,11.0,30.0,24.0,52.0,56.0,29.0
