GENE,MV411-MYB-dTAG-DMSO_1h,MV411-MYB-dTAG-VHL_1h,MV411-MYB-dTAG-DMSO_2h,MV411-MYB-dTAG-VHL_2h,MV411-MYB-dTAG-DMSO_4h,MV411-MYB-dTAG-VHL_4h,MV411-MYB-dTAG-DMSO_8h,MV411-MYB-dTAG-VHL_8h,MV411-MYB-dTAG-DMSO_12h,MV411-MYB-dTAG-VHL_12h,MV411-MYB-dTAG-DMSO_24h,MV411-MYB-dTAG-VHL_24h,MV411-MYB-dTAG-DMSO_48h,MV411-MYB-dTAG-VHL_48h
LST1,5533.2,4814.8,5795.2,6407.4,5158.8,4916.2,3483.8,6184.6,3188.0,7857.2,4671.4,8734.8,7022.6,9006.4
TFEB,62.4,61.2,65.2,84.2,55.0,58.6,33.8,126.2,35.6,148.8,52.0,220.0,37.0,228.8
EPM2A,285.8,313.2,469.6,428.4,413.2,314.4,213.6,282.6,172.6,311.6,251.2,315.6,330.4,229.0
AIMP2,452.0,424.2,550.6,488.0,468.8,278.6,360.8,304.2,322.0,325.4,342.8,349.2,373.8,314.0
MAFK,1068.0,838.0,766.4,405.8,688.2,218.2,541.8,411.0,397.0,423.8,556.4,506.4,490.2,294.8
FZD3,291.0,374.0,325.4,302.0,307.4,175.6,255.4,203.0,213.0,213.6,309.4,298.8,328.8,234.8
MTERF1,476.0,535.6,641.4,661.8,590.4,532.2,386.0,444.6,332.4,462.6,395.2,478.2,432.2,328.8
SEM1,2030.0,1631.2,1991.6,1978.2,1711.4,1372.2,1182.8,1406.4,1235.6,1601.4,1549.2,1760.6,2104.6,1756.2
ST7,161.6,147.2,207.0,163.6,182.2,118.4,122.0,133.4,106.4,159.4,125.2,156.8,162.6,105.0
ZNF212,178.2,155.0,181.4,147.6,154.6,85.0,86.4,112.0,72.0,131.8,96.2,152.4,95.2,111.4
UBXN8,973.8,1049.0,1293.2,1217.6,979.4,808.2,750.8,727.0,626.2,847.4,878.0,1000.2,1083.6,722.4
KAT6A,935.8,1062.6,1293.6,1125.4,1204.4,798.2,748.4,881.6,594.4,939.4,705.2,987.4,703.0,686.8
PSCA,16.6,8.2,11.8,8.8,10.2,4.6,7.2,7.2,6.0,9.2,10.4,13.8,12.0,17.0
NR4A3,2.6,4.4,3.0,2.8,1.6,0.8,1.8,3.2,3.2,6.8,7.4,4.8,5.4,2.2
BRD3,897.6,866.6,750.6,663.4,790.4,468.4,552.8,679.6,505.4,849.6,786.4,1065.8,722.4,988.8
NUP214,293.0,245.0,283.0,242.0,231.2,163.0,153.2,187.2,119.8,207.8,225.2,318.4,274.2,265.6
STAM,216.8,258.2,293.2,251.0,327.6,266.8,181.6,260.0,168.2,278.8,210.8,261.6,161.0,146.0
MLLT10,951.0,1045.4,1040.6,908.4,1225.0,768.8,718.0,745.0,590.0,781.2,780.8,852.8,849.2,496.4
CUBN,3.2,2.4,3.0,3.4,1.8,2.2,1.4,1.6,1.4,2.2,1.2,7.6,3.4,12.8
CCDC6,1562.0,1816.8,2110.2,1892.4,1977.6,1386.4,1261.0,1332.2,948.4,1382.8,1316.8,1562.0,1508.4,1137.8
NCOA4,6146.0,6687.8,8411.2,6799.6,7129.4,4170.6,4431.8,4755.2,3697.6,5669.0,5428.8,7295.0,6412.2,5226.6
SLC25A16,207.4,241.2,279.6,288.0,260.4,215.8,161.8,199.0,134.8,240.4,206.4,214.6,248.2,160.2
SHOC2,2445.0,2738.4,3286.2,2343.2,2803.0,1969.0,1649.6,1781.4,1454.0,2041.4,1856.8,1999.2,1679.8,1128.4
ADAM12,8.2,7.6,9.2,15.8,7.4,3.4,3.8,2.2,5.0,2.4,4.6,6.2,7.2,8.6
RASSF7,101.2,90.6,94.6,101.6,103.2,78.8,89.2,92.2,84.8,114.8,105.8,163.2,118.8,178.0
CSRP3,12.0,10.0,18.4,11.2,14.6,4.6,10.4,1.6,8.8,1.6,18.8,1.0,26.0,0.0
PDHX,625.6,761.4,893.6,826.0,750.8,675.6,552.2,586.8,496.4,643.2,707.2,621.2,809.8,359.2
FOSL1,458.2,472.4,513.8,306.0,379.4,151.2,302.8,172.6,216.2,141.2,404.2,168.2,331.8,45.4
CUL5,1940.0,2472.2,2744.0,2629.0,2673.0,2209.6,1681.0,1908.8,1378.8,2123.0,2169.6,2474.0,2382.0,1648.2
PTP4A2,7053.8,7770.6,9599.6,8078.2,7555.8,4881.2,5321.2,5957.6,4316.0,6741.0,6022.6,8156.8,7192.8,5830.8
FGF23,8.2,7.0,6.2,9.2,4.0,4.6,1.8,0.8,4.4,4.2,3.2,4.4,3.8,6.2
MFAP5,1.4,3.4,0.4,1.8,1.2,0.2,0.0,0.4,0.4,0.8,0.2,0.6,0.4,1.0
USP5,399.0,338.0,341.4,321.2,294.2,164.0,213.0,257.4,232.2,306.6,283.8,354.0,245.0,334.2
MLF2,4206.4,4397.2,5052.4,4767.8,4233.8,2693.6,3146.8,3647.0,2459.2,3641.2,3657.4,4349.6,3622.4,2578.6
SSPN,4.2,8.8,7.0,8.8,2.0,2.4,1.8,2.0,2.6,5.4,1.8,5.4,5.2,7.4
KMT2D,485.0,504.2,503.0,403.0,395.2,203.8,278.8,325.8,207.0,334.4,310.8,428.4,334.4,308.0
AAAS,50.4,53.8,53.2,44.6,33.6,37.2,24.0,30.2,34.2,34.4,42.6,48.4,42.4,45.0
