task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
126	6c/c16630	9605358406797068055	PICARD_METRICS (INPUT_R1)	COMPLETED	0	2022-05-12 00:59:21.222	16m 41s	11m 34s	101.9%	1.2 GB	39.3 GB	8.6 GB	758.2 KB
124	f9/b1314d	219427364050652428	PHANTOMPEAKQUALTOOLS (MV411_MYB_DMSO-POLII_total_R1)	COMPLETED	0	2022-05-12 00:51:53.266	29m 18s	24m 52s	77.5%	3.1 GB	3.6 GB	46.7 GB	41.6 GB
128	e6/b6d6df	9968234962023668348	BIGWIG (INPUT_R1)	COMPLETED	0	2022-05-12 00:59:13.133	23m 19s	18m 10s	127.9%	1.9 GB	1.9 GB	33.5 GB	20.5 GB
146	7d/bd880a	12156153594987363956	PLOTPROFILE (MV411_MYB_DMSO-POLII_total_R1)	COMPLETED	0	2022-05-12 01:09:44.247	14m 39s	11m 52s	838.2%	3.6 GB	4.6 GB	4 GB	1.3 GB
145	aa/1c107b	17694490384173747186	PLOTPROFILE (MV411_MYB_VHL-POLII_total_R1)	COMPLETED	0	2022-05-12 01:07:43.445	18m 49s	15m 50s	831.0%	3.6 GB	4.5 GB	4.1 GB	1.4 GB
120	b3/ee2230	2312903213062541853	PHANTOMPEAKQUALTOOLS (MV411_MYB_VHL-POLII_total_R1)	COMPLETED	0	2022-05-12 00:50:03.117	37m 38s	32m 50s	78.4%	3.4 GB	3.9 GB	52.8 GB	47.2 GB
137	c9/3ffbf4	1643579661062962711	MACS2 (MV411_MYB_VHL-MYC_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 00:59:17.679	34m 24s	29m 15s	104.3%	4 GB	4.4 GB	28.3 GB	15.1 GB
139	8d/4ae7fe	15025754373488832606	MACS2 (MV411_MYB_DMSO-MED1_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 00:59:19.491	37m 13s	32m 1s	106.8%	4.2 GB	4.6 GB	34.3 GB	18 GB
143	ce/5b38db	673147994781611579	MACS2 (MV411_MYB_VHL-POLII_total_R1 vs INPUT_R1)	COMPLETED	0	2022-05-12 00:59:18.129	41m 14s	35m 55s	107.8%	4.4 GB	4.7 GB	35.9 GB	19 GB
147	f2/42801c	13516410543301598930	PLOTPROFILE (INPUT_R1)	COMPLETED	0	2022-05-12 01:22:33.949	18m	15m 3s	789.7%	3.6 GB	4.5 GB	4.1 GB	1.4 GB
